"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-haka1240-1-one-1","numerals-haka1240-1","Chan2019","one",1,"pakʰǎt","pakhat","","false",NA,NA,NA
"2","numerals-haka1240-1-two-1","numerals-haka1240-1","Chan2019","two",2,"pan̥ǐʡ","pani","","false",NA,NA,NA
"3","numerals-haka1240-1-three-1","numerals-haka1240-1","Chan2019","three",3,"patʰʊ̌ːm","pathum","","false",NA,NA,NA
"4","numerals-haka1240-1-four-1","numerals-haka1240-1","Chan2019","four",4,"palǐː","pali","","false",NA,NA,NA
"5","numerals-haka1240-1-five-1","numerals-haka1240-1","Chan2019","five",5,"paŋǎː","panga","","false",NA,NA,NA
"6","numerals-haka1240-1-six-1","numerals-haka1240-1","Chan2019","six",6,"parʊ̌k","paruk","","false",NA,NA,NA
"7","numerals-haka1240-1-seven-1","numerals-haka1240-1","Chan2019","seven",7,"pasariʡ","pasari","","false",NA,NA,NA
"8","numerals-haka1240-1-eight-1","numerals-haka1240-1","Chan2019","eight",8,"pariǎt","pariat","","false",NA,NA,NA
"9","numerals-haka1240-1-nine-1","numerals-haka1240-1","Chan2019","nine",9,"pakʷǎː","pakwa","","false",NA,NA,NA
"10","numerals-haka1240-1-ten-1","numerals-haka1240-1","Chan2019","ten",10,"par̥ǎː","para","","false",NA,NA,NA
"11","numerals-haka1240-1-eleven-1","numerals-haka1240-1","Chan2019","eleven",11,"pal̥ei kʰǎt","paleikhat","","false",NA,NA,NA
"12","numerals-haka1240-1-twelve-1","numerals-haka1240-1","Chan2019","twelve",12,"pal̥ei n̥ǐʡ","paleini","","false",NA,NA,NA
"13","numerals-haka1240-1-thirteen-1","numerals-haka1240-1","Chan2019","thirteen",13,"pal̥ei tʰʊ̌ːm","paleithum","","false",NA,NA,NA
"14","numerals-haka1240-1-fourteen-1","numerals-haka1240-1","Chan2019","fourteen",14,"pal̥ei lǐː","paleili","","false",NA,NA,NA
"15","numerals-haka1240-1-fifteen-1","numerals-haka1240-1","Chan2019","fifteen",15,"pal̥ei ŋǎː","paleinga","","false",NA,NA,NA
"16","numerals-haka1240-1-sixteen-1","numerals-haka1240-1","Chan2019","sixteen",16,"pal̥ei rʊ̌k","paleiruk","","false",NA,NA,NA
"17","numerals-haka1240-1-seventeen-1","numerals-haka1240-1","Chan2019","seventeen",17,"pal̥ei sariʡ","paleisari","","false",NA,NA,NA
"18","numerals-haka1240-1-eighteen-1","numerals-haka1240-1","Chan2019","eighteen",18,"pal̥ei riǎt","paleiriat","","false",NA,NA,NA
"19","numerals-haka1240-1-nineteen-1","numerals-haka1240-1","Chan2019","nineteen",19,"pal̥ei kʷǎː","paleikwa","","false",NA,NA,NA
"20","numerals-haka1240-1-twenty-1","numerals-haka1240-1","Chan2019","twenty",20,"pakʊ̌l","pakul","","false",NA,NA,NA
"21","numerals-haka1240-1-twentyone-1","numerals-haka1240-1","Chan2019","twentyone",21,"pakʊ̌l le pakʰǎt","pakullepakhat","","false",NA,NA,NA
"22","numerals-haka1240-1-twentytwo-1","numerals-haka1240-1","Chan2019","twentytwo",22,"pakʊ̌l le pan̥ǐʡ","pakullepani","","false",NA,NA,NA
"23","numerals-haka1240-1-twentythree-1","numerals-haka1240-1","Chan2019","twentythree",23,"pakʊ̌l le patʰʊ̌ːm","pakullepathum","","false",NA,NA,NA
"24","numerals-haka1240-1-twentyfour-1","numerals-haka1240-1","Chan2019","twentyfour",24,"pakʊ̌l le palǐː","pakullepali","","false",NA,NA,NA
"25","numerals-haka1240-1-twentyfive-1","numerals-haka1240-1","Chan2019","twentyfive",25,"pakʊ̌l le paŋǎː","pakullepanga","","false",NA,NA,NA
"26","numerals-haka1240-1-twentysix-1","numerals-haka1240-1","Chan2019","twentysix",26,"pakʊ̌l le parʊ̌k","pakulleparuk","","false",NA,NA,NA
"27","numerals-haka1240-1-twentyseven-1","numerals-haka1240-1","Chan2019","twentyseven",27,"pakʊ̌l le pasariʡ","pakullepasari","","false",NA,NA,NA
"28","numerals-haka1240-1-twentyeight-1","numerals-haka1240-1","Chan2019","twentyeight",28,"pakʊ̌l le pariǎt","pakullepariat","","false",NA,NA,NA
"29","numerals-haka1240-1-twentynine-1","numerals-haka1240-1","Chan2019","twentynine",29,"pakʊ̌l le pakʷǎː","pakullepakwa","","false",NA,NA,NA
"30","numerals-haka1240-1-thirty-1","numerals-haka1240-1","Chan2019","thirty",30,"sɔ̂m tʰʊ̌ːm","somthum","","false",NA,NA,NA
"31","numerals-haka1240-1-forty-1","numerals-haka1240-1","Chan2019","forty",40,"sɔ̂m lǐː","somli","","false",NA,NA,NA
"32","numerals-haka1240-1-fifty-1","numerals-haka1240-1","Chan2019","fifty",50,"sɔ̂m ŋǎː","somnga","","false",NA,NA,NA
"33","numerals-haka1240-1-sixty-1","numerals-haka1240-1","Chan2019","sixty",60,"sɔ̂mrʊ̌k","somruk","","false",NA,NA,NA
"34","numerals-haka1240-1-seventy-1","numerals-haka1240-1","Chan2019","seventy",70,"sɔ̂msariʡ","somsari","","false",NA,NA,NA
"35","numerals-haka1240-1-eighty-1","numerals-haka1240-1","Chan2019","eighty",80,"sɔ̂m riǎt","somriat","","false",NA,NA,NA
"36","numerals-haka1240-1-ninety-1","numerals-haka1240-1","Chan2019","ninety",90,"sɔ̂mkʷǎː","somkwa","","false",NA,NA,NA
"37","numerals-haka1240-1-hundred-1","numerals-haka1240-1","Chan2019","hundred",100,"zâkʰǎt","zakhat","","false",NA,NA,NA
"38","numerals-haka1240-1-twohundred-1","numerals-haka1240-1","Chan2019","twohundred",200,"zân̥ǐʡ","zani","","false",NA,NA,NA
"39","numerals-haka1240-1-thousand-1","numerals-haka1240-1","Chan2019","thousand",1000,"tʰɔ̂ŋ kʰǎt","thongkhat","","false",NA,NA,NA
"40","numerals-haka1240-1-twothousand-1","numerals-haka1240-1","Chan2019","twothousand",2000,"tʰɔ̂ŋ n̥ǐʡ","thongni","","false",NA,NA,NA
