"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-yong1277-1-one-1","numerals-yong1277-1","Chan2019","one",1,"nɯŋ3","nwng3","","false",NA,NA,NA
"2","numerals-yong1277-1-two-1","numerals-yong1277-1","Chan2019","two",2,"sɔːŋ14","song14","","false",NA,NA,NA
"3","numerals-yong1277-1-three-1","numerals-yong1277-1","Chan2019","three",3,"saːm15","sam15","","false",NA,NA,NA
"4","numerals-yong1277-1-four-1","numerals-yong1277-1","Chan2019","four",4,"si:11","si11","","false",NA,NA,NA
"5","numerals-yong1277-1-five-1","numerals-yong1277-1","Chan2019","five",5,"haː13","ha13","","false",NA,NA,NA
"6","numerals-yong1277-1-six-1","numerals-yong1277-1","Chan2019","six",6,"hok55","hok55","","false",NA,NA,NA
"7","numerals-yong1277-1-seven-1","numerals-yong1277-1","Chan2019","seven",7,"t͡sɛt55","tset55","","false",NA,NA,NA
"8","numerals-yong1277-1-eight-1","numerals-yong1277-1","Chan2019","eight",8,"pɛːt11","pet11","","false",NA,NA,NA
"9","numerals-yong1277-1-nine-1","numerals-yong1277-1","Chan2019","nine",9,"kaw11","kaw11","","false",NA,NA,NA
"10","numerals-yong1277-1-ten-1","numerals-yong1277-1","Chan2019","ten",10,"sip53","sip53","","false",NA,NA,NA
"11","numerals-yong1277-1-eleven-1","numerals-yong1277-1","Chan2019","eleven",11,"sip53 ʔɛt55","sip53et55","","false",NA,NA,NA
"12","numerals-yong1277-1-twelve-1","numerals-yong1277-1","Chan2019","twelve",12,"sip53 sɔːŋ15","sip53song15","","false",NA,NA,NA
"13","numerals-yong1277-1-thirteen-1","numerals-yong1277-1","Chan2019","thirteen",13,"sip53 saːm15","sip53sam15","","false",NA,NA,NA
"14","numerals-yong1277-1-fourteen-1","numerals-yong1277-1","Chan2019","fourteen",14,"sip53 si2","sip53si2","","false",NA,NA,NA
"15","numerals-yong1277-1-fifteen-1","numerals-yong1277-1","Chan2019","fifteen",15,"sip53 haː13","sip53ha13","","false",NA,NA,NA
"16","numerals-yong1277-1-sixteen-1","numerals-yong1277-1","Chan2019","sixteen",16,"sip53 hok55","sip53hok55","","false",NA,NA,NA
"17","numerals-yong1277-1-seventeen-1","numerals-yong1277-1","Chan2019","seventeen",17,"sip53 t͡sɛt55","sip53tset55","","false",NA,NA,NA
"18","numerals-yong1277-1-eighteen-1","numerals-yong1277-1","Chan2019","eighteen",18,"sip53 pɛːt11","sip53pet11","","false",NA,NA,NA
"19","numerals-yong1277-1-nineteen-1","numerals-yong1277-1","Chan2019","nineteen",19,"sip53 kaw11","sip53kaw11","","false",NA,NA,NA
"20","numerals-yong1277-1-twenty-1","numerals-yong1277-1","Chan2019","twenty",20,"saːw15","saw15","","false",NA,NA,NA
"21","numerals-yong1277-1-twentyone-1","numerals-yong1277-1","Chan2019","twentyone",21,"saːw15ʔɛt55","saw15et55","","false",NA,NA,NA
"22","numerals-yong1277-1-twentytwo-1","numerals-yong1277-1","Chan2019","twentytwo",22,"saːw15sɔːŋ14","saw15song14","","false",NA,NA,NA
"23","numerals-yong1277-1-twentythree-1","numerals-yong1277-1","Chan2019","twentythree",23,"saːw15saːm15","saw15sam15","","false",NA,NA,NA
"24","numerals-yong1277-1-twentyfour-1","numerals-yong1277-1","Chan2019","twentyfour",24,"saːw15si:11","saw15si11","","false",NA,NA,NA
"25","numerals-yong1277-1-twentyfive-1","numerals-yong1277-1","Chan2019","twentyfive",25,"saːw15haː13","saw15ha13","","false",NA,NA,NA
"26","numerals-yong1277-1-twentysix-1","numerals-yong1277-1","Chan2019","twentysix",26,"saːw15hok55","saw15hok55","","false",NA,NA,NA
"27","numerals-yong1277-1-twentyseven-1","numerals-yong1277-1","Chan2019","twentyseven",27,"saːw15 t͡sɛt55","saw15tset55","","false",NA,NA,NA
"28","numerals-yong1277-1-twentyeight-1","numerals-yong1277-1","Chan2019","twentyeight",28,"saːw15pɛːt11","saw15pet11","","false",NA,NA,NA
"29","numerals-yong1277-1-twentynine-1","numerals-yong1277-1","Chan2019","twentynine",29,"saːw15 kaw11","saw15kaw11","","false",NA,NA,NA
"30","numerals-yong1277-1-thirty-1","numerals-yong1277-1","Chan2019","thirty",30,"saːm15 sip53","sam15sip53","","false",NA,NA,NA
"31","numerals-yong1277-1-forty-1","numerals-yong1277-1","Chan2019","forty",40,"si:11 sip53","si11sip53","","false",NA,NA,NA
"32","numerals-yong1277-1-fifty-1","numerals-yong1277-1","Chan2019","fifty",50,"haː13 sip53","ha13sip53","","false",NA,NA,NA
"33","numerals-yong1277-1-sixty-1","numerals-yong1277-1","Chan2019","sixty",60,"hok55 sip53","hok55sip53","","false",NA,NA,NA
"34","numerals-yong1277-1-seventy-1","numerals-yong1277-1","Chan2019","seventy",70,"t͡sɛt55 sip53","tset55sip53","","false",NA,NA,NA
"35","numerals-yong1277-1-eighty-1","numerals-yong1277-1","Chan2019","eighty",80,"pɛːt11 sip53","pet11sip53","","false",NA,NA,NA
"36","numerals-yong1277-1-ninety-1","numerals-yong1277-1","Chan2019","ninety",90,"kaw11sip53","kaw11sip53","","false",NA,NA,NA
"37","numerals-yong1277-1-hundred-1","numerals-yong1277-1","Chan2019","hundred",100,"lɔːj54","loj54","","false",NA,NA,NA
"38","numerals-yong1277-1-twohundred-1","numerals-yong1277-1","Chan2019","twohundred",200,"sɔːŋ15 lɔːj54","song15loj54","","false",NA,NA,NA
"39","numerals-yong1277-1-thousand-1","numerals-yong1277-1","Chan2019","thousand",1000,"pan15","pan15","","false",NA,NA,NA
"40","numerals-yong1277-1-twothousand-1","numerals-yong1277-1","Chan2019","twothousand",2000,"sɔːŋ15 pan15","song15pan15","","false",NA,NA,NA
