"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kare1335-1-one-1","numerals-kare1335-1","Chan2019","one",1,"yksʲi","yksji","","false",NA,NA,NA
"2","numerals-kare1335-1-two-1","numerals-kare1335-1","Chan2019","two",2,"kakʃi","kaksi","","false",NA,NA,NA
"3","numerals-kare1335-1-three-1","numerals-kare1335-1","Chan2019","three",3,"kolme","kolme","","false",NA,NA,NA
"4","numerals-kare1335-1-four-1","numerals-kare1335-1","Chan2019","four",4,"nʲeljːæ","njeljae","","false",NA,NA,NA
"5","numerals-kare1335-1-five-1","numerals-kare1335-1","Chan2019","five",5,"viːzʲi","vizji","","false",NA,NA,NA
"6","numerals-kare1335-1-six-1","numerals-kare1335-1","Chan2019","six",6,"kuːʒi","kuzi","","false",NA,NA,NA
"7","numerals-kare1335-1-seven-1","numerals-kare1335-1","Chan2019","seven",7,"ʃeitʲːʃʲimen","seitjsjimen","","false",NA,NA,NA
"8","numerals-kare1335-1-eight-1","numerals-kare1335-1","Chan2019","eight",8,"kahekʃan","kaheksan","","false",NA,NA,NA
"9","numerals-kare1335-1-nine-1","numerals-kare1335-1","Chan2019","nine",9,"yhekʃæn","yheksaen","","false",NA,NA,NA
"10","numerals-kare1335-1-ten-1","numerals-kare1335-1","Chan2019","ten",10,"kymːenen","kymenen","","false",NA,NA,NA
"11","numerals-kare1335-1-eleven-1","numerals-kare1335-1","Chan2019","eleven",11,"yksʲitoista","yksjitoista","(kymːenʲdʲæ)","false",NA,NA,NA
"12","numerals-kare1335-1-twelve-1","numerals-kare1335-1","Chan2019","twelve",12,"kakʃitoista","kaksitoista","(kymːenʲdʲæ)","false",NA,NA,NA
"13","numerals-kare1335-1-thirteen-1","numerals-kare1335-1","Chan2019","thirteen",13,"kolmetoista","kolmetoista","(kymːenʲdʲæ)","false",NA,NA,NA
"14","numerals-kare1335-1-fourteen-1","numerals-kare1335-1","Chan2019","fourteen",14,"nʲeljːætoista","njeljaetoista","(kymːenʲdʲæ)","false",NA,NA,NA
"15","numerals-kare1335-1-fifteen-1","numerals-kare1335-1","Chan2019","fifteen",15,"viːzʲitoista","vizjitoista","(kymːenʲdʲæ)","false",NA,NA,NA
"16","numerals-kare1335-1-sixteen-1","numerals-kare1335-1","Chan2019","sixteen",16,"kuːʒitoista","kuzitoista","(kymːenʲdʲæ)","false",NA,NA,NA
"17","numerals-kare1335-1-seventeen-1","numerals-kare1335-1","Chan2019","seventeen",17,"ʃeitʲːʃʲimentoista","seitjsjimentoista","(kymːenʲdʲæ)","false",NA,NA,NA
"18","numerals-kare1335-1-eighteen-1","numerals-kare1335-1","Chan2019","eighteen",18,"kahekʃantoista","kaheksantoista","(kymːenʲdʲæ)","false",NA,NA,NA
"19","numerals-kare1335-1-nineteen-1","numerals-kare1335-1","Chan2019","nineteen",19,"yhekʃæntoista","yheksaentoista","(kymːenʲdʲæ)","false",NA,NA,NA
"20","numerals-kare1335-1-twenty-1","numerals-kare1335-1","Chan2019","twenty",20,"kakʃikymːenʲdʲæ","kaksikymenjdjae","","false",NA,NA,NA
"21","numerals-kare1335-1-twentyone-1","numerals-kare1335-1","Chan2019","twentyone",21,"kakʃikymːenʲdʲæ yksʲi","kaksikymenjdjaeyksji","","false",NA,NA,NA
"22","numerals-kare1335-1-twentytwo-1","numerals-kare1335-1","Chan2019","twentytwo",22,"kakʃikymːenʲdʲæ kakʃi","kaksikymenjdjaekaksi","","false",NA,NA,NA
"23","numerals-kare1335-1-twentythree-1","numerals-kare1335-1","Chan2019","twentythree",23,"kakʃikymːenʲdʲæ kolme","kaksikymenjdjaekolme","","false",NA,NA,NA
"24","numerals-kare1335-1-twentyfour-1","numerals-kare1335-1","Chan2019","twentyfour",24,"kakʃikymːenʲdʲæ nʲeljːæ","kaksikymenjdjaenjeljae","","false",NA,NA,NA
"25","numerals-kare1335-1-twentyfive-1","numerals-kare1335-1","Chan2019","twentyfive",25,"kakʃikymːenʲdʲæ viːzʲi","kaksikymenjdjaevizji","","false",NA,NA,NA
"26","numerals-kare1335-1-twentysix-1","numerals-kare1335-1","Chan2019","twentysix",26,"kakʃikymːenʲdʲæ kuːʒi̥","kaksikymenjdjaekuzi","","false",NA,NA,NA
"27","numerals-kare1335-1-twentyseven-1","numerals-kare1335-1","Chan2019","twentyseven",27,"kakʃikymːenʲdʲæ ʃeitʲːʃʲimen","kaksikymenjdjaeseitjsjimen","","false",NA,NA,NA
"28","numerals-kare1335-1-twentyeight-1","numerals-kare1335-1","Chan2019","twentyeight",28,"kakʃikymːenʲdʲæ kahekʃan","kaksikymenjdjaekaheksan","","false",NA,NA,NA
"29","numerals-kare1335-1-twentynine-1","numerals-kare1335-1","Chan2019","twentynine",29,"kakʃikymːenʲdʲæ yhekʃæn","kaksikymenjdjaeyheksaen","","false",NA,NA,NA
"30","numerals-kare1335-1-thirty-1","numerals-kare1335-1","Chan2019","thirty",30,"kolmekymːenʲdʲæ","kolmekymenjdjae","","false",NA,NA,NA
"31","numerals-kare1335-1-forty-1","numerals-kare1335-1","Chan2019","forty",40,"nʲeljːækymːenʲdʲæ","njeljaekymenjdjae","","false",NA,NA,NA
"32","numerals-kare1335-1-fifty-1","numerals-kare1335-1","Chan2019","fifty",50,"viːzʲikymːenʲdʲæ","vizjikymenjdjae","","false",NA,NA,NA
"33","numerals-kare1335-1-sixty-1","numerals-kare1335-1","Chan2019","sixty",60,"kuːʒikymːenʲdʲæ","kuzikymenjdjae","","false",NA,NA,NA
"34","numerals-kare1335-1-seventy-1","numerals-kare1335-1","Chan2019","seventy",70,"ʃeitʲːʃʲimenkymːenʲdʲæ","seitjsjimenkymenjdjae","","false",NA,NA,NA
"35","numerals-kare1335-1-eighty-1","numerals-kare1335-1","Chan2019","eighty",80,"kahekʃankymːenʲdʲæ","kaheksankymenjdjae","","false",NA,NA,NA
"36","numerals-kare1335-1-ninety-1","numerals-kare1335-1","Chan2019","ninety",90,"yhekʃænkymːenʲdʲæ","yheksaenkymenjdjae","","false",NA,NA,NA
"37","numerals-kare1335-1-hundred-1","numerals-kare1335-1","Chan2019","hundred",100,"ʃada","sada","","false",NA,NA,NA
"38","numerals-kare1335-1-twohundred-1","numerals-kare1335-1","Chan2019","twohundred",200,"kakʃiʃada","kaksisada","","false",NA,NA,NA
"39","numerals-kare1335-1-thousand-1","numerals-kare1335-1","Chan2019","thousand",1000,"tuhatːa","tuhata","","false",NA,NA,NA
"40","numerals-kare1335-1-twothousand-1","numerals-kare1335-1","Chan2019","twothousand",2000,"kakʃtuhatːa","kakstuhata","","false",NA,NA,NA
