"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-bahi1254-2-one-1","barlowpacific-bahi1254-2","Barlow2024","one",1,"tɑbɑtɑ","tabata","","false",NA,NA,NA
"2","barlowpacific-bahi1254-2-two-1","barlowpacific-bahi1254-2","Barlow2024","two",2,"wʊsí","wusi","","false",NA,NA,NA
"3","barlowpacific-bahi1254-2-three-1","barlowpacific-bahi1254-2","Barlow2024","three",3,"kʊməɣ","kumag","","false",NA,NA,NA
"4","barlowpacific-bahi1254-2-three-2","barlowpacific-bahi1254-2","Barlow2024","three",3,"kʊmʊɣ","kumug","","false",NA,NA,NA
"5","barlowpacific-bahi1254-2-four-1","barlowpacific-bahi1254-2","Barlow2024","four",4,"hɜwmɔlì","hewmoli","[hɜw = hand]","false",NA,NA,NA
"6","barlowpacific-bahi1254-2-five-1","barlowpacific-bahi1254-2","Barlow2024","five",5,"kədɑw","kadaw","","false",NA,NA,NA
"7","barlowpacific-bahi1254-2-six-1","barlowpacific-bahi1254-2","Barlow2024","six",6,"hɜwbɑfu","hewbafu","","false",NA,NA,NA
"8","barlowpacific-bahi1254-2-seven-1","barlowpacific-bahi1254-2","Barlow2024","seven",7,"hɜwbwinɑbɑfu","hewbwinabafu","","false",NA,NA,NA
"9","barlowpacific-bahi1254-2-eleven-1","barlowpacific-bahi1254-2","Barlow2024","eleven",11,"wɑpwɜni bɑhu ?","wapwenibahu","start on leg ?","false",NA,NA,NA
"10","barlowpacific-bahi1254-2-twenty-1","barlowpacific-bahi1254-2","Barlow2024","twenty",20,"bɑfu eyɑ tipətəpe","bafueyatipatape","?","false",NA,NA,NA
