"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-bann1247-3-one-1","barlowpacific-bann1247-3","Barlow2024","one",1,"kadakem","kadakem","","false",NA,NA,NA
"2","barlowpacific-bann1247-3-two-1","barlowpacific-bann1247-3","Barlow2024","two",2,"to·m","tom","","false",NA,NA,NA
"3","barlowpacific-bann1247-3-three-1","barlowpacific-bann1247-3","Barlow2024","three",3,"dapi̥sa","dapisa","","false",NA,NA,NA
"4","barlowpacific-bann1247-3-four-1","barlowpacific-bann1247-3","Barlow2024","four",4,"toaci̥","toaci","","false",NA,NA,NA
"5","barlowpacific-bann1247-3-five-1","barlowpacific-bann1247-3","Barlow2024","five",5,"ɣinima","ginima","","false",NA,NA,NA
"6","barlowpacific-bann1247-3-six-1","barlowpacific-bann1247-3","Barlow2024","six",6,"bena","bena","","false",NA,NA,NA
"7","barlowpacific-bann1247-3-seven-1","barlowpacific-bann1247-3","Barlow2024","seven",7,"bena to·m","benatom","","false",NA,NA,NA
"8","barlowpacific-bann1247-3-eight-1","barlowpacific-bann1247-3","Barlow2024","eight",8,"bena kapi̥sa","benakapisa","","false",NA,NA,NA
"9","barlowpacific-bann1247-3-nine-1","barlowpacific-bann1247-3","Barlow2024","nine",9,"visa","visa","","false",NA,NA,NA
"10","barlowpacific-bann1247-3-ten-1","barlowpacific-bann1247-3","Barlow2024","ten",10,"ma·noɣa","manoga","","false",NA,NA,NA
"11","barlowpacific-bann1247-3-twenty-1","barlowpacific-bann1247-3","Barlow2024","twenty",20,"ma·noɣa to·m","manogatom","etc.","false",NA,NA,NA
"12","barlowpacific-bann1247-3-hundred-1","barlowpacific-bann1247-3","Barlow2024","hundred",100,"raus kadakem","rauskadakem","","false",NA,NA,NA
