"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-bina1277-3-one-1","barlowpacific-bina1277-3","Barlow2024","one",1,"dakaima","dakaima","","false",NA,NA,NA
"2","barlowpacific-bina1277-3-two-1","barlowpacific-bina1277-3","Barlow2024","two",2,"tote","tote","","false",NA,NA,NA
"3","barlowpacific-bina1277-3-three-1","barlowpacific-bina1277-3","Barlow2024","three",3,"tamunde","tamunde","","false",NA,NA,NA
"4","barlowpacific-bina1277-3-four-1","barlowpacific-bina1277-3","Barlow2024","four",4,"ne tote-ne tote","netotenetote","","false",NA,NA,NA
"5","barlowpacific-bina1277-3-five-1","barlowpacific-bina1277-3","Barlow2024","five",5,"pa da","pada","","false",NA,NA,NA
"6","barlowpacific-bina1277-3-six-1","barlowpacific-bina1277-3","Barlow2024","six",6,"pa danendagisi","padanendagisi","","false",NA,NA,NA
"7","barlowpacific-bina1277-3-seven-1","barlowpacific-bina1277-3","Barlow2024","seven",7,"pa da gisi do torode","padagisidotorode","","false",NA,NA,NA
"8","barlowpacific-bina1277-3-eight-1","barlowpacific-bina1277-3","Barlow2024","eight",8,"pa gisi de toro tote","pagisidetorotote","","false",NA,NA,NA
"9","barlowpacific-bina1277-3-nine-1","barlowpacific-bina1277-3","Barlow2024","nine",9,"pa da toro tamunde","padatorotamunde","","false",NA,NA,NA
"10","barlowpacific-bina1277-3-ten-1","barlowpacific-bina1277-3","Barlow2024","ten",10,"pa tote","patote","","false",NA,NA,NA
