"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-chua1250-2-one-1","barlowpacific-chua1250-2","Barlow2024","one",1,"towane","towane","","false",NA,NA,NA
"2","barlowpacific-chua1250-2-two-1","barlowpacific-chua1250-2","Barlow2024","two",2,"suo","suo","","false",NA,NA,NA
"3","barlowpacific-chua1250-2-two-2","barlowpacific-chua1250-2","Barlow2024","two",2,"surai","surai","","false",NA,NA,NA
"4","barlowpacific-chua1250-2-two-3","barlowpacific-chua1250-2","Barlow2024","two",2,"suwo","suwo","","false",NA,NA,NA
"5","barlowpacific-chua1250-2-three-1","barlowpacific-chua1250-2","Barlow2024","three",3,"suraiye","suraiye","","false",NA,NA,NA
"6","barlowpacific-chua1250-2-four-1","barlowpacific-chua1250-2","Barlow2024","four",4,"suo suo","suosuo","","false",NA,NA,NA
"7","barlowpacific-chua1250-2-four-2","barlowpacific-chua1250-2","Barlow2024","four",4,"suo te suo","suotesuo","","false",NA,NA,NA
"8","barlowpacific-chua1250-2-five-1","barlowpacific-chua1250-2","Barlow2024","five",5,"okonom koro muruo","okonomkoromuruo","‘hand-our half all’","false",NA,NA,NA
"9","barlowpacific-chua1250-2-six-1","barlowpacific-chua1250-2","Barlow2024","six",6,"okonom koro towane","okonomkorotowane","5 + 1","false",NA,NA,NA
"10","barlowpacific-chua1250-2-six-2","barlowpacific-chua1250-2","Barlow2024","six",6,"okonom koro muruo koro towane","okonomkoromuruokorotowane","5 + 1","false",NA,NA,NA
"11","barlowpacific-chua1250-2-seven-1","barlowpacific-chua1250-2","Barlow2024","seven",7,"okonom koro suo","okonomkorosuo","5 + 2","false",NA,NA,NA
"12","barlowpacific-chua1250-2-eight-1","barlowpacific-chua1250-2","Barlow2024","eight",8,"okonom koro suraiye","okonomkorosuraiye","5 + 3","false",NA,NA,NA
"13","barlowpacific-chua1250-2-nine-1","barlowpacific-chua1250-2","Barlow2024","nine",9,"okonom koro muruo koro suo te suo","okonomkoromuruokorosuotesuo","5 + 4","false",NA,NA,NA
"14","barlowpacific-chua1250-2-ten-1","barlowpacific-chua1250-2","Barlow2024","ten",10,"okonom koro koro muruo","okonomkorokoromuruo","‘hand-our half half all’","false",NA,NA,NA
"15","barlowpacific-chua1250-2-eleven-1","barlowpacific-chua1250-2","Barlow2024","eleven",11,"okonom koro koro muruo kaunom gam towane","okonomkorokoromuruokaunomgamtowane","‘hand-our half half all, leg-our child-its one’","false",NA,NA,NA
"16","barlowpacific-chua1250-2-fifteen-1","barlowpacific-chua1250-2","Barlow2024","fifteen",15,"okonom koro koro muruo kaunom koro muruo","okonomkorokoromuruokaunomkoromuruo","","false",NA,NA,NA
"17","barlowpacific-chua1250-2-twenty-1","barlowpacific-chua1250-2","Barlow2024","twenty",20,"okonom koro koro muruo kaunom koro koro muruo","okonomkorokoromuruokaunomkorokoromuruo","‘hand-our half half all leg-our half half all’","false",NA,NA,NA
