"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-dobu1241-1-one-1","barlowpacific-dobu1241-1","Barlow2024","one",1,"ebweuna","ebweuna","","false",NA,NA,NA
"2","barlowpacific-dobu1241-1-one-2","barlowpacific-dobu1241-1","Barlow2024","one",1,"(ebweu)","ebweu","","false",NA,NA,NA
"3","barlowpacific-dobu1241-1-two-1","barlowpacific-dobu1241-1","Barlow2024","two",2,"eluwa","eluwa","","false",NA,NA,NA
"4","barlowpacific-dobu1241-1-two-2","barlowpacific-dobu1241-1","Barlow2024","two",2,"(elua)","elua","","false",NA,NA,NA
"5","barlowpacific-dobu1241-1-three-1","barlowpacific-dobu1241-1","Barlow2024","three",3,"etoi","etoi","","false",NA,NA,NA
"6","barlowpacific-dobu1241-1-four-1","barlowpacific-dobu1241-1","Barlow2024","four",4,"ata","ata","","false",NA,NA,NA
"7","barlowpacific-dobu1241-1-five-1","barlowpacific-dobu1241-1","Barlow2024","five",5,"nima","nima","‘nima’ = ‘hand’","false",NA,NA,NA
"8","barlowpacific-dobu1241-1-six-1","barlowpacific-dobu1241-1","Barlow2024","six",6,"nima ta ebweu(na)","nimataebweuna","","false",NA,NA,NA
"9","barlowpacific-dobu1241-1-seven-1","barlowpacific-dobu1241-1","Barlow2024","seven",7,"nima ta eluwa","nimataeluwa","","false",NA,NA,NA
"10","barlowpacific-dobu1241-1-eight-1","barlowpacific-dobu1241-1","Barlow2024","eight",8,"nima ta etoi","nimataetoi","","false",NA,NA,NA
"11","barlowpacific-dobu1241-1-nine-1","barlowpacific-dobu1241-1","Barlow2024","nine",9,"nima ta ata","nimataata","","false",NA,NA,NA
"12","barlowpacific-dobu1241-1-ten-1","barlowpacific-dobu1241-1","Barlow2024","ten",10,"sanau","sanau","","false",NA,NA,NA
"13","barlowpacific-dobu1241-1-ten-2","barlowpacific-dobu1241-1","Barlow2024","ten",10,"(sanaui)","sanaui","","false",NA,NA,NA
"14","barlowpacific-dobu1241-1-eleven-1","barlowpacific-dobu1241-1","Barlow2024","eleven",11,"sanau ta ebweu(na)","sanautaebweuna","","false",NA,NA,NA
"15","barlowpacific-dobu1241-1-twelve-1","barlowpacific-dobu1241-1","Barlow2024","twelve",12,"sanau ta eluwa","sanautaeluwa","","false",NA,NA,NA
"16","barlowpacific-dobu1241-1-fifteen-1","barlowpacific-dobu1241-1","Barlow2024","fifteen",15,"sanau ta nima","sanautanima","","false",NA,NA,NA
"17","barlowpacific-dobu1241-1-twenty-1","barlowpacific-dobu1241-1","Barlow2024","twenty",20,"to'ebweu","toebweu","presumably an abbreviated form of ‘tomotai ebweu’ or ‘man one’","false",NA,NA,NA
"18","barlowpacific-dobu1241-1-thirty-1","barlowpacific-dobu1241-1","Barlow2024","thirty",30,"to'ebweu ta sanau","toebweutasanau","appears to be an abbreviated form of ‘tomotai luwa’ or ‘men two’","false",NA,NA,NA
"19","barlowpacific-dobu1241-1-forty-1","barlowpacific-dobu1241-1","Barlow2024","forty",40,"tomoluwa","tomoluwa","","false",NA,NA,NA
