"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-duna1248-1-one-1","barlowpacific-duna1248-1","Barlow2024","one",1,"ndu","ndu","","false",NA,NA,NA
"2","barlowpacific-duna1248-1-two-1","barlowpacific-duna1248-1","Barlow2024","two",2,"yaba","yaba","","false",NA,NA,NA
"3","barlowpacific-duna1248-1-three-1","barlowpacific-duna1248-1","Barlow2024","three",3,"iduba","iduba","","false",NA,NA,NA
"4","barlowpacific-duna1248-1-four-1","barlowpacific-duna1248-1","Barlow2024","four",4,"tondoba","tondoba","","false",NA,NA,NA
"5","barlowpacific-duna1248-1-four-2","barlowpacific-duna1248-1","Barlow2024","four",4,"sondopa","sondopa","","false",NA,NA,NA
"6","barlowpacific-duna1248-1-five-1","barlowpacific-duna1248-1","Barlow2024","five",5,"reibu","reibu","","false",NA,NA,NA
"7","barlowpacific-duna1248-1-five-2","barlowpacific-duna1248-1","Barlow2024","five",5,"tiaku","tiaku","","false",NA,NA,NA
"8","barlowpacific-duna1248-1-six-1","barlowpacific-duna1248-1","Barlow2024","six",6,"raga","raga","","false",NA,NA,NA
"9","barlowpacific-duna1248-1-seven-1","barlowpacific-duna1248-1","Barlow2024","seven",7,"gona","gona","","false",NA,NA,NA
"10","barlowpacific-duna1248-1-eight-1","barlowpacific-duna1248-1","Barlow2024","eight",8,"pou","pou","","false",NA,NA,NA
"11","barlowpacific-duna1248-1-nine-1","barlowpacific-duna1248-1","Barlow2024","nine",9,"gi","gi","","false",NA,NA,NA
"12","barlowpacific-duna1248-1-ten-1","barlowpacific-duna1248-1","Barlow2024","ten",10,"rabagia","rabagia","","false",NA,NA,NA
"13","barlowpacific-duna1248-1-ten-2","barlowpacific-duna1248-1","Barlow2024","ten",10,"tabagia","tabagia","","false",NA,NA,NA
"14","barlowpacific-duna1248-1-eleven-1","barlowpacific-duna1248-1","Barlow2024","eleven",11,"rebane","rebane","","false",NA,NA,NA
"15","barlowpacific-duna1248-1-eleven-2","barlowpacific-duna1248-1","Barlow2024","eleven",11,"tebane","tebane","","false",NA,NA,NA
"16","barlowpacific-duna1248-1-twelve-1","barlowpacific-duna1248-1","Barlow2024","twelve",12,"konane","konane","","false",NA,NA,NA
"17","barlowpacific-duna1248-1-thirteen-1","barlowpacific-duna1248-1","Barlow2024","thirteen",13,"ginani","ginani","","false",NA,NA,NA
"18","barlowpacific-duna1248-1-fourteen-1","barlowpacific-duna1248-1","Barlow2024","fourteen",14,"malura","malura","","false",NA,NA,NA
"19","barlowpacific-duna1248-1-fourteen-2","barlowpacific-duna1248-1","Barlow2024","fourteen",14,"mandi","mandi","","false",NA,NA,NA
"20","barlowpacific-duna1248-1-fifteen-1","barlowpacific-duna1248-1","Barlow2024","fifteen",15,"mandi ta ndu","manditandu","","false",NA,NA,NA
