"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-galo1243-1-one-1","barlowpacific-galo1243-1","Barlow2024","one",1,"Ne̱hě","nehe","","false",NA,NA,NA
"2","barlowpacific-galo1243-1-two-1","barlowpacific-galo1243-1","Barlow2024","two",2,"Ěro̱e̱-à","eroea","","false",NA,NA,NA
"3","barlowpacific-galo1243-1-three-1","barlowpacific-galo1243-1","Barlow2024","three",3,"Ěte̱loe","eteloe","","false",NA,NA,NA
"4","barlowpacific-galo1243-1-four-1","barlowpacific-galo1243-1","Barlow2024","four",4,"Ěha̱t","ehat","","false",NA,NA,NA
"5","barlowpacific-galo1243-1-five-1","barlowpacific-galo1243-1","Barlow2024","five",5,"Ělī̱mà","elima","","false",NA,NA,NA
"6","barlowpacific-galo1243-1-six-1","barlowpacific-galo1243-1","Barlow2024","six",6,"Ěne̱m","enem","","false",NA,NA,NA
"7","barlowpacific-galo1243-1-seven-1","barlowpacific-galo1243-1","Barlow2024","seven",7,"Ěhī̱toe","ehitoe","","false",NA,NA,NA
"8","barlowpacific-galo1243-1-eight-1","barlowpacific-galo1243-1","Barlow2024","eight",8,"Ěhå̱","eha","","false",NA,NA,NA
"9","barlowpacific-galo1243-1-nine-1","barlowpacific-galo1243-1","Barlow2024","nine",9,"Ěsī̱-à","esia","","false",NA,NA,NA
"10","barlowpacific-galo1243-1-ten-1","barlowpacific-galo1243-1","Barlow2024","ten",10,"Sàno̱e̱lō","sanoelo","","false",NA,NA,NA
"11","barlowpacific-galo1243-1-eleven-1","barlowpacific-galo1243-1","Barlow2024","eleven",11,"Sàno̱e̱lō ē̱sin ne̱hě","sanoeloesinnehe","","false",NA,NA,NA
"12","barlowpacific-galo1243-1-twelve-1","barlowpacific-galo1243-1","Barlow2024","twelve",12,"Sàno̱e̱lō ē̱sin ěro̱e̱-à","sanoeloesineroea","","false",NA,NA,NA
"13","barlowpacific-galo1243-1-thirteen-1","barlowpacific-galo1243-1","Barlow2024","thirteen",13,"Sàno̱e̱lō ē̱sin ěte̱loe","sanoeloesineteloe","","false",NA,NA,NA
"14","barlowpacific-galo1243-1-fourteen-1","barlowpacific-galo1243-1","Barlow2024","fourteen",14,"Sàno̱e̱lō ē̱sin ěha̱t","sanoeloesinehat","","false",NA,NA,NA
"15","barlowpacific-galo1243-1-fifteen-1","barlowpacific-galo1243-1","Barlow2024","fifteen",15,"Sàno̱e̱lō ē̱sin ělī̱mà","sanoeloesinelima","","false",NA,NA,NA
"16","barlowpacific-galo1243-1-sixteen-1","barlowpacific-galo1243-1","Barlow2024","sixteen",16,"Sàno̱e̱lō ē̱sin ěne̱m","sanoeloesinenem","","false",NA,NA,NA
"17","barlowpacific-galo1243-1-seventeen-1","barlowpacific-galo1243-1","Barlow2024","seventeen",17,"Sàno̱e̱lō ē̱sin ěhī̱toe","sanoeloesinehitoe","","false",NA,NA,NA
"18","barlowpacific-galo1243-1-eighteen-1","barlowpacific-galo1243-1","Barlow2024","eighteen",18,"Sàno̱e̱lō ē̱sin ěhå̱","sanoeloesineha","","false",NA,NA,NA
"19","barlowpacific-galo1243-1-nineteen-1","barlowpacific-galo1243-1","Barlow2024","nineteen",19,"Sàno̱e̱lō ē̱sin ěsī̱-à","sanoeloesinesia","","false",NA,NA,NA
"20","barlowpacific-galo1243-1-twenty-1","barlowpacific-galo1243-1","Barlow2024","twenty",20,"Ro̱e̱-à no̱e̱lō","roeanoelo","","false",NA,NA,NA
"21","barlowpacific-galo1243-1-twentyone-1","barlowpacific-galo1243-1","Barlow2024","twentyone",21,"Ro̱e̱-à no̱e̱lō ē̱sin ne̱hě","roeanoeloesinnehe","","false",NA,NA,NA
"22","barlowpacific-galo1243-1-twentyfive-1","barlowpacific-galo1243-1","Barlow2024","twentyfive",25,"Ro̱e̱-à no̱e̱lō ē̱sin ělī̱mà","roeanoeloesinelima","","false",NA,NA,NA
"23","barlowpacific-galo1243-1-thirty-1","barlowpacific-galo1243-1","Barlow2024","thirty",30,"Tē̱loe no̱e̱lō","teloenoelo","","false",NA,NA,NA
"24","barlowpacific-galo1243-1-forty-1","barlowpacific-galo1243-1","Barlow2024","forty",40,"At no̱e̱lō","atnoelo","","false",NA,NA,NA
"25","barlowpacific-galo1243-1-fifty-1","barlowpacific-galo1243-1","Barlow2024","fifty",50,"Lī̱ma no̱e̱lō","limanoelo","","false",NA,NA,NA
"26","barlowpacific-galo1243-1-sixty-1","barlowpacific-galo1243-1","Barlow2024","sixty",60,"Ne̱m no̱e̱lō","nemnoelo","","false",NA,NA,NA
"27","barlowpacific-galo1243-1-hundred-1","barlowpacific-galo1243-1","Barlow2024","hundred",100,"À̱toes","atoes","","false",NA,NA,NA
"28","barlowpacific-galo1243-1-thousand-1","barlowpacific-galo1243-1","Barlow2024","thousand",1000,"Rī̱hoen","rihoen","","false",NA,NA,NA
"29","barlowpacific-galo1243-1-tenthousand-1","barlowpacific-galo1243-1","Barlow2024","tenthousand",10000,"Rī̱hoen sàno̱e̱lō","rihoensanoelo","","false",NA,NA,NA
