"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-huli1244-1-one-1","barlowpacific-huli1244-1","Barlow2024","one",1,"mbira","mbira","‘-ria’ suffix for cardinal numbers","false",NA,NA,NA
"2","barlowpacific-huli1244-1-one-2","barlowpacific-huli1244-1","Barlow2024","one",1,"mbiria","mbiria","‘-ria’ suffix for cardinal numbers","false",NA,NA,NA
"3","barlowpacific-huli1244-1-two-1","barlowpacific-huli1244-1","Barlow2024","two",2,"kira","kira","","false",NA,NA,NA
"4","barlowpacific-huli1244-1-two-2","barlowpacific-huli1244-1","Barlow2024","two",2,"kiria","kiria","","false",NA,NA,NA
"5","barlowpacific-huli1244-1-three-1","barlowpacific-huli1244-1","Barlow2024","three",3,"tebira","tebira","","false",NA,NA,NA
"6","barlowpacific-huli1244-1-three-2","barlowpacific-huli1244-1","Barlow2024","three",3,"tebiria","tebiria","","false",NA,NA,NA
"7","barlowpacific-huli1244-1-four-1","barlowpacific-huli1244-1","Barlow2024","four",4,"maria","maria","","false",NA,NA,NA
"8","barlowpacific-huli1244-1-five-1","barlowpacific-huli1244-1","Barlow2024","five",5,"duria","duria","","false",NA,NA,NA
"9","barlowpacific-huli1244-1-five-2","barlowpacific-huli1244-1","Barlow2024","five",5,"turia","turia","","false",NA,NA,NA
"10","barlowpacific-huli1244-1-six-1","barlowpacific-huli1244-1","Barlow2024","six",6,"waragaria","waragaria","","false",NA,NA,NA
"11","barlowpacific-huli1244-1-six-2","barlowpacific-huli1244-1","Barlow2024","six",6,"warakaria","warakaria","","false",NA,NA,NA
"12","barlowpacific-huli1244-1-seven-1","barlowpacific-huli1244-1","Barlow2024","seven",7,"karia","karia","","false",NA,NA,NA
"13","barlowpacific-huli1244-1-eight-1","barlowpacific-huli1244-1","Barlow2024","eight",8,"haliria","haliria","","false",NA,NA,NA
"14","barlowpacific-huli1244-1-nine-1","barlowpacific-huli1244-1","Barlow2024","nine",9,"diria","diria","","false",NA,NA,NA
"15","barlowpacific-huli1244-1-nine-2","barlowpacific-huli1244-1","Barlow2024","nine",9,"tiria","tiria","","false",NA,NA,NA
"16","barlowpacific-huli1244-1-nine-3","barlowpacific-huli1244-1","Barlow2024","nine",9,"dira","dira","","false",NA,NA,NA
"17","barlowpacific-huli1244-1-ten-1","barlowpacific-huli1244-1","Barlow2024","ten",10,"piria","piria","","false",NA,NA,NA
"18","barlowpacific-huli1244-1-ten-2","barlowpacific-huli1244-1","Barlow2024","ten",10,"pira","pira","","false",NA,NA,NA
