"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-kama1367-2-one-1","barlowpacific-kama1367-2","Barlow2024","one",1,"ɛlinɛ","eline","(masc)","false",NA,NA,NA
"2","barlowpacific-kama1367-2-one-2","barlowpacific-kama1367-2","Barlow2024","one",1,"ɛlɛ́nɑ","elena","(fem)","false",NA,NA,NA
"3","barlowpacific-kama1367-2-two-1","barlowpacific-kama1367-2","Barlow2024","two",2,"tɛmi","temi","(masc)","false",NA,NA,NA
"4","barlowpacific-kama1367-2-two-2","barlowpacific-kama1367-2","Barlow2024","two",2,"tɛli","teli","(fem)","false",NA,NA,NA
"5","barlowpacific-kama1367-2-three-1","barlowpacific-kama1367-2","Barlow2024","three",3,"tɛmi ʔəlɛ","temiale","(masc)","false",NA,NA,NA
"6","barlowpacific-kama1367-2-three-2","barlowpacific-kama1367-2","Barlow2024","three",3,"tɛli ʔəlʸɛ","telialye","(fem)","false",NA,NA,NA
"7","barlowpacific-kama1367-2-four-1","barlowpacific-kama1367-2","Barlow2024","four",4,"ɑyɑ tɛmi","ayatemi","(masc)","false",NA,NA,NA
"8","barlowpacific-kama1367-2-four-2","barlowpacific-kama1367-2","Barlow2024","four",4,"ɑyɑ tɛli","ayateli","(fem)","false",NA,NA,NA
"9","barlowpacific-kama1367-2-five-1","barlowpacific-kama1367-2","Barlow2024","five",5,"tɛmi ɑyɑ tɑmi ʔəlí","temiayatamiali","(masc)","false",NA,NA,NA
"10","barlowpacific-kama1367-2-five-2","barlowpacific-kama1367-2","Barlow2024","five",5,"tɛli ɑyɑ tɛli ʔli","teliayatelili","(fem)","false",NA,NA,NA
"11","barlowpacific-kama1367-2-ten-1","barlowpacific-kama1367-2","Barlow2024","ten",10,"si tɑli ʔwɑnɑ","sitaliwana","(masc) [si = arm]","false",NA,NA,NA
