"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-kili1267-2-one-1","barlowpacific-kili1267-2","Barlow2024","one",1,"qaitala","qaitala","(counting long objects)","false",NA,NA,NA
"2","barlowpacific-kili1267-2-one-2","barlowpacific-kili1267-2","Barlow2024","one",1,"kʷaitala","kwaitala","(round objects, incl. money)","false",NA,NA,NA
"3","barlowpacific-kili1267-2-one-3","barlowpacific-kili1267-2","Barlow2024","one",1,"taitala","taitala","(men); etc.","false",NA,NA,NA
"4","barlowpacific-kili1267-2-one-4","barlowpacific-kili1267-2","Barlow2024","one",1,"natana","natana","(women)","false",NA,NA,NA
"5","barlowpacific-kili1267-2-one-5","barlowpacific-kili1267-2","Barlow2024","one",1,"natala","natala","(women)","false",NA,NA,NA
"6","barlowpacific-kili1267-2-two-1","barlowpacific-kili1267-2","Barlow2024","two",2,"qai̯u","qaiu","(counting long objects)","false",NA,NA,NA
"7","barlowpacific-kili1267-2-two-2","barlowpacific-kili1267-2","Barlow2024","two",2,"kʷai̯u","kwaiu","(round objects, incl. money); etc.","false",NA,NA,NA
"8","barlowpacific-kili1267-2-two-3","barlowpacific-kili1267-2","Barlow2024","two",2,"nai̯u","naiu","(women)","false",NA,NA,NA
"9","barlowpacific-kili1267-2-three-1","barlowpacific-kili1267-2","Barlow2024","three",3,"qaitolu","qaitolu","(counting long objects)","false",NA,NA,NA
"10","barlowpacific-kili1267-2-three-2","barlowpacific-kili1267-2","Barlow2024","three",3,"natolu","natolu","(women)","false",NA,NA,NA
"11","barlowpacific-kili1267-2-three-3","barlowpacific-kili1267-2","Barlow2024","three",3,"natonu","natonu","(women); etc.","false",NA,NA,NA
"12","barlowpacific-kili1267-2-four-1","barlowpacific-kili1267-2","Barlow2024","four",4,"qaivasi","qaivasi","(counting long objects)","false",NA,NA,NA
"13","barlowpacific-kili1267-2-five-1","barlowpacific-kili1267-2","Barlow2024","five",5,"qailima","qailima","(counting long objects)","false",NA,NA,NA
"14","barlowpacific-kili1267-2-six-1","barlowpacific-kili1267-2","Barlow2024","six",6,"qailimaqaitala","qailimaqaitala","(counting long objects); etc.","false",NA,NA,NA
"15","barlowpacific-kili1267-2-ten-1","barlowpacific-kili1267-2","Barlow2024","ten",10,"qailuwatala","qailuwatala","(counting long objects)","false",NA,NA,NA
