"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-kupa1239-1-one-1","barlowpacific-kupa1239-1","Barlow2024","one",1,"satu","satu","","false",NA,NA,NA
"2","barlowpacific-kupa1239-1-two-1","barlowpacific-kupa1239-1","Barlow2024","two",2,"dua","dua","","false",NA,NA,NA
"3","barlowpacific-kupa1239-1-three-1","barlowpacific-kupa1239-1","Barlow2024","three",3,"tiga","tiga","","false",NA,NA,NA
"4","barlowpacific-kupa1239-1-four-1","barlowpacific-kupa1239-1","Barlow2024","four",4,"ampa(t)","ampat","","false",NA,NA,NA
"5","barlowpacific-kupa1239-1-five-1","barlowpacific-kupa1239-1","Barlow2024","five",5,"lima","lima","","false",NA,NA,NA
"6","barlowpacific-kupa1239-1-six-1","barlowpacific-kupa1239-1","Barlow2024","six",6,"anam","anam","","false",NA,NA,NA
"7","barlowpacific-kupa1239-1-seven-1","barlowpacific-kupa1239-1","Barlow2024","seven",7,"tuju","tuju","","false",NA,NA,NA
"8","barlowpacific-kupa1239-1-eight-1","barlowpacific-kupa1239-1","Barlow2024","eight",8,"dalapan","dalapan","","false",NA,NA,NA
"9","barlowpacific-kupa1239-1-nine-1","barlowpacific-kupa1239-1","Barlow2024","nine",9,"sambilan","sambilan","","false",NA,NA,NA
"10","barlowpacific-kupa1239-1-ten-1","barlowpacific-kupa1239-1","Barlow2024","ten",10,"sa-pulu","sapulu","","false",NA,NA,NA
"11","barlowpacific-kupa1239-1-twelve-1","barlowpacific-kupa1239-1","Barlow2024","twelve",12,"dua balas","duabalas","","false",NA,NA,NA
"12","barlowpacific-kupa1239-1-twenty-1","barlowpacific-kupa1239-1","Barlow2024","twenty",20,"dua pulu","duapulu","","false",NA,NA,NA
"13","barlowpacific-kupa1239-1-twohundred-1","barlowpacific-kupa1239-1","Barlow2024","twohundred",200,"dua ratus","duaratus","","false",NA,NA,NA
"14","barlowpacific-kupa1239-1-twothousand-1","barlowpacific-kupa1239-1","Barlow2024","twothousand",2000,"dua ribu","duaribu","","false",NA,NA,NA
"15","barlowpacific-kupa1239-1-twomillion-1","barlowpacific-kupa1239-1","Barlow2024","twomillion",2e+06,"dua juta","duajuta","","false",NA,NA,NA
