"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-mala1539-1-one-1","barlowpacific-mala1539-1","Barlow2024","one",1,"sikai","sikai","","false",NA,NA,NA
"2","barlowpacific-mala1539-1-two-1","barlowpacific-mala1539-1","Barlow2024","two",2,"e-ua","eua","In Malikolo, as in Marquesas, r has fallen away, leaving ua","false",NA,NA,NA
"3","barlowpacific-mala1539-1-two-2","barlowpacific-mala1539-1","Barlow2024","two",2,"e ua","eua","","false",NA,NA,NA
"4","barlowpacific-mala1539-1-three-1","barlowpacific-mala1539-1","Barlow2024","three",3,"e roi","eroi","","false",NA,NA,NA
"5","barlowpacific-mala1539-1-three-2","barlowpacific-mala1539-1","Barlow2024","three",3,"eroi","eroi","","false",NA,NA,NA
"6","barlowpacific-mala1539-1-four-1","barlowpacific-mala1539-1","Barlow2024","four",4,"evatz","evatz","","false",NA,NA,NA
"7","barlowpacific-mala1539-1-four-2","barlowpacific-mala1539-1","Barlow2024","four",4,"e vatz","evatz","","false",NA,NA,NA
"8","barlowpacific-mala1539-1-five-1","barlowpacific-mala1539-1","Barlow2024","five",5,"e rima","erima","","false",NA,NA,NA
"9","barlowpacific-mala1539-1-six-1","barlowpacific-mala1539-1","Barlow2024","six",6,"sukai","sukai","","false",NA,NA,NA
"10","barlowpacific-mala1539-1-six-2","barlowpacific-mala1539-1","Barlow2024","six",6,"su kai","sukai","","false",NA,NA,NA
"11","barlowpacific-mala1539-1-seven-1","barlowpacific-mala1539-1","Barlow2024","seven",7,"whi-u","whiu","","false",NA,NA,NA
"12","barlowpacific-mala1539-1-seven-2","barlowpacific-mala1539-1","Barlow2024","seven",7,"whi u","whiu","","false",NA,NA,NA
"13","barlowpacific-mala1539-1-eight-1","barlowpacific-mala1539-1","Barlow2024","eight",8,"oroi","oroi","","false",NA,NA,NA
"14","barlowpacific-mala1539-1-eight-2","barlowpacific-mala1539-1","Barlow2024","eight",8,"o roi","oroi","","false",NA,NA,NA
"15","barlowpacific-mala1539-1-nine-1","barlowpacific-mala1539-1","Barlow2024","nine",9,"whi-vatz","whivatz","","false",NA,NA,NA
"16","barlowpacific-mala1539-1-nine-2","barlowpacific-mala1539-1","Barlow2024","nine",9,"whi vatz","whivatz","","false",NA,NA,NA
"17","barlowpacific-mala1539-1-ten-1","barlowpacific-mala1539-1","Barlow2024","ten",10,"singeap","singeap","","false",NA,NA,NA
