"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-mutu1242-2-one-1","barlowpacific-mutu1242-2","Barlow2024","one",1,"es","es","","false",NA,NA,NA
"2","barlowpacific-mutu1242-2-two-1","barlowpacific-mutu1242-2","Barlow2024","two",2,"ru","ru","","false",NA,NA,NA
"3","barlowpacific-mutu1242-2-three-1","barlowpacific-mutu1242-2","Barlow2024","three",3,"tol","tol","","false",NA,NA,NA
"4","barlowpacific-mutu1242-2-four-1","barlowpacific-mutu1242-2","Barlow2024","four",4,"pang","pang","","false",NA,NA,NA
"5","barlowpacific-mutu1242-2-five-1","barlowpacific-mutu1242-2","Barlow2024","five",5,"lim","lim","","false",NA,NA,NA
"6","barlowpacific-mutu1242-2-six-1","barlowpacific-mutu1242-2","Barlow2024","six",6,"lim be es","limbees","","false",NA,NA,NA
"7","barlowpacific-mutu1242-2-seven-1","barlowpacific-mutu1242-2","Barlow2024","seven",7,"lim be ru","limberu","","false",NA,NA,NA
"8","barlowpacific-mutu1242-2-ten-1","barlowpacific-mutu1242-2","Barlow2024","ten",10,"sanggul","sanggul","","false",NA,NA,NA
"9","barlowpacific-mutu1242-2-ten-2","barlowpacific-mutu1242-2","Barlow2024","ten",10,"sanggavul","sanggavul","variant","false",NA,NA,NA
"10","barlowpacific-mutu1242-2-ten-3","barlowpacific-mutu1242-2","Barlow2024","ten",10,"sanggawul","sanggawul","variant","false",NA,NA,NA
"11","barlowpacific-mutu1242-2-eleven-1","barlowpacific-mutu1242-2","Barlow2024","eleven",11,"sanggul be es","sanggulbees","","false",NA,NA,NA
"12","barlowpacific-mutu1242-2-eleven-2","barlowpacific-mutu1242-2","Barlow2024","eleven",11,"sanggul es","sanggules","variant","false",NA,NA,NA
"13","barlowpacific-mutu1242-2-eleven-3","barlowpacific-mutu1242-2","Barlow2024","eleven",11,"sanggul ve es","sanggulvees","variant","false",NA,NA,NA
"14","barlowpacific-mutu1242-2-twelve-1","barlowpacific-mutu1242-2","Barlow2024","twelve",12,"sanggul be ru","sanggulberu","","false",NA,NA,NA
"15","barlowpacific-mutu1242-2-fifteen-1","barlowpacific-mutu1242-2","Barlow2024","fifteen",15,"sanggul be lim","sanggulbelim","","false",NA,NA,NA
"16","barlowpacific-mutu1242-2-sixteen-1","barlowpacific-mutu1242-2","Barlow2024","sixteen",16,"sanggul be lim be es","sanggulbelimbees","","false",NA,NA,NA
"17","barlowpacific-mutu1242-2-nineteen-1","barlowpacific-mutu1242-2","Barlow2024","nineteen",19,"sanggul be lim be pang","sanggulbelimbepang","","false",NA,NA,NA
"18","barlowpacific-mutu1242-2-twenty-1","barlowpacific-mutu1242-2","Barlow2024","twenty",20,"tamot es","tamotes","man one","false",NA,NA,NA
"19","barlowpacific-mutu1242-2-twentyone-1","barlowpacific-mutu1242-2","Barlow2024","twentyone",21,"tamote be es","tamotebees","","false",NA,NA,NA
"20","barlowpacific-mutu1242-2-thirty-1","barlowpacific-mutu1242-2","Barlow2024","thirty",30,"tamote be sanggul","tamotebesanggul","","false",NA,NA,NA
"21","barlowpacific-mutu1242-2-forty-1","barlowpacific-mutu1242-2","Barlow2024","forty",40,"tamotru","tamotru","","false",NA,NA,NA
"22","barlowpacific-mutu1242-2-sixty-1","barlowpacific-mutu1242-2","Barlow2024","sixty",60,"tamotol","tamotol","","false",NA,NA,NA
"23","barlowpacific-mutu1242-2-hundred-1","barlowpacific-mutu1242-2","Barlow2024","hundred",100,"tamot lim","tamotlim","","false",NA,NA,NA
"24","barlowpacific-mutu1242-2-twohundred-1","barlowpacific-mutu1242-2","Barlow2024","twohundred",200,"tamot sanggul","tamotsanggul","","false",NA,NA,NA
"25","barlowpacific-mutu1242-2-fourhundred-1","barlowpacific-mutu1242-2","Barlow2024","fourhundred",400,"ndingnding","ndingnding","ndingnding is said to be translated by informants as ‘100’ and may be used rather loosely to mean an indefinite large number.","false",NA,NA,NA
