"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-nami1256-2-one-1","barlowpacific-nami1256-2","Barlow2024","one",1,"tipiyɑʔ","tipiya","","false",NA,NA,NA
"2","barlowpacific-nami1256-2-two-1","barlowpacific-nami1256-2","Barlow2024","two",2,"pəlíʔ","pali","","false",NA,NA,NA
"3","barlowpacific-nami1256-2-three-1","barlowpacific-nami1256-2","Barlow2024","three",3,"məneʔ","mane","","false",NA,NA,NA
"4","barlowpacific-nami1256-2-four-1","barlowpacific-nami1256-2","Barlow2024","four",4,"luwɑ́·rəʔ","luwara","","false",NA,NA,NA
"5","barlowpacific-nami1256-2-five-1","barlowpacific-nami1256-2","Barlow2024","five",5,"nɑpei","napei","","false",NA,NA,NA
"6","barlowpacific-nami1256-2-six-1","barlowpacific-nami1256-2","Barlow2024","six",6,"wɑɡiʔ","wagi","","false",NA,NA,NA
"7","barlowpacific-nami1256-2-seven-1","barlowpacific-nami1256-2","Barlow2024","seven",7,"wɑrə pəliʔ","warapali","[rә́rә́ʔ = hand]","false",NA,NA,NA
"8","barlowpacific-nami1256-2-eight-1","barlowpacific-nami1256-2","Barlow2024","eight",8,"wɑrə miníʔ","waramini","","false",NA,NA,NA
"9","barlowpacific-nami1256-2-nine-1","barlowpacific-nami1256-2","Barlow2024","nine",9,"wɑrə luwɑʔ","waraluwa","","false",NA,NA,NA
"10","barlowpacific-nami1256-2-ten-1","barlowpacific-nami1256-2","Barlow2024","ten",10,"lu lwɜri tyɑ·wéʔ","lulwerityawe","? (decimal)","false",NA,NA,NA
