"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-nias1242-2-one-1","barlowpacific-nias1242-2","Barlow2024","one",1,"sara","sara","","false",NA,NA,NA
"2","barlowpacific-nias1242-2-two-1","barlowpacific-nias1242-2","Barlow2024","two",2,"doea","doea","","false",NA,NA,NA
"3","barlowpacific-nias1242-2-three-1","barlowpacific-nias1242-2","Barlow2024","three",3,"to̱loe","toloe","","false",NA,NA,NA
"4","barlowpacific-nias1242-2-four-1","barlowpacific-nias1242-2","Barlow2024","four",4,"ofà","ofa","","false",NA,NA,NA
"5","barlowpacific-nias1242-2-five-1","barlowpacific-nias1242-2","Barlow2024","five",5,"līma","lima","","false",NA,NA,NA
"6","barlowpacific-nias1242-2-six-1","barlowpacific-nias1242-2","Barlow2024","six",6,"ono","ono","","false",NA,NA,NA
"7","barlowpacific-nias1242-2-seven-1","barlowpacific-nias1242-2","Barlow2024","seven",7,"fitoe","fitoe","","false",NA,NA,NA
"8","barlowpacific-nias1242-2-eight-1","barlowpacific-nias1242-2","Barlow2024","eight",8,"walo","walo","","false",NA,NA,NA
"9","barlowpacific-nias1242-2-nine-1","barlowpacific-nias1242-2","Barlow2024","nine",9,"sīwa","siwa","","false",NA,NA,NA
"10","barlowpacific-nias1242-2-ten-1","barlowpacific-nias1242-2","Barlow2024","ten",10,"foeloe","foeloe","","false",NA,NA,NA
"11","barlowpacific-nias1242-2-eleven-1","barlowpacific-nias1242-2","Barlow2024","eleven",11,"félérara","felerara","","false",NA,NA,NA
"12","barlowpacific-nias1242-2-twelve-1","barlowpacific-nias1242-2","Barlow2024","twelve",12,"féléndoea","felendoea","","false",NA,NA,NA
"13","barlowpacific-nias1242-2-thirteen-1","barlowpacific-nias1242-2","Barlow2024","thirteen",13,"félénga to̱loe","felengatoloe","","false",NA,NA,NA
"14","barlowpacific-nias1242-2-eighteen-1","barlowpacific-nias1242-2","Barlow2024","eighteen",18,"féléwaloe","felewaloe","","false",NA,NA,NA
"15","barlowpacific-nias1242-2-nineteen-1","barlowpacific-nias1242-2","Barlow2024","nineteen",19,"félésiwa","felesiwa","","false",NA,NA,NA
"16","barlowpacific-nias1242-2-twenty-1","barlowpacific-nias1242-2","Barlow2024","twenty",20,"doeawoeloe","doeawoeloe","","false",NA,NA,NA
"17","barlowpacific-nias1242-2-twentyone-1","barlowpacific-nias1242-2","Barlow2024","twentyone",21,"doeawoeloe sara","doeawoeloesara","","false",NA,NA,NA
"18","barlowpacific-nias1242-2-twentyfive-1","barlowpacific-nias1242-2","Barlow2024","twentyfive",25,"doeawoeloe lima","doeawoeloelima","","false",NA,NA,NA
"19","barlowpacific-nias1242-2-thirty-1","barlowpacific-nias1242-2","Barlow2024","thirty",30,"to̱loengafoeloe","toloengafoeloe","","false",NA,NA,NA
"20","barlowpacific-nias1242-2-forty-1","barlowpacific-nias1242-2","Barlow2024","forty",40,"o̱fàwoeloe","ofawoeloe","","false",NA,NA,NA
"21","barlowpacific-nias1242-2-fifty-1","barlowpacific-nias1242-2","Barlow2024","fifty",50,"limawoeloe","limawoeloe","","false",NA,NA,NA
"22","barlowpacific-nias1242-2-sixty-1","barlowpacific-nias1242-2","Barlow2024","sixty",60,"o̱no̱ngafoeloe","onongafoeloe","","false",NA,NA,NA
"23","barlowpacific-nias1242-2-hundred-1","barlowpacific-nias1242-2","Barlow2024","hundred",100,"ōfoe","ofoe","","false",NA,NA,NA
"24","barlowpacific-nias1242-2-thousand-1","barlowpacific-nias1242-2","Barlow2024","thousand",1000,"ho̱no̱","hono","","false",NA,NA,NA
"25","barlowpacific-nias1242-2-tenthousand-1","barlowpacific-nias1242-2","Barlow2024","tenthousand",10000,"folloe ho̱no̱","folloehono","","false",NA,NA,NA
