"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-otda1235-1-one-1","barlowpacific-otda1235-1","Barlow2024","one",1,"ītjo","itjo","","false",NA,NA,NA
"2","barlowpacific-otda1235-1-two-1","barlowpacific-otda1235-1","Barlow2024","two",2,"doeo","doeo","","false",NA,NA,NA
"3","barlowpacific-otda1235-1-three-1","barlowpacific-otda1235-1","Barlow2024","three",3,"tor̀oe","toroe","","false",NA,NA,NA
"4","barlowpacific-otda1235-1-four-1","barlowpacific-otda1235-1","Barlow2024","four",4,"opat","opat","","false",NA,NA,NA
"5","barlowpacific-otda1235-1-five-1","barlowpacific-otda1235-1","Barlow2024","five",5,"rīmo","rimo","","false",NA,NA,NA
"6","barlowpacific-otda1235-1-six-1","barlowpacific-otda1235-1","Barlow2024","six",6,"onom","onom","","false",NA,NA,NA
"7","barlowpacific-otda1235-1-seven-1","barlowpacific-otda1235-1","Barlow2024","seven",7,"pitoe","pitoe","","false",NA,NA,NA
"8","barlowpacific-otda1235-1-eight-1","barlowpacific-otda1235-1","Barlow2024","eight",8,"djar̀oe","djaroe","","false",NA,NA,NA
"9","barlowpacific-otda1235-1-nine-1","barlowpacific-otda1235-1","Barlow2024","nine",9,"sijoi","sijoi","","false",NA,NA,NA
"10","barlowpacific-otda1235-1-ten-1","barlowpacific-otda1235-1","Barlow2024","ten",10,"sěpoer̀oe","sepoeroe","","false",NA,NA,NA
"11","barlowpacific-otda1235-1-eleven-1","barlowpacific-otda1235-1","Barlow2024","eleven",11,"sěbalas","sebalas","","false",NA,NA,NA
"12","barlowpacific-otda1235-1-twelve-1","barlowpacific-otda1235-1","Barlow2024","twelve",12,"doeobalas","doeobalas","","false",NA,NA,NA
"13","barlowpacific-otda1235-1-thirteen-1","barlowpacific-otda1235-1","Barlow2024","thirteen",13,"tor̀oebalas","toroebalas","","false",NA,NA,NA
"14","barlowpacific-otda1235-1-eighteen-1","barlowpacific-otda1235-1","Barlow2024","eighteen",18,"djar̀oebalas","djaroebalas","","false",NA,NA,NA
"15","barlowpacific-otda1235-1-nineteen-1","barlowpacific-otda1235-1","Barlow2024","nineteen",19,"sijoi balas","sijoibalas","","false",NA,NA,NA
"16","barlowpacific-otda1235-1-twenty-1","barlowpacific-otda1235-1","Barlow2024","twenty",20,"doeopoer̀oe","doeopoeroe","","false",NA,NA,NA
"17","barlowpacific-otda1235-1-twentyone-1","barlowpacific-otda1235-1","Barlow2024","twentyone",21,"doeopoer̀oe ītjo","doeopoeroeitjo","","false",NA,NA,NA
"18","barlowpacific-otda1235-1-twentyfive-1","barlowpacific-otda1235-1","Barlow2024","twentyfive",25,"doeopoer̀oe rīmo","doeopoeroerimo","","false",NA,NA,NA
"19","barlowpacific-otda1235-1-thirty-1","barlowpacific-otda1235-1","Barlow2024","thirty",30,"tor̀oe poer̀oe","toroepoeroe","","false",NA,NA,NA
"20","barlowpacific-otda1235-1-forty-1","barlowpacific-otda1235-1","Barlow2024","forty",40,"opat poer̀oe","opatpoeroe","","false",NA,NA,NA
"21","barlowpacific-otda1235-1-fifty-1","barlowpacific-otda1235-1","Barlow2024","fifty",50,"rīmo poer̀oe","rimopoeroe","","false",NA,NA,NA
"22","barlowpacific-otda1235-1-sixty-1","barlowpacific-otda1235-1","Barlow2024","sixty",60,"onom poer̀oe","onompoeroe","","false",NA,NA,NA
"23","barlowpacific-otda1235-1-hundred-1","barlowpacific-otda1235-1","Barlow2024","hundred",100,"sěratoes","seratoes","","false",NA,NA,NA
"24","barlowpacific-otda1235-1-thousand-1","barlowpacific-otda1235-1","Barlow2024","thousand",1000,"sěhoedjan","sehoedjan","","false",NA,NA,NA
"25","barlowpacific-otda1235-1-tenthousand-1","barlowpacific-otda1235-1","Barlow2024","tenthousand",10000,"sěpoeroek oedjan","sepoeroekoedjan","","false",NA,NA,NA
