"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-papi1255-2-one-1","barlowpacific-papi1255-2","Barlow2024","one",1,"wɑrinɛbu","warinebu","(masc)","false",NA,NA,NA
"2","barlowpacific-papi1255-2-one-2","barlowpacific-papi1255-2","Barlow2024","one",1,"wɑyɛnɑƀu","wayenabu","(fem)","false",NA,NA,NA
"3","barlowpacific-papi1255-2-one-3","barlowpacific-papi1255-2","Barlow2024","one",1,"mɑyɛnəpi","mayenapi","(tree)","false",NA,NA,NA
"4","barlowpacific-papi1255-2-two-1","barlowpacific-papi1255-2","Barlow2024","two",2,"ɑmɑwúwyɑ","amawuwya","(masc)","false",NA,NA,NA
"5","barlowpacific-papi1255-2-two-2","barlowpacific-papi1255-2","Barlow2024","two",2,"ɑmɑwʊwyɑ","amawuwya","(fem)","false",NA,NA,NA
"6","barlowpacific-papi1255-2-two-3","barlowpacific-papi1255-2","Barlow2024","two",2,"ɑmɑwiwyɔ","amawiwyo","(tree) classifying on number 1 and on adjectives","false",NA,NA,NA
"7","barlowpacific-papi1255-2-three-1","barlowpacific-papi1255-2","Barlow2024","three",3,"pu·wɑpɑi","puwapai","(masc)","false",NA,NA,NA
"8","barlowpacific-papi1255-2-three-2","barlowpacific-papi1255-2","Barlow2024","three",3,"(pwɔrɛni)","pworeni","(masc)","false",NA,NA,NA
"9","barlowpacific-papi1255-2-three-3","barlowpacific-papi1255-2","Barlow2024","three",3,"puwɑpɑyi","puwapayi","(fem)","false",NA,NA,NA
"10","barlowpacific-papi1255-2-four-1","barlowpacific-papi1255-2","Barlow2024","four",4,"ɑmuke kínɑpu","amukekinapu","(masc)","false",NA,NA,NA
"11","barlowpacific-papi1255-2-four-2","barlowpacific-papi1255-2","Barlow2024","four",4,"ɑmuke kinɑpu","amukekinapu","(fem)","false",NA,NA,NA
"12","barlowpacific-papi1255-2-five-1","barlowpacific-papi1255-2","Barlow2024","five",5,"məsinuƀu","masinubu","(masc)","false",NA,NA,NA
"13","barlowpacific-papi1255-2-five-2","barlowpacific-papi1255-2","Barlow2024","five",5,"məsinubu","masinubu","(fem)","false",NA,NA,NA
