"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-puyu1239-1-one-1","barlowpacific-puyu1239-1","Barlow2024","one",1,"sa","sa","","false",NA,NA,NA
"2","barlowpacific-puyu1239-1-two-1","barlowpacific-puyu1239-1","Barlow2024","two",2,"ɖua","dua","","false",NA,NA,NA
"3","barlowpacific-puyu1239-1-three-1","barlowpacific-puyu1239-1","Barlow2024","three",3,"təɭu","talu","","false",NA,NA,NA
"4","barlowpacific-puyu1239-1-four-1","barlowpacific-puyu1239-1","Barlow2024","four",4,"pat","pat","","false",NA,NA,NA
"5","barlowpacific-puyu1239-1-five-1","barlowpacific-puyu1239-1","Barlow2024","five",5,"ɭima","lima","","false",NA,NA,NA
"6","barlowpacific-puyu1239-1-six-1","barlowpacific-puyu1239-1","Barlow2024","six",6,"ənəm","anam","","false",NA,NA,NA
"7","barlowpacific-puyu1239-1-seven-1","barlowpacific-puyu1239-1","Barlow2024","seven",7,"pitu","pitu","","false",NA,NA,NA
"8","barlowpacific-puyu1239-1-eight-1","barlowpacific-puyu1239-1","Barlow2024","eight",8,"waɭu","walu","","false",NA,NA,NA
"9","barlowpacific-puyu1239-1-nine-1","barlowpacific-puyu1239-1","Barlow2024","nine",9,"siwa","siwa","","false",NA,NA,NA
"10","barlowpacific-puyu1239-1-ten-1","barlowpacific-puyu1239-1","Barlow2024","ten",10,"puɭu","pulu","","false",NA,NA,NA
"11","barlowpacific-puyu1239-1-ten-2","barlowpacific-puyu1239-1","Barlow2024","ten",10,"mekʈep","mektep","","false",NA,NA,NA
"12","barlowpacific-puyu1239-1-eleven-1","barlowpacific-puyu1239-1","Barlow2024","eleven",11,"məkʈəp misama saya","maktapmisamasaya","","false",NA,NA,NA
"13","barlowpacific-puyu1239-1-twelve-1","barlowpacific-puyu1239-1","Barlow2024","twelve",12,"məkʈəp misama ɖuaya","maktapmisamaduaya","","false",NA,NA,NA
"14","barlowpacific-puyu1239-1-twenty-1","barlowpacific-puyu1239-1","Barlow2024","twenty",20,"maka petaʔan","makapetaan","","false",NA,NA,NA
"15","barlowpacific-puyu1239-1-twentyone-1","barlowpacific-puyu1239-1","Barlow2024","twentyone",21,"maka petaʔan misama saya","makapetaanmisamasaya","","false",NA,NA,NA
"16","barlowpacific-puyu1239-1-hundred-1","barlowpacific-puyu1239-1","Barlow2024","hundred",100,"saɭəman","salaman","","false",NA,NA,NA
"17","barlowpacific-puyu1239-1-thousand-1","barlowpacific-puyu1239-1","Barlow2024","thousand",1000,"kuɖul","kudul","","false",NA,NA,NA
