"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-sang1336-12-one-1","barlowpacific-sang1336-12","Barlow2024","one",1,"Kẹ̌sa","kesa","","false",NA,NA,NA
"2","barlowpacific-sang1336-12-two-1","barlowpacific-sang1336-12","Barlow2024","two",2,"Doean","doean","","false",NA,NA,NA
"3","barlowpacific-sang1336-12-three-1","barlowpacific-sang1336-12","Barlow2024","three",3,"Tẹ̌loen","teloen","","false",NA,NA,NA
"4","barlowpacific-sang1336-12-four-1","barlowpacific-sang1336-12","Barlow2024","four",4,"Kẹ̌pa","kepa","","false",NA,NA,NA
"5","barlowpacific-sang1336-12-five-1","barlowpacific-sang1336-12","Barlow2024","five",5,"Lima","lima","","false",NA,NA,NA
"6","barlowpacific-sang1336-12-six-1","barlowpacific-sang1336-12","Barlow2024","six",6,"Ẹ̌noeng","enoeng","","false",NA,NA,NA
"7","barlowpacific-sang1336-12-seven-1","barlowpacific-sang1336-12","Barlow2024","seven",7,"Pitoe","pitoe","","false",NA,NA,NA
"8","barlowpacific-sang1336-12-eight-1","barlowpacific-sang1336-12","Barlow2024","eight",8,"Deaḷoe","dealoe","","false",NA,NA,NA
"9","barlowpacific-sang1336-12-nine-1","barlowpacific-sang1336-12","Barlow2024","nine",9,"Sio","sio","","false",NA,NA,NA
"10","barlowpacific-sang1336-12-ten-1","barlowpacific-sang1336-12","Barlow2024","ten",10,"Poeḷo","poelo","","false",NA,NA,NA
"11","barlowpacific-sang1336-12-eleven-1","barlowpacific-sang1336-12","Barlow2024","eleven",11,"Mapoeḷo ẹ̌sa","mapoeloesa","","false",NA,NA,NA
"12","barlowpacific-sang1336-12-twelve-1","barlowpacific-sang1336-12","Barlow2024","twelve",12,"Mapoeḷo doea","mapoelodoea","","false",NA,NA,NA
"13","barlowpacific-sang1336-12-thirteen-1","barlowpacific-sang1336-12","Barlow2024","thirteen",13,"Mapoeḷo tẹ̌loe","mapoeloteloe","","false",NA,NA,NA
"14","barlowpacific-sang1336-12-fourteen-1","barlowpacific-sang1336-12","Barlow2024","fourteen",14,"Mapoeḷo ẹ̌pa","mapoeloepa","","false",NA,NA,NA
"15","barlowpacific-sang1336-12-fifteen-1","barlowpacific-sang1336-12","Barlow2024","fifteen",15,"Mapoeḷo lima","mapoelolima","","false",NA,NA,NA
"16","barlowpacific-sang1336-12-sixteen-1","barlowpacific-sang1336-12","Barlow2024","sixteen",16,"Mapoeḷo ẹ̌noeng","mapoeloenoeng","","false",NA,NA,NA
"17","barlowpacific-sang1336-12-seventeen-1","barlowpacific-sang1336-12","Barlow2024","seventeen",17,"Mapoeḷo pitoe","mapoelopitoe","","false",NA,NA,NA
"18","barlowpacific-sang1336-12-eighteen-1","barlowpacific-sang1336-12","Barlow2024","eighteen",18,"Mapoeḷo oeaḷoe","mapoelooealoe","","false",NA,NA,NA
"19","barlowpacific-sang1336-12-nineteen-1","barlowpacific-sang1336-12","Barlow2024","nineteen",19,"Mapoeḷo sio","mapoelosio","","false",NA,NA,NA
"20","barlowpacific-sang1336-12-twenty-1","barlowpacific-sang1336-12","Barlow2024","twenty",20,"doeanpoeḷo","doeanpoelo","","false",NA,NA,NA
"21","barlowpacific-sang1336-12-twentyone-1","barlowpacific-sang1336-12","Barlow2024","twentyone",21,"doeanpoeḷo ẹ̌sa","doeanpoeloesa","","false",NA,NA,NA
"22","barlowpacific-sang1336-12-twentyfive-1","barlowpacific-sang1336-12","Barlow2024","twentyfive",25,"doeanpoeḷo lima","doeanpoelolima","","false",NA,NA,NA
"23","barlowpacific-sang1336-12-thirty-1","barlowpacific-sang1336-12","Barlow2024","thirty",30,"Tẹ̌loen peoḷo","teloenpeolo","","false",NA,NA,NA
"24","barlowpacific-sang1336-12-forty-1","barlowpacific-sang1336-12","Barlow2024","forty",40,"Epaoe poeḷo","epaoepoelo","","false",NA,NA,NA
"25","barlowpacific-sang1336-12-fifty-1","barlowpacific-sang1336-12","Barlow2024","fifty",50,"Liman peoḷo","limanpeolo","","false",NA,NA,NA
"26","barlowpacific-sang1336-12-sixty-1","barlowpacific-sang1336-12","Barlow2024","sixty",60,"Ẹ̌noeng poeḷo","enoengpoelo","","false",NA,NA,NA
"27","barlowpacific-sang1336-12-hundred-1","barlowpacific-sang1336-12","Barlow2024","hundred",100,"Mahạ̌soe","mahasoe","","false",NA,NA,NA
"28","barlowpacific-sang1336-12-thousand-1","barlowpacific-sang1336-12","Barlow2024","thousand",1000,"Sahiwo","sahiwo","","false",NA,NA,NA
"29","barlowpacific-sang1336-12-tenthousand-1","barlowpacific-sang1336-12","Barlow2024","tenthousand",10000,"Mapoeḷo hiwoe","mapoelohiwoe","","false",NA,NA,NA
