"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-sapa1251-1-one-1","barlowpacific-sapa1251-1","Barlow2024","one",1,"ìsaī","isai","","false",NA,NA,NA
"2","barlowpacific-sapa1251-1-two-1","barlowpacific-sapa1251-1","Barlow2024","two",2,"ro͞ewā","roewa","","false",NA,NA,NA
"3","barlowpacific-sapa1251-1-three-1","barlowpacific-sapa1251-1","Barlow2024","three",3,"tōroē","toroe","","false",NA,NA,NA
"4","barlowpacific-sapa1251-1-four-1","barlowpacific-sapa1251-1","Barlow2024","four",4,"hāà","haa","","false",NA,NA,NA
"5","barlowpacific-sapa1251-1-five-1","barlowpacific-sapa1251-1","Barlow2024","five",5,"rìmà","rima","","false",NA,NA,NA
"6","barlowpacific-sapa1251-1-six-1","barlowpacific-sapa1251-1","Barlow2024","six",6,"nōò","noo","","false",NA,NA,NA
"7","barlowpacific-sapa1251-1-seven-1","barlowpacific-sapa1251-1","Barlow2024","seven",7,"hītòe","hitoe","","false",NA,NA,NA
"8","barlowpacific-sapa1251-1-eight-1","barlowpacific-sapa1251-1","Barlow2024","eight",8,"wāròe","waroe","<wāroè ?>","false",NA,NA,NA
"9","barlowpacific-sapa1251-1-nine-1","barlowpacific-sapa1251-1","Barlow2024","nine",9,"sìwā","siwa","","false",NA,NA,NA
"10","barlowpacific-sapa1251-1-ten-1","barlowpacific-sapa1251-1","Barlow2024","ten",10,"hòesa͞i","hoesai","","false",NA,NA,NA
"11","barlowpacific-sapa1251-1-eleven-1","barlowpacific-sapa1251-1","Barlow2024","eleven",11,"hòesĕlànnjo̱","hoeselannjo","","false",NA,NA,NA
"12","barlowpacific-sapa1251-1-twelve-1","barlowpacific-sapa1251-1","Barlow2024","twelve",12,"hòesālàròewā","hoesalaroewa","","false",NA,NA,NA
"13","barlowpacific-sapa1251-1-thirteen-1","barlowpacific-sapa1251-1","Barlow2024","thirteen",13,"hòesālàtoroe","hoesalatoroe","","false",NA,NA,NA
"14","barlowpacific-sapa1251-1-fourteen-1","barlowpacific-sapa1251-1","Barlow2024","fourteen",14,"hòesālàhaa","hoesalahaa","","false",NA,NA,NA
"15","barlowpacific-sapa1251-1-fifteen-1","barlowpacific-sapa1251-1","Barlow2024","fifteen",15,"hòesālàrìmà","hoesalarima","","false",NA,NA,NA
"16","barlowpacific-sapa1251-1-sixteen-1","barlowpacific-sapa1251-1","Barlow2024","sixteen",16,"hòesālànōò","hoesalanoo","","false",NA,NA,NA
"17","barlowpacific-sapa1251-1-seventeen-1","barlowpacific-sapa1251-1","Barlow2024","seventeen",17,"hòesālàhītòe","hoesalahitoe","","false",NA,NA,NA
"18","barlowpacific-sapa1251-1-eighteen-1","barlowpacific-sapa1251-1","Barlow2024","eighteen",18,"hòesālàwāròe","hoesalawaroe","","false",NA,NA,NA
"19","barlowpacific-sapa1251-1-nineteen-1","barlowpacific-sapa1251-1","Barlow2024","nineteen",19,"hòesālàsìwā","hoesalasiwa","","false",NA,NA,NA
"20","barlowpacific-sapa1251-1-twenty-1","barlowpacific-sapa1251-1","Barlow2024","twenty",20,"hòetòero͞ewā","hoetoeroewa","","false",NA,NA,NA
"21","barlowpacific-sapa1251-1-twentyone-1","barlowpacific-sapa1251-1","Barlow2024","twentyone",21,"hòetòe ro͞ewaī lànī","hoetoeroewailani","","false",NA,NA,NA
"22","barlowpacific-sapa1251-1-twentyfive-1","barlowpacific-sapa1251-1","Barlow2024","twentyfive",25,"hòetòe ro͞ewaī rima","hoetoeroewairima","","false",NA,NA,NA
"23","barlowpacific-sapa1251-1-thirty-1","barlowpacific-sapa1251-1","Barlow2024","thirty",30,"hòetōròe","hoetoroe","","false",NA,NA,NA
"24","barlowpacific-sapa1251-1-forty-1","barlowpacific-sapa1251-1","Barlow2024","forty",40,"hòetòehāà","hoetoehaa","","false",NA,NA,NA
"25","barlowpacific-sapa1251-1-fifty-1","barlowpacific-sapa1251-1","Barlow2024","fifty",50,"hoetoerima","hoetoerima","","false",NA,NA,NA
"26","barlowpacific-sapa1251-1-sixty-1","barlowpacific-sapa1251-1","Barlow2024","sixty",60,"hoetoenoo","hoetoenoo","","false",NA,NA,NA
"27","barlowpacific-sapa1251-1-hundred-1","barlowpacific-sapa1251-1","Barlow2024","hundred",100,"òeto͞eṉṉjō","oetoennjo","","false",NA,NA,NA
"28","barlowpacific-sapa1251-1-thousand-1","barlowpacific-sapa1251-1","Barlow2024","thousand",1000,"rìho͞eṉṉjō","rihoennjo","","false",NA,NA,NA
"29","barlowpacific-sapa1251-1-tenthousand-1","barlowpacific-sapa1251-1","Barlow2024","tenthousand",10000,"làlàṉṉjō","lalannjo","","false",NA,NA,NA
