"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-suwa1241-1-one-1","barlowpacific-suwa1241-1","Barlow2024","one",1,"tomita","tomita","","false",NA,NA,NA
"2","barlowpacific-suwa1241-1-two-1","barlowpacific-suwa1241-1","Barlow2024","two",2,"děwoea","dewoea","","false",NA,NA,NA
"3","barlowpacific-suwa1241-1-three-1","barlowpacific-suwa1241-1","Barlow2024","three",3,"toloe","toloe","","false",NA,NA,NA
"4","barlowpacific-suwa1241-1-four-1","barlowpacific-suwa1241-1","Barlow2024","four",4,"wōpato","wopato","","false",NA,NA,NA
"5","barlowpacific-suwa1241-1-five-1","barlowpacific-suwa1241-1","Barlow2024","five",5,"lima","lima","","false",NA,NA,NA
"6","barlowpacific-suwa1241-1-six-1","barlowpacific-suwa1241-1","Barlow2024","six",6,"wono","wono","","false",NA,NA,NA
"7","barlowpacific-suwa1241-1-seven-1","barlowpacific-suwa1241-1","Barlow2024","seven",7,"pitoe","pitoe","","false",NA,NA,NA
"8","barlowpacific-suwa1241-1-eight-1","barlowpacific-suwa1241-1","Barlow2024","eight",8,"waloe","waloe","","false",NA,NA,NA
"9","barlowpacific-suwa1241-1-nine-1","barlowpacific-suwa1241-1","Barlow2024","nine",9,"tijo","tijo","","false",NA,NA,NA
"10","barlowpacific-suwa1241-1-ten-1","barlowpacific-suwa1241-1","Barlow2024","ten",10,"mopoeloe","mopoeloe","","false",NA,NA,NA
"11","barlowpacific-suwa1241-1-eleven-1","barlowpacific-suwa1241-1","Barlow2024","eleven",11,"mopoeloegoe tomita","mopoeloegoetomita","","false",NA,NA,NA
"12","barlowpacific-suwa1241-1-twelve-1","barlowpacific-suwa1241-1","Barlow2024","twelve",12,"mopoeloe wagoe děwoea","mopoeloewagoedewoea","","false",NA,NA,NA
"13","barlowpacific-suwa1241-1-thirteen-1","barlowpacific-suwa1241-1","Barlow2024","thirteen",13,"mopo͞eloegoe toloe","mopoeloegoetoloe","","false",NA,NA,NA
"14","barlowpacific-suwa1241-1-fourteen-1","barlowpacific-suwa1241-1","Barlow2024","fourteen",14,"mopo͞eloegoe wapatoe","mopoeloegoewapatoe","","false",NA,NA,NA
"15","barlowpacific-suwa1241-1-fifteen-1","barlowpacific-suwa1241-1","Barlow2024","fifteen",15,"mopo͞eloegoe lima","mopoeloegoelima","","false",NA,NA,NA
"16","barlowpacific-suwa1241-1-sixteen-1","barlowpacific-suwa1241-1","Barlow2024","sixteen",16,"mopo͞eloegoe wono","mopoeloegoewono","","false",NA,NA,NA
"17","barlowpacific-suwa1241-1-seventeen-1","barlowpacific-suwa1241-1","Barlow2024","seventeen",17,"mopo͞eloegoe pitoe","mopoeloegoepitoe","","false",NA,NA,NA
"18","barlowpacific-suwa1241-1-eighteen-1","barlowpacific-suwa1241-1","Barlow2024","eighteen",18,"mopo͞eloegoe waloe","mopoeloegoewaloe","","false",NA,NA,NA
"19","barlowpacific-suwa1241-1-nineteen-1","barlowpacific-suwa1241-1","Barlow2024","nineteen",19,"mopo͞eloegoe tijo","mopoeloegoetijo","","false",NA,NA,NA
"20","barlowpacific-suwa1241-1-twenty-1","barlowpacific-suwa1241-1","Barlow2024","twenty",20,"děapoeloe","deapoeloe","","false",NA,NA,NA
"21","barlowpacific-suwa1241-1-twentyone-1","barlowpacific-suwa1241-1","Barlow2024","twentyone",21,"děapoeloegoe tomita","deapoeloegoetomita","","false",NA,NA,NA
"22","barlowpacific-suwa1241-1-twentytwo-1","barlowpacific-suwa1241-1","Barlow2024","twentytwo",22,"děapoeloegoe děwoea","deapoeloegoedewoea","","false",NA,NA,NA
"23","barlowpacific-suwa1241-1-thirty-1","barlowpacific-suwa1241-1","Barlow2024","thirty",30,"tōnopoeloe","tonopoeloe","","false",NA,NA,NA
"24","barlowpacific-suwa1241-1-forty-1","barlowpacific-suwa1241-1","Barlow2024","forty",40,"wopatopoeloe","wopatopoeloe","","false",NA,NA,NA
"25","barlowpacific-suwa1241-1-fifty-1","barlowpacific-suwa1241-1","Barlow2024","fifty",50,"limanopoeloe","limanopoeloe","","false",NA,NA,NA
"26","barlowpacific-suwa1241-1-sixty-1","barlowpacific-suwa1241-1","Barlow2024","sixty",60,"wono nopoeloe","wononopoeloe","","false",NA,NA,NA
"27","barlowpacific-suwa1241-1-seventy-1","barlowpacific-suwa1241-1","Barlow2024","seventy",70,"pitoe nopoeloe","pitoenopoeloe","","false",NA,NA,NA
"28","barlowpacific-suwa1241-1-eighty-1","barlowpacific-suwa1241-1","Barlow2024","eighty",80,"waloe nopoeloe","waloenopoeloe","","false",NA,NA,NA
"29","barlowpacific-suwa1241-1-ninety-1","barlowpacific-suwa1241-1","Barlow2024","ninety",90,"tijo nopoeloe","tijonopoeloe","","false",NA,NA,NA
"30","barlowpacific-suwa1241-1-hundred-1","barlowpacific-suwa1241-1","Barlow2024","hundred",100,"mogatoeto","mogatoeto","","false",NA,NA,NA
"31","barlowpacific-suwa1241-1-twohundred-1","barlowpacific-suwa1241-1","Barlow2024","twohundred",200,"děa goetoetoe","deagoetoetoe","<děagoetoeto?>","false",NA,NA,NA
"32","barlowpacific-suwa1241-1-thousand-1","barlowpacific-suwa1241-1","Barlow2024","thousand",1000,"tohiboe","tohiboe","","false",NA,NA,NA
"33","barlowpacific-suwa1241-1-tenthousand-1","barlowpacific-suwa1241-1","Barlow2024","tenthousand",10000,"mopoeloe nohiboe","mopoeloenohiboe","","false",NA,NA,NA
