"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-tomb1243-2-one-1","barlowpacific-tomb1243-2","Barlow2024","one",1,"ěsa","esa","","false",NA,NA,NA
"2","barlowpacific-tomb1243-2-two-1","barlowpacific-tomb1243-2","Barlow2024","two",2,"r̀oea","roea","","false",NA,NA,NA
"3","barlowpacific-tomb1243-2-three-1","barlowpacific-tomb1243-2","Barlow2024","three",3,"těloe","teloe","","false",NA,NA,NA
"4","barlowpacific-tomb1243-2-four-1","barlowpacific-tomb1243-2","Barlow2024","four",4,"ěpat","epat","","false",NA,NA,NA
"5","barlowpacific-tomb1243-2-five-1","barlowpacific-tomb1243-2","Barlow2024","five",5,"lima","lima","","false",NA,NA,NA
"6","barlowpacific-tomb1243-2-six-1","barlowpacific-tomb1243-2","Barlow2024","six",6,"ěněm","enem","","false",NA,NA,NA
"7","barlowpacific-tomb1243-2-seven-1","barlowpacific-tomb1243-2","Barlow2024","seven",7,"pitoe","pitoe","","false",NA,NA,NA
"8","barlowpacific-tomb1243-2-eight-1","barlowpacific-tomb1243-2","Barlow2024","eight",8,"oewaloe","oewaloe","","false",NA,NA,NA
"9","barlowpacific-tomb1243-2-nine-1","barlowpacific-tomb1243-2","Barlow2024","nine",9,"si'ow","siow","","false",NA,NA,NA
"10","barlowpacific-tomb1243-2-ten-1","barlowpacific-tomb1243-2","Barlow2024","ten",10,"mapoelòe","mapoeloe","","false",NA,NA,NA
"11","barlowpacific-tomb1243-2-eleven-1","barlowpacific-tomb1243-2","Barlow2024","eleven",11,"mapoelòe wo ěsa","mapoeloewoesa","","false",NA,NA,NA
"12","barlowpacific-tomb1243-2-twelve-1","barlowpacific-tomb1243-2","Barlow2024","twelve",12,"mapoelòe wo r̀oe'a","mapoeloeworoea","","false",NA,NA,NA
"13","barlowpacific-tomb1243-2-thirteen-1","barlowpacific-tomb1243-2","Barlow2024","thirteen",13,"mapoelòe wo těloe","mapoeloewoteloe","","false",NA,NA,NA
"14","barlowpacific-tomb1243-2-fourteen-1","barlowpacific-tomb1243-2","Barlow2024","fourteen",14,"mapoelòe wo ěpat","mapoeloewoepat","","false",NA,NA,NA
"15","barlowpacific-tomb1243-2-fifteen-1","barlowpacific-tomb1243-2","Barlow2024","fifteen",15,"mapoelòe wo lima","mapoeloewolima","","false",NA,NA,NA
"16","barlowpacific-tomb1243-2-sixteen-1","barlowpacific-tomb1243-2","Barlow2024","sixteen",16,"mapoelòe wo ěněm","mapoeloewoenem","","false",NA,NA,NA
"17","barlowpacific-tomb1243-2-seventeen-1","barlowpacific-tomb1243-2","Barlow2024","seventeen",17,"mapoelòe wo pitoe","mapoeloewopitoe","","false",NA,NA,NA
"18","barlowpacific-tomb1243-2-eighteen-1","barlowpacific-tomb1243-2","Barlow2024","eighteen",18,"mapoelòe wo oealoe","mapoeloewooealoe","","false",NA,NA,NA
"19","barlowpacific-tomb1243-2-nineteen-1","barlowpacific-tomb1243-2","Barlow2024","nineteen",19,"mapoelòe wo siow","mapoeloewosiow","","false",NA,NA,NA
"20","barlowpacific-tomb1243-2-twenty-1","barlowpacific-tomb1243-2","Barlow2024","twenty",20,"r̀oe'a na poelòe","roeanapoeloe","","false",NA,NA,NA
"21","barlowpacific-tomb1243-2-twentyone-1","barlowpacific-tomb1243-2","Barlow2024","twentyone",21,"r̀oe'a na poeloe wo ěsa","roeanapoeloewoesa","","false",NA,NA,NA
"22","barlowpacific-tomb1243-2-twentyfive-1","barlowpacific-tomb1243-2","Barlow2024","twentyfive",25,"r̀oe'a na poeloe wa lima","roeanapoeloewalima","","false",NA,NA,NA
"23","barlowpacific-tomb1243-2-thirty-1","barlowpacific-tomb1243-2","Barlow2024","thirty",30,"těloe na poelòe","teloenapoeloe","","false",NA,NA,NA
"24","barlowpacific-tomb1243-2-forty-1","barlowpacific-tomb1243-2","Barlow2024","forty",40,"ěpat na poelòe","epatnapoeloe","","false",NA,NA,NA
"25","barlowpacific-tomb1243-2-fifty-1","barlowpacific-tomb1243-2","Barlow2024","fifty",50,"lima na poelòe","limanapoeloe","","false",NA,NA,NA
"26","barlowpacific-tomb1243-2-sixty-1","barlowpacific-tomb1243-2","Barlow2024","sixty",60,"ěněm na poelòe","enemnapoeloe","","false",NA,NA,NA
"27","barlowpacific-tomb1243-2-hundred-1","barlowpacific-tomb1243-2","Barlow2024","hundred",100,"ma'atoes","maatoes","","false",NA,NA,NA
"28","barlowpacific-tomb1243-2-thousand-1","barlowpacific-tomb1243-2","Barlow2024","thousand",1000,"mariwoe","mariwoe","","false",NA,NA,NA
"29","barlowpacific-tomb1243-2-tenthousand-1","barlowpacific-tomb1243-2","Barlow2024","tenthousand",10000,"mapoelòe na riwoe","mapoeloenariwoe","","false",NA,NA,NA
