"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-west2557-1-one-1","barlowpacific-west2557-1","Barlow2024","one",1,"sala","sala","","false",NA,NA,NA
"2","barlowpacific-west2557-1-two-1","barlowpacific-west2557-1","Barlow2024","two",2,"dua'","dua","","false",NA,NA,NA
"3","barlowpacific-west2557-1-three-1","barlowpacific-west2557-1","Barlow2024","three",3,"tolu","tolu","","false",NA,NA,NA
"4","barlowpacific-west2557-1-four-1","barlowpacific-west2557-1","Barlow2024","four",4,"pat","pat","","false",NA,NA,NA
"5","barlowpacific-west2557-1-five-1","barlowpacific-west2557-1","Barlow2024","five",5,"lima","lima","","false",NA,NA,NA
"6","barlowpacific-west2557-1-six-1","barlowpacific-west2557-1","Barlow2024","six",6,"ɡonom","gonom","","false",NA,NA,NA
"7","barlowpacific-west2557-1-six-2","barlowpacific-west2557-1","Barlow2024","six",6,"nom","nom","","false",NA,NA,NA
"8","barlowpacific-west2557-1-seven-1","barlowpacific-west2557-1","Barlow2024","seven",7,"pitu","pitu","","false",NA,NA,NA
"9","barlowpacific-west2557-1-eight-1","barlowpacific-west2557-1","Barlow2024","eight",8,"walu","walu","","false",NA,NA,NA
"10","barlowpacific-west2557-1-nine-1","barlowpacific-west2557-1","Barlow2024","nine",9,"wiam","wiam","","false",NA,NA,NA
"11","barlowpacific-west2557-1-ten-1","barlowpacific-west2557-1","Barlow2024","ten",10,"sopulu'","sopulu","","false",NA,NA,NA
"12","barlowpacific-west2557-1-eleven-1","barlowpacific-west2557-1","Barlow2024","eleven",11,"sopulu' bu sala","sopulubusala","","false",NA,NA,NA
"13","barlowpacific-west2557-1-twelve-1","barlowpacific-west2557-1","Barlow2024","twelve",12,"sopulu' bu dua'","sopulubudua","","false",NA,NA,NA
"14","barlowpacific-west2557-1-thirteen-1","barlowpacific-west2557-1","Barlow2024","thirteen",13,"sopulu' bu tolu","sopulubutolu","","false",NA,NA,NA
"15","barlowpacific-west2557-1-fourteen-1","barlowpacific-west2557-1","Barlow2024","fourteen",14,"sopulu' bu pat","sopulubupat","","false",NA,NA,NA
"16","barlowpacific-west2557-1-fifteen-1","barlowpacific-west2557-1","Barlow2024","fifteen",15,"sopulu' bu lima","sopulubulima","","false",NA,NA,NA
"17","barlowpacific-west2557-1-sixteen-1","barlowpacific-west2557-1","Barlow2024","sixteen",16,"sopulu' bu nom","sopulubunom","","false",NA,NA,NA
"18","barlowpacific-west2557-1-seventeen-1","barlowpacific-west2557-1","Barlow2024","seventeen",17,"sopulu' bu pitu","sopulubupitu","","false",NA,NA,NA
"19","barlowpacific-west2557-1-eighteen-1","barlowpacific-west2557-1","Barlow2024","eighteen",18,"sopulu' bu walu","sopulubuwalu","","false",NA,NA,NA
"20","barlowpacific-west2557-1-nineteen-1","barlowpacific-west2557-1","Barlow2024","nineteen",19,"sopulu' bu siam","sopulubusiam","","false",NA,NA,NA
"21","barlowpacific-west2557-1-twenty-1","barlowpacific-west2557-1","Barlow2024","twenty",20,"dua' pulu'","duapulu","","false",NA,NA,NA
"22","barlowpacific-west2557-1-twentyone-1","barlowpacific-west2557-1","Barlow2024","twentyone",21,"dua' pulu' bu sala","duapulubusala","","false",NA,NA,NA
"23","barlowpacific-west2557-1-twentytwo-1","barlowpacific-west2557-1","Barlow2024","twentytwo",22,"dua' pulu' bu dua'","duapulubudua","","false",NA,NA,NA
"24","barlowpacific-west2557-1-thirty-1","barlowpacific-west2557-1","Barlow2024","thirty",30,"tolu pulu'","tolupulu","","false",NA,NA,NA
"25","barlowpacific-west2557-1-forty-1","barlowpacific-west2557-1","Barlow2024","forty",40,"pat pulu'","patpulu","","false",NA,NA,NA
"26","barlowpacific-west2557-1-fifty-1","barlowpacific-west2557-1","Barlow2024","fifty",50,"lima pulu'","limapulu","","false",NA,NA,NA
"27","barlowpacific-west2557-1-sixty-1","barlowpacific-west2557-1","Barlow2024","sixty",60,"nom pulu'","nompulu","","false",NA,NA,NA
"28","barlowpacific-west2557-1-seventy-1","barlowpacific-west2557-1","Barlow2024","seventy",70,"pitu pulu'","pitupulu","","false",NA,NA,NA
"29","barlowpacific-west2557-1-eighty-1","barlowpacific-west2557-1","Barlow2024","eighty",80,"walu pulu'","walupulu","","false",NA,NA,NA
"30","barlowpacific-west2557-1-ninety-1","barlowpacific-west2557-1","Barlow2024","ninety",90,"siam pulu'","siampulu","","false",NA,NA,NA
"31","barlowpacific-west2557-1-hundred-1","barlowpacific-west2557-1","Barlow2024","hundred",100,"soɡatus","sogatus","","false",NA,NA,NA
"32","barlowpacific-west2557-1-onehundredandfifty-1","barlowpacific-west2557-1","Barlow2024","onehundredandfifty",150,"soɡatus bu lima pulu'","sogatusbulimapulu","","false",NA,NA,NA
"33","barlowpacific-west2557-1-twohundred-1","barlowpacific-west2557-1","Barlow2024","twohundred",200,"du' ɡatus","dugatus","","false",NA,NA,NA
"34","barlowpacific-west2557-1-thousand-1","barlowpacific-west2557-1","Barlow2024","thousand",1000,"sonɡibu","songibu","","false",NA,NA,NA
