"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-yaha1247-2-one-1","barlowpacific-yaha1247-2","Barlow2024","one",1,"noumʊn","noumun","","false",NA,NA,NA
"2","barlowpacific-yaha1247-2-two-1","barlowpacific-yaha1247-2","Barlow2024","two",2,"kɔlou","kolou","","false",NA,NA,NA
"3","barlowpacific-yaha1247-2-three-1","barlowpacific-yaha1247-2","Barlow2024","three",3,"kɔlou lʊmʊn","koloulumun","","false",NA,NA,NA
"4","barlowpacific-yaha1247-2-four-1","barlowpacific-yaha1247-2","Barlow2024","four",4,"kili kɔlou","kilikolou","","false",NA,NA,NA
"5","barlowpacific-yaha1247-2-five-1","barlowpacific-yaha1247-2","Barlow2024","five",5,"wɔmnatɛŋ","womnateng","[natɛŋ = arm, palm]","false",NA,NA,NA
"6","barlowpacific-yaha1247-2-six-1","barlowpacific-yaha1247-2","Barlow2024","six",6,"nɛwɔm","newom","","false",NA,NA,NA
"7","barlowpacific-yaha1247-2-seven-1","barlowpacific-yaha1247-2","Barlow2024","seven",7,"nɛwɔm kɔlou","newomkolou","","false",NA,NA,NA
"8","barlowpacific-yaha1247-2-eight-1","barlowpacific-yaha1247-2","Barlow2024","eight",8,"nɛwɔm kɔlou lʊmʊn","newomkoloulumun","","false",NA,NA,NA
"9","barlowpacific-yaha1247-2-nine-1","barlowpacific-yaha1247-2","Barlow2024","nine",9,"nɛwɔm kili kɔ́lou","newomkilikolou","","false",NA,NA,NA
"10","barlowpacific-yaha1247-2-ten-1","barlowpacific-yaha1247-2","Barlow2024","ten",10,"wɔmnatɛŋ wɔmnatɛŋ","womnatengwomnateng","","false",NA,NA,NA
