"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-adho1243-2-one-1","numerals-adho1243-2","Chan2019","one",1,"àcíɛl","aciel","","false",NA,NA,NA
"2","numerals-adho1243-2-two-1","numerals-adho1243-2","Chan2019","two",2,"àríó","ario","","false",NA,NA,NA
"3","numerals-adho1243-2-three-1","numerals-adho1243-2","Chan2019","three",3,"àdeék","adeek","","false",NA,NA,NA
"4","numerals-adho1243-2-four-1","numerals-adho1243-2","Chan2019","four",4,"àŋwɛɛ̂n","angween","","false",NA,NA,NA
"5","numerals-adho1243-2-five-1","numerals-adho1243-2","Chan2019","five",5,"àbîc","abic","","false",NA,NA,NA
"6","numerals-adho1243-2-six-1","numerals-adho1243-2","Chan2019","six",6,"àwúciɛ̄l","awuciel","( 5+ 1 )","false",NA,NA,NA
"7","numerals-adho1243-2-seven-1","numerals-adho1243-2","Chan2019","seven",7,"àbíirò","abiiro","( 5+ 2 )","false",NA,NA,NA
"8","numerals-adho1243-2-eight-1","numerals-adho1243-2","Chan2019","eight",8,"àbɔ́ɔ̀rò","abooro","( 5+ 3 )","false",NA,NA,NA
"9","numerals-adho1243-2-nine-1","numerals-adho1243-2","Chan2019","nine",9,"àbúŋwɛ́n","abungwen","( 5+ 4 )","false",NA,NA,NA
"10","numerals-adho1243-2-ten-1","numerals-adho1243-2","Chan2019","ten",10,"ápāar","apaar","","false",NA,NA,NA
"11","numerals-adho1243-2-eleven-1","numerals-adho1243-2","Chan2019","eleven",11,"ápāar ɡá cìɛ̄l","apaargaciel","","false",NA,NA,NA
"12","numerals-adho1243-2-twelve-1","numerals-adho1243-2","Chan2019","twelve",12,"ápāar ɡá ríɔ̀","apaargario","","false",NA,NA,NA
"13","numerals-adho1243-2-thirteen-1","numerals-adho1243-2","Chan2019","thirteen",13,"ápāar ɡá deék","apaargadeek","","false",NA,NA,NA
"14","numerals-adho1243-2-fourteen-1","numerals-adho1243-2","Chan2019","fourteen",14,"ápāar ɡá ŋwɛɛ̂n","apaargangween","","false",NA,NA,NA
"15","numerals-adho1243-2-fifteen-1","numerals-adho1243-2","Chan2019","fifteen",15,"ápāar ɡá bîc","apaargabic","","false",NA,NA,NA
"16","numerals-adho1243-2-sixteen-1","numerals-adho1243-2","Chan2019","sixteen",16,"ápāar ɡá wúciɛ̄l","apaargawuciel","","false",NA,NA,NA
"17","numerals-adho1243-2-seventeen-1","numerals-adho1243-2","Chan2019","seventeen",17,"ápāar ɡá bíirò","apaargabiiro","","false",NA,NA,NA
"18","numerals-adho1243-2-eighteen-1","numerals-adho1243-2","Chan2019","eighteen",18,"ápāar ɡá bɔ́ɔ̀ro","apaargabooro","","false",NA,NA,NA
"19","numerals-adho1243-2-nineteen-1","numerals-adho1243-2","Chan2019","nineteen",19,"ápāar ɡá búŋwɛ́n","apaargabungwen","","false",NA,NA,NA
"20","numerals-adho1243-2-twenty-1","numerals-adho1243-2","Chan2019","twenty",20,"piér àríò","pierario","","false",NA,NA,NA
"21","numerals-adho1243-2-twentyone-1","numerals-adho1243-2","Chan2019","twentyone",21,"piér àríò ɡá àcìɛ̄l","pierariogaaciel","","false",NA,NA,NA
"22","numerals-adho1243-2-thirty-1","numerals-adho1243-2","Chan2019","thirty",30,"piér àdeék","pieradeek","","false",NA,NA,NA
"23","numerals-adho1243-2-forty-1","numerals-adho1243-2","Chan2019","forty",40,"piér àŋwɛɛ̂n","pierangween","","false",NA,NA,NA
"24","numerals-adho1243-2-fifty-1","numerals-adho1243-2","Chan2019","fifty",50,"piér àbîc","pierabic","","false",NA,NA,NA
"25","numerals-adho1243-2-sixty-1","numerals-adho1243-2","Chan2019","sixty",60,"piér àwúciɛ̄l","pierawuciel","","false",NA,NA,NA
"26","numerals-adho1243-2-seventy-1","numerals-adho1243-2","Chan2019","seventy",70,"piér àbíirò","pierabiiro","","false",NA,NA,NA
"27","numerals-adho1243-2-eighty-1","numerals-adho1243-2","Chan2019","eighty",80,"piér àbɔ́ɔ̀ro","pierabooro","","false",NA,NA,NA
"28","numerals-adho1243-2-ninety-1","numerals-adho1243-2","Chan2019","ninety",90,"piér àbúŋwɛ́n","pierabungwen","","false",NA,NA,NA
"29","numerals-adho1243-2-hundred-1","numerals-adho1243-2","Chan2019","hundred",100,"míyá","miya","","false",NA,NA,NA
"30","numerals-adho1243-2-twohundred-1","numerals-adho1243-2","Chan2019","twohundred",200,"míyá àríó","miyaario","","false",NA,NA,NA
"31","numerals-adho1243-2-thousand-1","numerals-adho1243-2","Chan2019","thousand",1000,"ɡáan cíɛl","gaanciel","","false",NA,NA,NA
