"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-atay1247-2-one-1","numerals-atay1247-2","Chan2019","one",1,"qun","qun","","false",NA,NA,NA
"2","numerals-atay1247-2-one-2","numerals-atay1247-2","Chan2019","one",1,"qutux","qutux","","false",NA,NA,NA
"3","numerals-atay1247-2-one-3","numerals-atay1247-2","Chan2019","one",1,"qutux","qutux","","false",NA,NA,NA
"4","numerals-atay1247-2-two-1","numerals-atay1247-2","Chan2019","two",2,"rusaʔ","rusa","","false",NA,NA,NA
"5","numerals-atay1247-2-two-2","numerals-atay1247-2","Chan2019","two",2,"ʔusayiŋ","usaying","","false",NA,NA,NA
"6","numerals-atay1247-2-two-3","numerals-atay1247-2","Chan2019","two",2,"rarusaʔ","rarusa","","false",NA,NA,NA
"7","numerals-atay1247-2-three-1","numerals-atay1247-2","Chan2019","three",3,"tuuʔ","tuu","","false",NA,NA,NA
"8","numerals-atay1247-2-three-2","numerals-atay1247-2","Chan2019","three",3,"tuɣal","tugal","","false",NA,NA,NA
"9","numerals-atay1247-2-three-3","numerals-atay1247-2","Chan2019","three",3,"tatuuʔ","tatuu","","false",NA,NA,NA
"10","numerals-atay1247-2-four-1","numerals-atay1247-2","Chan2019","four",4,"səpat","sapat","","false",NA,NA,NA
"11","numerals-atay1247-2-four-2","numerals-atay1247-2","Chan2019","four",4,"səpaat","sapaat","","false",NA,NA,NA
"12","numerals-atay1247-2-four-3","numerals-atay1247-2","Chan2019","four",4,"saspat","saspat","","false",NA,NA,NA
"13","numerals-atay1247-2-five-1","numerals-atay1247-2","Chan2019","five",5,"timaʔ","tima","","false",NA,NA,NA
"14","numerals-atay1247-2-five-2","numerals-atay1247-2","Chan2019","five",5,"ʔimaɣal","imagal","","false",NA,NA,NA
"15","numerals-atay1247-2-five-3","numerals-atay1247-2","Chan2019","five",5,"aima","aima","","false",NA,NA,NA
"16","numerals-atay1247-2-six-1","numerals-atay1247-2","Chan2019","six",6,"tayuʔ","tayu","","false",NA,NA,NA
"17","numerals-atay1247-2-six-2","numerals-atay1247-2","Chan2019","six",6,"matuuʔ","matuu","","false",NA,NA,NA
"18","numerals-atay1247-2-six-3","numerals-atay1247-2","Chan2019","six",6,"mamatuuʔ","mamatuu","( 2 x 3 )","false",NA,NA,NA
"19","numerals-atay1247-2-seven-1","numerals-atay1247-2","Chan2019","seven",7,"pituʔ","pitu","","false",NA,NA,NA
"20","numerals-atay1247-2-seven-2","numerals-atay1247-2","Chan2019","seven",7,"mapituʔ","mapitu","","false",NA,NA,NA
"21","numerals-atay1247-2-seven-3","numerals-atay1247-2","Chan2019","seven",7,"mapituʔ","mapitu","","false",NA,NA,NA
"22","numerals-atay1247-2-eight-1","numerals-atay1247-2","Chan2019","eight",8,"pat","pat","","false",NA,NA,NA
"23","numerals-atay1247-2-eight-2","numerals-atay1247-2","Chan2019","eight",8,"maspat","maspat","","false",NA,NA,NA
"24","numerals-atay1247-2-eight-3","numerals-atay1247-2","Chan2019","eight",8,"mamaspat","mamaspat","( 2 x 4 )","false",NA,NA,NA
"25","numerals-atay1247-2-nine-1","numerals-atay1247-2","Chan2019","nine",9,"qisuʔ","qisu","","false",NA,NA,NA
"26","numerals-atay1247-2-nine-2","numerals-atay1247-2","Chan2019","nine",9,"maqisuʔ","maqisu","","false",NA,NA,NA
"27","numerals-atay1247-2-nine-3","numerals-atay1247-2","Chan2019","nine",9,"mamasiquʔ","mamasiqu","","false",NA,NA,NA
"28","numerals-atay1247-2-ten-1","numerals-atay1247-2","Chan2019","ten",10,"puɣ","pug","","false",NA,NA,NA
"29","numerals-atay1247-2-ten-2","numerals-atay1247-2","Chan2019","ten",10,"maɣalpuɣ","magalpug","","false",NA,NA,NA
"30","numerals-atay1247-2-ten-3","numerals-atay1247-2","Chan2019","ten",10,"maɣalpuɣ","magalpug","","false",NA,NA,NA
"31","numerals-atay1247-2-eleven-1","numerals-atay1247-2","Chan2019","eleven",11,"maɣalpuɣ cuʔ qun","magalpugcuqun","","false",NA,NA,NA
"32","numerals-atay1247-2-twelve-1","numerals-atay1247-2","Chan2019","twelve",12,"maɣalpuɣ cuʔ rusaʔ","magalpugcurusa","","false",NA,NA,NA
"33","numerals-atay1247-2-thirteen-1","numerals-atay1247-2","Chan2019","thirteen",13,"maɣalpuɣ cuʔ tuuʔ","magalpugcutuu","","false",NA,NA,NA
"34","numerals-atay1247-2-fourteen-1","numerals-atay1247-2","Chan2019","fourteen",14,"maɣalpuɣ cuʔ səpat","magalpugcusapat","","false",NA,NA,NA
"35","numerals-atay1247-2-fifteen-1","numerals-atay1247-2","Chan2019","fifteen",15,"maɣalpuɣ cuʔ timaʔ","magalpugcutima","","false",NA,NA,NA
"36","numerals-atay1247-2-sixteen-1","numerals-atay1247-2","Chan2019","sixteen",16,"maɣalpuɣ cuʔ matuuʔ","magalpugcumatuu","","false",NA,NA,NA
"37","numerals-atay1247-2-seventeen-1","numerals-atay1247-2","Chan2019","seventeen",17,"maɣalpuɣ cuʔ mapituʔ","magalpugcumapitu","","false",NA,NA,NA
"38","numerals-atay1247-2-eighteen-1","numerals-atay1247-2","Chan2019","eighteen",18,"maɣalpuɣ cuʔ maspat","magalpugcumaspat","","false",NA,NA,NA
"39","numerals-atay1247-2-nineteen-1","numerals-atay1247-2","Chan2019","nineteen",19,"maɣalpuɣ cuʔ maqisuʔ","magalpugcumaqisu","","false",NA,NA,NA
"40","numerals-atay1247-2-twenty-1","numerals-atay1247-2","Chan2019","twenty",20,"mapusal","mapusal","","false",NA,NA,NA
"41","numerals-atay1247-2-twentyone-1","numerals-atay1247-2","Chan2019","twentyone",21,"mapusal cuʔ qun","mapusalcuqun","","false",NA,NA,NA
"42","numerals-atay1247-2-twentytwo-1","numerals-atay1247-2","Chan2019","twentytwo",22,"mapusal cuʔ rusaʔ","mapusalcurusa","","false",NA,NA,NA
"43","numerals-atay1247-2-twentythree-1","numerals-atay1247-2","Chan2019","twentythree",23,"mapusal cuʔ tuuʔ","mapusalcutuu","","false",NA,NA,NA
"44","numerals-atay1247-2-twentyfour-1","numerals-atay1247-2","Chan2019","twentyfour",24,"mapusal cuʔ səpat","mapusalcusapat","","false",NA,NA,NA
"45","numerals-atay1247-2-twentyfive-1","numerals-atay1247-2","Chan2019","twentyfive",25,"mapusal cuʔ timaʔ","mapusalcutima","","false",NA,NA,NA
"46","numerals-atay1247-2-twentysix-1","numerals-atay1247-2","Chan2019","twentysix",26,"mapusal cuʔ matuuʔ","mapusalcumatuu","","false",NA,NA,NA
"47","numerals-atay1247-2-twentyseven-1","numerals-atay1247-2","Chan2019","twentyseven",27,"mapusal cuʔ mapituʔ","mapusalcumapitu","","false",NA,NA,NA
"48","numerals-atay1247-2-twentyeight-1","numerals-atay1247-2","Chan2019","twentyeight",28,"mapusal cuʔ maspat","mapusalcumaspat","","false",NA,NA,NA
"49","numerals-atay1247-2-twentynine-1","numerals-atay1247-2","Chan2019","twentynine",29,"mapusal cuʔ maqisuʔ","mapusalcumaqisu","","false",NA,NA,NA
"50","numerals-atay1247-2-thirty-1","numerals-atay1247-2","Chan2019","thirty",30,"matuul","matuul","","false",NA,NA,NA
"51","numerals-atay1247-2-forty-1","numerals-atay1247-2","Chan2019","forty",40,"maspatul","maspatul","","false",NA,NA,NA
"52","numerals-atay1247-2-fifty-1","numerals-atay1247-2","Chan2019","fifty",50,"maimal","maimal","","false",NA,NA,NA
"53","numerals-atay1247-2-sixty-1","numerals-atay1247-2","Chan2019","sixty",60,"kinamalapɣan","kinamalapgan","","false",NA,NA,NA
"54","numerals-atay1247-2-seventy-1","numerals-atay1247-2","Chan2019","seventy",70,"mamapituʔ","mamapitu","","false",NA,NA,NA
"55","numerals-atay1247-2-eighty-1","numerals-atay1247-2","Chan2019","eighty",80,"mamaspat","mamaspat","","false",NA,NA,NA
"56","numerals-atay1247-2-ninety-1","numerals-atay1247-2","Chan2019","ninety",90,"mamaqisuʔ","mamaqisu","","false",NA,NA,NA
"57","numerals-atay1247-2-hundred-1","numerals-atay1247-2","Chan2019","hundred",100,"kaβhul","kabhul","","false",NA,NA,NA
"58","numerals-atay1247-2-twohundred-1","numerals-atay1247-2","Chan2019","twohundred",200,"rusaʔ kaβhul","rusakabhul","","false",NA,NA,NA
"59","numerals-atay1247-2-thousand-1","numerals-atay1247-2","Chan2019","thousand",1000,"maɣalpuɣ kaβhul","magalpugkabhul","( 10 x 100 )","false",NA,NA,NA
