"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-bamu1253-2-one-1","numerals-bamu1253-2","Chan2019","one",1,"ímoʔ","imo","","false",NA,NA,NA
"2","numerals-bamu1253-2-two-1","numerals-bamu1253-2","Chan2019","two",2,"ípáa","ipaa","","false",NA,NA,NA
"3","numerals-bamu1253-2-three-1","numerals-bamu1253-2","Chan2019","three",3,"ítɛt","itet","","false",NA,NA,NA
"4","numerals-bamu1253-2-four-1","numerals-bamu1253-2","Chan2019","four",4,"ípkwà","ipkwa","","false",NA,NA,NA
"5","numerals-bamu1253-2-five-1","numerals-bamu1253-2","Chan2019","five",5,"ítɛ̀n","iten","","false",NA,NA,NA
"6","numerals-bamu1253-2-six-1","numerals-bamu1253-2","Chan2019","six",6,"ítúu","ituu","","false",NA,NA,NA
"7","numerals-bamu1253-2-seven-1","numerals-bamu1253-2","Chan2019","seven",7,"ísamba","isamba","","false",NA,NA,NA
"8","numerals-bamu1253-2-eight-1","numerals-bamu1253-2","Chan2019","eight",8,"ífámə","ifama","","false",NA,NA,NA
"9","numerals-bamu1253-2-nine-1","numerals-bamu1253-2","Chan2019","nine",9,"ívʉ̀ʔʉ́","ivuu","","false",NA,NA,NA
"10","numerals-bamu1253-2-ten-1","numerals-bamu1253-2","Chan2019","ten",10,"ɣóm","gom","","false",NA,NA,NA
"11","numerals-bamu1253-2-eleven-1","numerals-bamu1253-2","Chan2019","eleven",11,"ɣóm ntʃup ímoʔ","gomntsupimo","","false",NA,NA,NA
"12","numerals-bamu1253-2-twelve-1","numerals-bamu1253-2","Chan2019","twelve",12,"ɣóm ntʃup ípáa","gomntsupipaa","","false",NA,NA,NA
"13","numerals-bamu1253-2-thirteen-1","numerals-bamu1253-2","Chan2019","thirteen",13,"ɣóm ntʃup ítɛt","gomntsupitet","","false",NA,NA,NA
"14","numerals-bamu1253-2-fourteen-1","numerals-bamu1253-2","Chan2019","fourteen",14,"ɣóm ntʃup ípkwà","gomntsupipkwa","","false",NA,NA,NA
"15","numerals-bamu1253-2-fifteen-1","numerals-bamu1253-2","Chan2019","fifteen",15,"ɣóm ntʃup ítɛ̀n","gomntsupiten","","false",NA,NA,NA
"16","numerals-bamu1253-2-sixteen-1","numerals-bamu1253-2","Chan2019","sixteen",16,"ɣóm ntʃup ítúu","gomntsupituu","","false",NA,NA,NA
"17","numerals-bamu1253-2-seventeen-1","numerals-bamu1253-2","Chan2019","seventeen",17,"ɣóm ntʃup ísamba","gomntsupisamba","","false",NA,NA,NA
"18","numerals-bamu1253-2-eighteen-1","numerals-bamu1253-2","Chan2019","eighteen",18,"ɣóm ntʃup ífámə","gomntsupifama","","false",NA,NA,NA
"19","numerals-bamu1253-2-nineteen-1","numerals-bamu1253-2","Chan2019","nineteen",19,"ɣóm ntʃup ívʉ̀ʔʉ́","gomntsupivuu","","false",NA,NA,NA
"20","numerals-bamu1253-2-twenty-1","numerals-bamu1253-2","Chan2019","twenty",20,"pɛʔkóm","pekom","","false",NA,NA,NA
"21","numerals-bamu1253-2-twentyone-1","numerals-bamu1253-2","Chan2019","twentyone",21,"pɛʔkóm ntʃup ímoʔ","pekomntsupimo","","false",NA,NA,NA
"22","numerals-bamu1253-2-twentytwo-1","numerals-bamu1253-2","Chan2019","twentytwo",22,"pɛʔkóm ntʃup ípáa","pekomntsupipaa","","false",NA,NA,NA
"23","numerals-bamu1253-2-twentythree-1","numerals-bamu1253-2","Chan2019","twentythree",23,"pɛʔkóm ntʃup ítɛt","pekomntsupitet","","false",NA,NA,NA
"24","numerals-bamu1253-2-twentyfour-1","numerals-bamu1253-2","Chan2019","twentyfour",24,"pɛʔkóm ntʃup ípkwà","pekomntsupipkwa","","false",NA,NA,NA
"25","numerals-bamu1253-2-twentyfive-1","numerals-bamu1253-2","Chan2019","twentyfive",25,"pɛʔkóm ntʃup ítɛ̀n","pekomntsupiten","","false",NA,NA,NA
"26","numerals-bamu1253-2-twentysix-1","numerals-bamu1253-2","Chan2019","twentysix",26,"pɛʔkóm ntʃup ítúu","pekomntsupituu","","false",NA,NA,NA
"27","numerals-bamu1253-2-twentyseven-1","numerals-bamu1253-2","Chan2019","twentyseven",27,"pɛʔkóm ntʃup ísamba","pekomntsupisamba","","false",NA,NA,NA
"28","numerals-bamu1253-2-twentyeight-1","numerals-bamu1253-2","Chan2019","twentyeight",28,"pɛʔkóm ntʃup ífámə","pekomntsupifama","","false",NA,NA,NA
"29","numerals-bamu1253-2-twentynine-1","numerals-bamu1253-2","Chan2019","twentynine",29,"pɛʔkóm ntʃup ívʉ̀ʔʉ́","pekomntsupivuu","","false",NA,NA,NA
"30","numerals-bamu1253-2-thirty-1","numerals-bamu1253-2","Chan2019","thirty",30,"tɛʔkóm","tekom","","false",NA,NA,NA
"31","numerals-bamu1253-2-forty-1","numerals-bamu1253-2","Chan2019","forty",40,"pkwakóm","pkwakom","","false",NA,NA,NA
"32","numerals-bamu1253-2-fifty-1","numerals-bamu1253-2","Chan2019","fifty",50,"tɛnkóm","tenkom","","false",NA,NA,NA
"33","numerals-bamu1253-2-sixty-1","numerals-bamu1253-2","Chan2019","sixty",60,"túkóm","tukom","","false",NA,NA,NA
"34","numerals-bamu1253-2-seventy-1","numerals-bamu1253-2","Chan2019","seventy",70,"saɡóm","sagom","","false",NA,NA,NA
"35","numerals-bamu1253-2-eighty-1","numerals-bamu1253-2","Chan2019","eighty",80,"famɡóm","famgom","","false",NA,NA,NA
"36","numerals-bamu1253-2-ninety-1","numerals-bamu1253-2","Chan2019","ninety",90,"vʉ̀ʔɡóm","vugom","","false",NA,NA,NA
"37","numerals-bamu1253-2-hundred-1","numerals-bamu1253-2","Chan2019","hundred",100,"ŋkʉ̀ri","ngkuri","","false",NA,NA,NA
"38","numerals-bamu1253-2-twohundred-1","numerals-bamu1253-2","Chan2019","twohundred",200,"pàkʉt","pakut","","false",NA,NA,NA
"39","numerals-bamu1253-2-thousand-1","numerals-bamu1253-2","Chan2019","thousand",1000,"ŋkám","ngkam","","false",NA,NA,NA
"40","numerals-bamu1253-2-twothousand-1","numerals-bamu1253-2","Chan2019","twothousand",2000,"pɛŋkám","pengkam","","false",NA,NA,NA
