"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-broo1239-1-one-1","numerals-broo1239-1","Chan2019","one",1,"isa","isa","","false",NA,NA,NA
"2","numerals-broo1239-1-one-2","numerals-broo1239-1","Chan2019","one",1,"səmbatu","sambatu","","false",NA,NA,NA
"3","numerals-broo1239-1-two-1","numerals-broo1239-1","Chan2019","two",2,"duwa","duwa","","false",NA,NA,NA
"4","numerals-broo1239-1-three-1","numerals-broo1239-1","Chan2019","three",3,"təlu","talu","","false",NA,NA,NA
"5","numerals-broo1239-1-four-1","numerals-broo1239-1","Chan2019","four",4,"əpat","apat","","false",NA,NA,NA
"6","numerals-broo1239-1-five-1","numerals-broo1239-1","Chan2019","five",5,"lima","lima","","false",NA,NA,NA
"7","numerals-broo1239-1-six-1","numerals-broo1239-1","Chan2019","six",6,"ənəm","anam","","false",NA,NA,NA
"8","numerals-broo1239-1-seven-1","numerals-broo1239-1","Chan2019","seven",7,"pitu","pitu","","false",NA,NA,NA
"9","numerals-broo1239-1-eight-1","numerals-broo1239-1","Chan2019","eight",8,"walu","walu","","false",NA,NA,NA
"10","numerals-broo1239-1-nine-1","numerals-broo1239-1","Chan2019","nine",9,"siam","siam","","false",NA,NA,NA
"11","numerals-broo1239-1-ten-1","numerals-broo1239-1","Chan2019","ten",10,"səmpuluʔ","sampulu","","false",NA,NA,NA
"12","numerals-broo1239-1-eleven-1","numerals-broo1239-1","Chan2019","eleven",11,"səmpuluʔ isa","sampuluisa","","false",NA,NA,NA
"13","numerals-broo1239-1-twelve-1","numerals-broo1239-1","Chan2019","twelve",12,"səmpuluʔ duwa","sampuluduwa","","false",NA,NA,NA
"14","numerals-broo1239-1-thirteen-1","numerals-broo1239-1","Chan2019","thirteen",13,"səmpuluʔ təlu","sampulutalu","","false",NA,NA,NA
"15","numerals-broo1239-1-fourteen-1","numerals-broo1239-1","Chan2019","fourteen",14,"səmpuluʔ əpat","sampuluapat","","false",NA,NA,NA
"16","numerals-broo1239-1-fifteen-1","numerals-broo1239-1","Chan2019","fifteen",15,"səmpuluʔ lima","sampululima","","false",NA,NA,NA
"17","numerals-broo1239-1-sixteen-1","numerals-broo1239-1","Chan2019","sixteen",16,"səmpuluʔ ənəm","sampuluanam","","false",NA,NA,NA
"18","numerals-broo1239-1-seventeen-1","numerals-broo1239-1","Chan2019","seventeen",17,"səmpuluʔ pitu","sampulupitu","","false",NA,NA,NA
"19","numerals-broo1239-1-eighteen-1","numerals-broo1239-1","Chan2019","eighteen",18,"səmpuluʔ walu","sampuluwalu","","false",NA,NA,NA
"20","numerals-broo1239-1-nineteen-1","numerals-broo1239-1","Chan2019","nineteen",19,"səmpuluʔ siam","sampulusiam","","false",NA,NA,NA
"21","numerals-broo1239-1-twenty-1","numerals-broo1239-1","Chan2019","twenty",20,"duwampuluʔ","duwampulu","","false",NA,NA,NA
"22","numerals-broo1239-1-twentyone-1","numerals-broo1239-1","Chan2019","twentyone",21,"duwampuluʔ isa","duwampuluisa","","false",NA,NA,NA
"23","numerals-broo1239-1-twentytwo-1","numerals-broo1239-1","Chan2019","twentytwo",22,"duwampuluʔ duwa","duwampuluduwa","","false",NA,NA,NA
"24","numerals-broo1239-1-twentythree-1","numerals-broo1239-1","Chan2019","twentythree",23,"duwampuluʔ təlu","duwampulutalu","","false",NA,NA,NA
"25","numerals-broo1239-1-twentyfour-1","numerals-broo1239-1","Chan2019","twentyfour",24,"duwampuluʔ əpat","duwampuluapat","","false",NA,NA,NA
"26","numerals-broo1239-1-twentyfive-1","numerals-broo1239-1","Chan2019","twentyfive",25,"duwampuluʔ lima","duwampululima","","false",NA,NA,NA
"27","numerals-broo1239-1-twentysix-1","numerals-broo1239-1","Chan2019","twentysix",26,"duwampuluʔ ənəm","duwampuluanam","","false",NA,NA,NA
"28","numerals-broo1239-1-twentyseven-1","numerals-broo1239-1","Chan2019","twentyseven",27,"duwampuluʔ pitu","duwampulupitu","","false",NA,NA,NA
"29","numerals-broo1239-1-twentyeight-1","numerals-broo1239-1","Chan2019","twentyeight",28,"duwampuluʔ walu","duwampuluwalu","","false",NA,NA,NA
"30","numerals-broo1239-1-twentynine-1","numerals-broo1239-1","Chan2019","twentynine",29,"duwampuluʔ siam","duwampulusiam","","false",NA,NA,NA
