"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-budu1248-2-one-1","numerals-budu1248-2","Chan2019","one",1,"säb","sab","","false",NA,NA,NA
"2","numerals-budu1248-2-two-1","numerals-budu1248-2","Chan2019","two",2,"kʼab","kab","","false",NA,NA,NA
"3","numerals-budu1248-2-three-1","numerals-budu1248-2","Chan2019","three",3,"şub","sub","","false",NA,NA,NA
"4","numerals-budu1248-2-four-1","numerals-budu1248-2","Chan2019","four",4,"yuqʼub","yuqub","","false",NA,NA,NA
"5","numerals-budu1248-2-five-1","numerals-budu1248-2","Chan2019","five",5,"fub","fub","","false",NA,NA,NA
"6","numerals-budu1248-2-six-1","numerals-budu1248-2","Chan2019","six",6,"kɪxhɪb","kixhib","","false",NA,NA,NA
"7","numerals-budu1248-2-seven-1","numerals-budu1248-2","Chan2019","seven",7,"yi'ib","yiib","","false",NA,NA,NA
"8","numerals-budu1248-2-eight-1","numerals-budu1248-2","Chan2019","eight",8,"mɪyɪb","miyib","","false",NA,NA,NA
"9","numerals-budu1248-2-nine-1","numerals-budu1248-2","Chan2019","nine",9,"viçɪb","vicib","","false",NA,NA,NA
"10","numerals-budu1248-2-ten-1","numerals-budu1248-2","Chan2019","ten",10,"yitsʼɪb","yitsib","","false",NA,NA,NA
"11","numerals-budu1248-2-eleven-1","numerals-budu1248-2","Chan2019","eleven",11,"ɪsnasäb","isnasab","","false",NA,NA,NA
"12","numerals-budu1248-2-twelve-1","numerals-budu1248-2","Chan2019","twelve",12,"ɪsnaqʼab","isnaqab","","false",NA,NA,NA
"13","numerals-budu1248-2-thirteen-1","numerals-budu1248-2","Chan2019","thirteen",13,"ɪsnaşub","isnasub","","false",NA,NA,NA
"14","numerals-budu1248-2-fourteen-1","numerals-budu1248-2","Chan2019","fourteen",14,"ɪsnayuqʼub","isnayuqub","","false",NA,NA,NA
"15","numerals-budu1248-2-fifteen-1","numerals-budu1248-2","Chan2019","fifteen",15,"ɪsnafub","isnafub","","false",NA,NA,NA
"16","numerals-budu1248-2-sixteen-1","numerals-budu1248-2","Chan2019","sixteen",16,"ɪsnarɪxhɪb","isnarixhib","","false",NA,NA,NA
"17","numerals-budu1248-2-seventeen-1","numerals-budu1248-2","Chan2019","seventeen",17,"ɪsnarɪ'ɪb","isnariib","","false",NA,NA,NA
"18","numerals-budu1248-2-eighteen-1","numerals-budu1248-2","Chan2019","eighteen",18,"ɪsnamɪyɪb","isnamiyib","","false",NA,NA,NA
"19","numerals-budu1248-2-nineteen-1","numerals-budu1248-2","Chan2019","nineteen",19,"ɪsnaviçɪb","isnavicib","","false",NA,NA,NA
"20","numerals-budu1248-2-twenty-1","numerals-budu1248-2","Chan2019","twenty",20,"kʼab","kab","","false",NA,NA,NA
"21","numerals-budu1248-2-twentyone-1","numerals-budu1248-2","Chan2019","twentyone",21,"kʼanasäb","kanasab","","false",NA,NA,NA
"22","numerals-budu1248-2-twentytwo-1","numerals-budu1248-2","Chan2019","twentytwo",22,"kʼanaqʼab","kanaqab","","false",NA,NA,NA
"23","numerals-budu1248-2-twentythree-1","numerals-budu1248-2","Chan2019","twentythree",23,"kʼanaşub","kanasub","","false",NA,NA,NA
"24","numerals-budu1248-2-twentyfour-1","numerals-budu1248-2","Chan2019","twentyfour",24,"kʼanayuqʼub","kanayuqub","","false",NA,NA,NA
"25","numerals-budu1248-2-twentyfive-1","numerals-budu1248-2","Chan2019","twentyfive",25,"kʼanafub","kanafub","","false",NA,NA,NA
"26","numerals-budu1248-2-twentysix-1","numerals-budu1248-2","Chan2019","twentysix",26,"kʼanarɪxhɪb","kanarixhib","","false",NA,NA,NA
"27","numerals-budu1248-2-twentyseven-1","numerals-budu1248-2","Chan2019","twentyseven",27,"kʼanayi'ib","kanayiib","","false",NA,NA,NA
"28","numerals-budu1248-2-twentyeight-1","numerals-budu1248-2","Chan2019","twentyeight",28,"kʼanamɪyɪb","kanamiyib","","false",NA,NA,NA
"29","numerals-budu1248-2-twentynine-1","numerals-budu1248-2","Chan2019","twentynine",29,"kʼanaviçɪb","kanavicib","","false",NA,NA,NA
"30","numerals-budu1248-2-thirty-1","numerals-budu1248-2","Chan2019","thirty",30,"kʼanɪ'snayitsʼɪb","kanisnayitsib","( 20 + 10 )","false",NA,NA,NA
"31","numerals-budu1248-2-forty-1","numerals-budu1248-2","Chan2019","forty",40,"qʼukab","qukab","","false",NA,NA,NA
"32","numerals-budu1248-2-fifty-1","numerals-budu1248-2","Chan2019","fifty",50,"qʼukanäyɪts'ɪb","qukanayitsib","","false",NA,NA,NA
"33","numerals-budu1248-2-sixty-1","numerals-budu1248-2","Chan2019","sixty",60,"şubk'äb","subkab","( 3 x 20)","false",NA,NA,NA
"34","numerals-budu1248-2-seventy-1","numerals-budu1248-2","Chan2019","seventy",70,"şubk'anäyitsʼɪb","subkanayitsib","","false",NA,NA,NA
"35","numerals-budu1248-2-eighty-1","numerals-budu1248-2","Chan2019","eighty",80,"yukʼab","yukab","( 4 x 20)","false",NA,NA,NA
"36","numerals-budu1248-2-ninety-1","numerals-budu1248-2","Chan2019","ninety",90,"yukʼanäyitsʼɪb","yukanayitsib","","false",NA,NA,NA
"37","numerals-budu1248-2-hundred-1","numerals-budu1248-2","Chan2019","hundred",100,"fukäd","fukad","( 5 x 20)","false",NA,NA,NA
"38","numerals-budu1248-2-twohundred-1","numerals-budu1248-2","Chan2019","twohundred",200,"qʼadfukäd","qadfukad","","false",NA,NA,NA
"39","numerals-budu1248-2-thousand-1","numerals-budu1248-2","Chan2019","thousand",1000,"hazar","hazar","(< from Iranian)","true",NA,NA,NA
"40","numerals-budu1248-2-twothousand-1","numerals-budu1248-2","Chan2019","twothousand",2000,"qʼadhazar","qadhazar","","false",NA,NA,NA
"41","numerals-budu1248-2-tenthousand-1","numerals-budu1248-2","Chan2019","tenthousand",10000,"yitsʼɪbhazar","yitsibhazar","","false",NA,NA,NA
