"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-caml1239-2-one-1","numerals-caml1239-2","Chan2019","one",1,"iː","i","","false",NA,NA,NA
"2","numerals-caml1239-2-two-1","numerals-caml1239-2","Chan2019","two",2,"hakka","hakka","","false",NA,NA,NA
"3","numerals-caml1239-2-three-1","numerals-caml1239-2","Chan2019","three",3,"sʲum","sjum","","false",NA,NA,NA
"4","numerals-caml1239-2-four-1","numerals-caml1239-2","Chan2019","four",4,"ŋara","ngara","","false",NA,NA,NA
"5","numerals-caml1239-2-five-1","numerals-caml1239-2","Chan2019","five",5,"bʰukkara","bhukkara","","false",NA,NA,NA
"6","numerals-caml1239-2-six-1","numerals-caml1239-2","Chan2019","six",6,"t̪uka","tuka","","false",NA,NA,NA
"7","numerals-caml1239-2-seven-1","numerals-caml1239-2","Chan2019","seven",7,"ʃuka","suka","","false",NA,NA,NA
"8","numerals-caml1239-2-eight-1","numerals-caml1239-2","Chan2019","eight",8,"nuka","nuka","","false",NA,NA,NA
"9","numerals-caml1239-2-nine-1","numerals-caml1239-2","Chan2019","nine",9,"nunam","nunam","","false",NA,NA,NA
"10","numerals-caml1239-2-ten-1","numerals-caml1239-2","Chan2019","ten",10,"inam","inam","","false",NA,NA,NA
"11","numerals-caml1239-2-eleven-1","numerals-caml1239-2","Chan2019","eleven",11,"iʔi","ii","","false",NA,NA,NA
"12","numerals-caml1239-2-twelve-1","numerals-caml1239-2","Chan2019","twelve",12,"ihaka","ihaka","","false",NA,NA,NA
"13","numerals-caml1239-2-thirteen-1","numerals-caml1239-2","Chan2019","thirteen",13,"iʃum","isum","","false",NA,NA,NA
"14","numerals-caml1239-2-fourteen-1","numerals-caml1239-2","Chan2019","fourteen",14,"ibʰuka","ibhuka","","false",NA,NA,NA
"15","numerals-caml1239-2-fifteen-1","numerals-caml1239-2","Chan2019","fifteen",15,"iŋa","inga","","false",NA,NA,NA
"16","numerals-caml1239-2-sixteen-1","numerals-caml1239-2","Chan2019","sixteen",16,"it̪uka","ituka","","false",NA,NA,NA
"17","numerals-caml1239-2-seventeen-1","numerals-caml1239-2","Chan2019","seventeen",17,"iʃuka","isuka","","false",NA,NA,NA
"18","numerals-caml1239-2-eighteen-1","numerals-caml1239-2","Chan2019","eighteen",18,"inuka","inuka","","false",NA,NA,NA
"19","numerals-caml1239-2-nineteen-1","numerals-caml1239-2","Chan2019","nineteen",19,"inunam","inunam","","false",NA,NA,NA
"20","numerals-caml1239-2-twenty-1","numerals-caml1239-2","Chan2019","twenty",20,"hakanam","hakanam","","false",NA,NA,NA
"21","numerals-caml1239-2-thirty-1","numerals-caml1239-2","Chan2019","thirty",30,"ʃumnam","sumnam","","false",NA,NA,NA
"22","numerals-caml1239-2-forty-1","numerals-caml1239-2","Chan2019","forty",40,"bʰukanam","bhukanam","","false",NA,NA,NA
"23","numerals-caml1239-2-fifty-1","numerals-caml1239-2","Chan2019","fifty",50,"ŋanam","nganam","","false",NA,NA,NA
"24","numerals-caml1239-2-sixty-1","numerals-caml1239-2","Chan2019","sixty",60,"t̪ukanām","tukanam","","false",NA,NA,NA
"25","numerals-caml1239-2-seventy-1","numerals-caml1239-2","Chan2019","seventy",70,"ʃukanam","sukanam","","false",NA,NA,NA
"26","numerals-caml1239-2-eighty-1","numerals-caml1239-2","Chan2019","eighty",80,"nukanam","nukanam","","false",NA,NA,NA
"27","numerals-caml1239-2-ninety-1","numerals-caml1239-2","Chan2019","ninety",90,"nunamnam","nunamnam","","false",NA,NA,NA
"28","numerals-caml1239-2-hundred-1","numerals-caml1239-2","Chan2019","hundred",100,"inamnam","inamnam","","false",NA,NA,NA
"29","numerals-caml1239-2-thousand-1","numerals-caml1239-2","Chan2019","thousand",1000,"jæd̪d̪i","jaeddi","","false",NA,NA,NA
