"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-dime1235-1-one-1","numerals-dime1235-1","Chan2019","one",1,"ˈwɔkʰʌl","wokhl","","false",NA,NA,NA
"2","numerals-dime1235-1-one-2","numerals-dime1235-1","Chan2019","one",1,"wókkil","wokkil","","false",NA,NA,NA
"3","numerals-dime1235-1-two-1","numerals-dime1235-1","Chan2019","two",2,"ˈkʼʌtʼɨm","ktim","","false",NA,NA,NA
"4","numerals-dime1235-1-two-2","numerals-dime1235-1","Chan2019","two",2,"kʼəstin","kastin","","false",NA,NA,NA
"5","numerals-dime1235-1-three-1","numerals-dime1235-1","Chan2019","three",3,"ˈmʌkʰɨm","mkhim","","false",NA,NA,NA
"6","numerals-dime1235-1-three-2","numerals-dime1235-1","Chan2019","three",3,"mə́kkim","makkim","","false",NA,NA,NA
"7","numerals-dime1235-1-four-1","numerals-dime1235-1","Chan2019","four",4,"ʔʊdːʊ","udu","","false",NA,NA,NA
"8","numerals-dime1235-1-four-2","numerals-dime1235-1","Chan2019","four",4,"ʔúddú","uddu","","false",NA,NA,NA
"9","numerals-dime1235-1-five-1","numerals-dime1235-1","Chan2019","five",5,"ˈʃənːə","sana","","false",NA,NA,NA
"10","numerals-dime1235-1-five-2","numerals-dime1235-1","Chan2019","five",5,"ʃinní","sinni","","false",NA,NA,NA
"11","numerals-dime1235-1-six-1","numerals-dime1235-1","Chan2019","six",6,"ˈlahə","laha","","false",NA,NA,NA
"12","numerals-dime1235-1-six-2","numerals-dime1235-1","Chan2019","six",6,"ˈlah","lah","","false",NA,NA,NA
"13","numerals-dime1235-1-six-3","numerals-dime1235-1","Chan2019","six",6,"láxi","laxi","","false",NA,NA,NA
"14","numerals-dime1235-1-seven-1","numerals-dime1235-1","Chan2019","seven",7,"ˈtʰʊsːʊm","thusum","","false",NA,NA,NA
"15","numerals-dime1235-1-seven-2","numerals-dime1235-1","Chan2019","seven",7,"tússum","tussum","","false",NA,NA,NA
"16","numerals-dime1235-1-eight-1","numerals-dime1235-1","Chan2019","eight",8,"ˈkʼʌʃnaʃ","ksnas","","false",NA,NA,NA
"17","numerals-dime1235-1-eight-2","numerals-dime1235-1","Chan2019","eight",8,"kʼaʃnáʃiʃ","kasnasis","","false",NA,NA,NA
"18","numerals-dime1235-1-nine-1","numerals-dime1235-1","Chan2019","nine",9,"ˈwʌklaʃ","wklas","","false",NA,NA,NA
"19","numerals-dime1235-1-nine-2","numerals-dime1235-1","Chan2019","nine",9,"wókláʃiʃ","woklasis","","false",NA,NA,NA
"20","numerals-dime1235-1-ten-1","numerals-dime1235-1","Chan2019","ten",10,"ˈtʰamːe","thame","","false",NA,NA,NA
"21","numerals-dime1235-1-ten-2","numerals-dime1235-1","Chan2019","ten",10,"təmme","tamme","","false",NA,NA,NA
"22","numerals-dime1235-1-eleven-1","numerals-dime1235-1","Chan2019","eleven",11,"ˈtʰamːe ˈwɔkʰʌl","thamewokhl","","false",NA,NA,NA
"23","numerals-dime1235-1-eleven-2","numerals-dime1235-1","Chan2019","eleven",11,"təmme (ʔáf-ó) w.","tammeafow","","false",NA,NA,NA
"24","numerals-dime1235-1-twelve-1","numerals-dime1235-1","Chan2019","twelve",12,"ˈtʰamːe ˈkʼʌtʼɨm","thamektim","","false",NA,NA,NA
"25","numerals-dime1235-1-thirteen-1","numerals-dime1235-1","Chan2019","thirteen",13,"ˈtʰamːe ˈmʌkʰɨm","thamemkhim","","false",NA,NA,NA
"26","numerals-dime1235-1-fourteen-1","numerals-dime1235-1","Chan2019","fourteen",14,"ˈtʰamːe ʔʊdːʊ","thameudu","","false",NA,NA,NA
"27","numerals-dime1235-1-fifteen-1","numerals-dime1235-1","Chan2019","fifteen",15,"ˈtʰamːe ˈʃənːə","thamesana","","false",NA,NA,NA
