"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-galo1242-2-one-1","numerals-galo1242-2","Chan2019","one",1,"akə̀n","akan","","false",NA,NA,NA
"2","numerals-galo1242-2-two-1","numerals-galo1242-2","Chan2019","two",2,"aɲì","ani","","false",NA,NA,NA
"3","numerals-galo1242-2-three-1","numerals-galo1242-2","Chan2019","three",3,"aúm","aum","","false",NA,NA,NA
"4","numerals-galo1242-2-four-1","numerals-galo1242-2","Chan2019","four",4,"appíi","appii","","false",NA,NA,NA
"5","numerals-galo1242-2-five-1","numerals-galo1242-2","Chan2019","five",5,"aŋŋó","angngo","","false",NA,NA,NA
"6","numerals-galo1242-2-six-1","numerals-galo1242-2","Chan2019","six",6,"akkə́","akka","","false",NA,NA,NA
"7","numerals-galo1242-2-seven-1","numerals-galo1242-2","Chan2019","seven",7,"kanə̀","kana","","false",NA,NA,NA
"8","numerals-galo1242-2-eight-1","numerals-galo1242-2","Chan2019","eight",8,"piinə̀","piina","","false",NA,NA,NA
"9","numerals-galo1242-2-nine-1","numerals-galo1242-2","Chan2019","nine",9,"keŋŋáa","kengngaa","","false",NA,NA,NA
"10","numerals-galo1242-2-ten-1","numerals-galo1242-2","Chan2019","ten",10,"ɨrɨ́ɨ","irii","","false",NA,NA,NA
"11","numerals-galo1242-2-eleven-1","numerals-galo1242-2","Chan2019","eleven",11,"ɨrɨ́ɨ ɡolàa akèn","iriigolaaaken","","false",NA,NA,NA
"12","numerals-galo1242-2-twelve-1","numerals-galo1242-2","Chan2019","twelve",12,"ɨrɨ́ɨ ɡolàa aɲì","iriigolaaani","","false",NA,NA,NA
"13","numerals-galo1242-2-thirteen-1","numerals-galo1242-2","Chan2019","thirteen",13,"ɨrɨ́ɨ ɡolàa aúm","iriigolaaaum","","false",NA,NA,NA
"14","numerals-galo1242-2-fourteen-1","numerals-galo1242-2","Chan2019","fourteen",14,"ɨrɨ́ɨ ɡolàa appíi","iriigolaaappii","","false",NA,NA,NA
"15","numerals-galo1242-2-fifteen-1","numerals-galo1242-2","Chan2019","fifteen",15,"ɨrɨ́ɨ ɡolàa aŋŋó","iriigolaaangngo","","false",NA,NA,NA
"16","numerals-galo1242-2-sixteen-1","numerals-galo1242-2","Chan2019","sixteen",16,"ɨrɨ́ɨ ɡolàa akkə́","iriigolaaakka","","false",NA,NA,NA
"17","numerals-galo1242-2-seventeen-1","numerals-galo1242-2","Chan2019","seventeen",17,"ɨrɨ́ɨ ɡolàa kanə̀","iriigolaakana","","false",NA,NA,NA
"18","numerals-galo1242-2-eighteen-1","numerals-galo1242-2","Chan2019","eighteen",18,"ɨrɨ́ɨ ɡolàa piinə̀","iriigolaapiina","","false",NA,NA,NA
"19","numerals-galo1242-2-nineteen-1","numerals-galo1242-2","Chan2019","nineteen",19,"ɨrɨ́ɨ ɡolàa keŋŋáa","iriigolaakengngaa","","false",NA,NA,NA
"20","numerals-galo1242-2-twenty-1","numerals-galo1242-2","Chan2019","twenty",20,"tɕamɲì","tcamni","","false",NA,NA,NA
"21","numerals-galo1242-2-twentyone-1","numerals-galo1242-2","Chan2019","twentyone",21,"tɕamɲì ɡolàa akèn","tcamnigolaaaken","","false",NA,NA,NA
"22","numerals-galo1242-2-twentytwo-1","numerals-galo1242-2","Chan2019","twentytwo",22,"tɕamɲì ɡolàa aɲì","tcamnigolaaani","","false",NA,NA,NA
"23","numerals-galo1242-2-twentythree-1","numerals-galo1242-2","Chan2019","twentythree",23,"tɕamɲì ɡolàa aúm","tcamnigolaaaum","","false",NA,NA,NA
"24","numerals-galo1242-2-twentyfour-1","numerals-galo1242-2","Chan2019","twentyfour",24,"tɕamɲì ɡolàa appíi","tcamnigolaaappii","","false",NA,NA,NA
"25","numerals-galo1242-2-twentyfive-1","numerals-galo1242-2","Chan2019","twentyfive",25,"tɕamɲì ɡolàa aŋŋó","tcamnigolaaangngo","","false",NA,NA,NA
"26","numerals-galo1242-2-twentysix-1","numerals-galo1242-2","Chan2019","twentysix",26,"tɕamɲì ɡolàa akkə́","tcamnigolaaakka","","false",NA,NA,NA
"27","numerals-galo1242-2-twentyseven-1","numerals-galo1242-2","Chan2019","twentyseven",27,"tɕamɲì ɡolàa kanə̀","tcamnigolaakana","","false",NA,NA,NA
