"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-iyoj1235-2-one-1","numerals-iyoj1235-2","Chan2019","one",1,"i'hyɛnhɪʔ","ihyenhi","(litː 'one finger')","false",NA,NA,NA
"2","numerals-iyoj1235-2-two-1","numerals-iyoj1235-2","Chan2019","two",2,"ɪn'tɑkʰ","intakh","(litː 'two fingers')","false",NA,NA,NA
"3","numerals-iyoj1235-2-three-1","numerals-iyoj1235-2","Chan2019","three",3,"i'jitʔʃɛɛlʌ","ijitseel","(litː 'three together')","false",NA,NA,NA
"4","numerals-iyoj1235-2-four-1","numerals-iyoj1235-2","Chan2019","four",4,"ɪn'ʔseɪkʰ","inseikh","(litː 'four fingers')","false",NA,NA,NA
"5","numerals-iyoj1235-2-five-1","numerals-iyoj1235-2","Chan2019","five",5,"i'hjɛnhɪʔ ʃi'kiɔɪʔ 'nohwʌmʔ","ihjenhisikioinohwm","(litː 'our one hand used up')","false",NA,NA,NA
"6","numerals-iyoj1235-2-six-1","numerals-iyoj1235-2","Chan2019","six",6,"i'hjɛnhɪʔ toʊm ʔnɛ'hɛʔ","ihjenhitoumnehe","(litː 'one from over there')","false",NA,NA,NA
"7","numerals-iyoj1235-2-seven-1","numerals-iyoj1235-2","Chan2019","seven",7,"ɪn'tɑkʰ toʊm ʔnɛ'hɛʔ","intakhtoumnehe","(litː 'two from over there')","false",NA,NA,NA
"8","numerals-iyoj1235-2-eight-1","numerals-iyoj1235-2","Chan2019","eight",8,"i'jitʔʃɛɛlʌ toʊm ʔnɛ'hɛʔ","ijitseeltoumnehe","(litː 'three from over there')","false",NA,NA,NA
"9","numerals-iyoj1235-2-nine-1","numerals-iyoj1235-2","Chan2019","nine",9,"ɪn'ʔseɪkʰ toʊm ʔnɛ'hɛʔ","inseikhtoumnehe","(litː 'four from over there')","false",NA,NA,NA
"10","numerals-iyoj1235-2-ten-1","numerals-iyoj1235-2","Chan2019","ten",10,"ʃiki'jeɪ 'nohwʌmʔ","sikijeinohwm","(litː 'our hands used up', almost obsolete now)","false",NA,NA,NA
"11","numerals-iyoj1235-2-eleven-1","numerals-iyoj1235-2","Chan2019","eleven",11,"i'hjɛnhɪʔ 'ʃuhw'kiʔ 'tɛlɛteɪ","ihjenhisuhwkiteletei","(litː 'our one toe down there', obsolete)","false",NA,NA,NA
"12","numerals-iyoj1235-2-twelve-1","numerals-iyoj1235-2","Chan2019","twelve",12,"ɪn'tɑkʰ 'ʃuhw'kiʔ 'tɛlɛteɪ","intakhsuhwkiteletei","(litː 'our two toes down there', obsolete)","false",NA,NA,NA
"13","numerals-iyoj1235-2-thirteen-1","numerals-iyoj1235-2","Chan2019","thirteen",13,"i'jitʔʃɛɛlʌ 'ʃuhw'kiʔ 'tɛlɛteɪ","ijitseelsuhwkiteletei","(litː 'our three toes down there', obsolete)","false",NA,NA,NA
"14","numerals-iyoj1235-2-fourteen-1","numerals-iyoj1235-2","Chan2019","fourteen",14,"i'jitʔʃɛɛlʌ 'ʃuhw'kiʔ 'tɛlɛteɪ","ijitseelsuhwkiteletei","(litː 'our four toes down there', obsolete)","false",NA,NA,NA
