"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-kabo1247-2-one-1","numerals-kabo1247-2","Chan2019","one",1,"nu","nu","","false",NA,NA,NA
"2","numerals-kabo1247-2-two-1","numerals-kabo1247-2","Chan2019","two",2,"olo","olo","","false",NA,NA,NA
"3","numerals-kabo1247-2-three-1","numerals-kabo1247-2","Chan2019","three",3,"towo","towo","","false",NA,NA,NA
"4","numerals-kabo1247-2-four-1","numerals-kabo1247-2","Chan2019","four",4,"ut","ut","","false",NA,NA,NA
"5","numerals-kabo1247-2-five-1","numerals-kabo1247-2","Chan2019","five",5,"weseng","weseng","","false",NA,NA,NA
"6","numerals-kabo1247-2-six-1","numerals-kabo1247-2","Chan2019","six",6,"talang","talang","","false",NA,NA,NA
"7","numerals-kabo1247-2-seven-1","numerals-kabo1247-2","Chan2019","seven",7,"utco","utco","","false",NA,NA,NA
"8","numerals-kabo1247-2-eight-1","numerals-kabo1247-2","Chan2019","eight",8,"turlo","turlo","","false",NA,NA,NA
"9","numerals-kabo1247-2-nine-1","numerals-kabo1247-2","Chan2019","nine",9,"tiinu","tiinu","","false",NA,NA,NA
"10","numerals-kabo1247-2-ten-1","numerals-kabo1247-2","Chan2019","ten",10,"karnu","karnu","","false",NA,NA,NA
"11","numerals-kabo1247-2-eleven-1","numerals-kabo1247-2","Chan2019","eleven",11,"karnu woling nu","karnuwolingnu","","false",NA,NA,NA
"12","numerals-kabo1247-2-twelve-1","numerals-kabo1247-2","Chan2019","twelve",12,"karnu woling olo","karnuwolingolo","","false",NA,NA,NA
"13","numerals-kabo1247-2-thirteen-1","numerals-kabo1247-2","Chan2019","thirteen",13,"karnu woling towo","karnuwolingtowo","","false",NA,NA,NA
"14","numerals-kabo1247-2-fourteen-1","numerals-kabo1247-2","Chan2019","fourteen",14,"karnu woling ut","karnuwolingut","","false",NA,NA,NA
