"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-khmu1256-2-one-1","numerals-khmu1256-2","Chan2019","one",1,"moj","moj","","false",NA,NA,NA
"2","numerals-khmu1256-2-two-1","numerals-khmu1256-2","Chan2019","two",2,"beer","beer","","false",NA,NA,NA
"3","numerals-khmu1256-2-three-1","numerals-khmu1256-2","Chan2019","three",3,"peʔ","pe","","false",NA,NA,NA
"4","numerals-khmu1256-2-four-1","numerals-khmu1256-2","Chan2019","four",4,"pon","pon","","false",NA,NA,NA
"5","numerals-khmu1256-2-five-1","numerals-khmu1256-2","Chan2019","five",5,"sɯŋ","swng","","false",NA,NA,NA
"6","numerals-khmu1256-2-six-1","numerals-khmu1256-2","Chan2019","six",6,"tɔɔl","tool","","false",NA,NA,NA
"7","numerals-khmu1256-2-seven-1","numerals-khmu1256-2","Chan2019","seven",7,"ɡul","gul","","false",NA,NA,NA
"8","numerals-khmu1256-2-eight-1","numerals-khmu1256-2","Chan2019","eight",8,"rɔɔŋ","roong","","false",NA,NA,NA
"9","numerals-khmu1256-2-nine-1","numerals-khmu1256-2","Chan2019","nine",9,"tiʔ","ti","","false",NA,NA,NA
"10","numerals-khmu1256-2-ten-1","numerals-khmu1256-2","Chan2019","ten",10,"mɡal","mgal","","false",NA,NA,NA
"11","numerals-khmu1256-2-eleven-1","numerals-khmu1256-2","Chan2019","eleven",11,"sip ʔet","sipet","","false",NA,NA,NA
"12","numerals-khmu1256-2-twelve-1","numerals-khmu1256-2","Chan2019","twelve",12,"sipsɔɔŋ","sipsoong","","false",NA,NA,NA
