"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-mari1414-2-one-1","numerals-mari1414-2","Chan2019","one",1,"ond","ond","(i:)","false",NA,NA,NA
"2","numerals-mari1414-2-two-1","numerals-mari1414-2","Chan2019","two",2,"renɖ","rend","(u:)","false",NA,NA,NA
"3","numerals-mari1414-2-three-1","numerals-mari1414-2","Chan2019","three",3,"muːnɖ","mund","(u:)","false",NA,NA,NA
"4","numerals-mari1414-2-four-1","numerals-mari1414-2","Chan2019","four",4,"na:luŋ","nalung","","false",NA,NA,NA
"5","numerals-mari1414-2-five-1","numerals-mari1414-2","Chan2019","five",5,"(h)ayŋ","hayng","","false",NA,NA,NA
"6","numerals-mari1414-2-six-1","numerals-mari1414-2","Chan2019","six",6,"(h)aːruŋ","harung","","false",NA,NA,NA
"7","numerals-mari1414-2-seven-1","numerals-mari1414-2","Chan2019","seven",7,"sat","sat","(uː)","false",NA,NA,NA
"8","numerals-mari1414-2-eight-1","numerals-mari1414-2","Chan2019","eight",8,"aːʈ","at","(uː)","false",NA,NA,NA
"9","numerals-mari1414-2-nine-1","numerals-mari1414-2","Chan2019","nine",9,"naw","naw","(uː)","false",NA,NA,NA
"10","numerals-mari1414-2-ten-1","numerals-mari1414-2","Chan2019","ten",10,"das","das","(uː)","false",NA,NA,NA
"11","numerals-mari1414-2-ten-2","numerals-mari1414-2","Chan2019","ten",10,"pad","pad","","false",NA,NA,NA
"12","numerals-mari1414-2-eleven-1","numerals-mari1414-2","Chan2019","eleven",11,"gyaːraː","gyara","","false",NA,NA,NA
"13","numerals-mari1414-2-twelve-1","numerals-mari1414-2","Chan2019","twelve",12,"baːraː","bara","","false",NA,NA,NA
"14","numerals-mari1414-2-thirteen-1","numerals-mari1414-2","Chan2019","thirteen",13,"teːra","tera","","false",NA,NA,NA
"15","numerals-mari1414-2-fourteen-1","numerals-mari1414-2","Chan2019","fourteen",14,"cawdaː","cawda","","false",NA,NA,NA
"16","numerals-mari1414-2-fifteen-1","numerals-mari1414-2","Chan2019","fifteen",15,"pandraː","pandra","","false",NA,NA,NA
"17","numerals-mari1414-2-sixteen-1","numerals-mari1414-2","Chan2019","sixteen",16,"soːraː","sora","","false",NA,NA,NA
"18","numerals-mari1414-2-seventeen-1","numerals-mari1414-2","Chan2019","seventeen",17,"satraː","satra","","false",NA,NA,NA
"19","numerals-mari1414-2-eighteen-1","numerals-mari1414-2","Chan2019","eighteen",18,"aʈaːraː","atara","","false",NA,NA,NA
"20","numerals-mari1414-2-nineteen-1","numerals-mari1414-2","Chan2019","nineteen",19,"unaːyis","unayis","","false",NA,NA,NA
"21","numerals-mari1414-2-twenty-1","numerals-mari1414-2","Chan2019","twenty",20,"koːɖiː","kodi","","false",NA,NA,NA
"22","numerals-mari1414-2-twentyone-1","numerals-mari1414-2","Chan2019","twentyone",21,"koːɖiː meːnɖ oɳɖ","kodimendond","","false",NA,NA,NA
"23","numerals-mari1414-2-twentytwo-1","numerals-mari1414-2","Chan2019","twentytwo",22,"koːɖiː meːnɖ renɖ","kodimendrend","","false",NA,NA,NA
"24","numerals-mari1414-2-twentythree-1","numerals-mari1414-2","Chan2019","twentythree",23,"koːɖiː meːnɖ muːnɖ","kodimendmund","","false",NA,NA,NA
"25","numerals-mari1414-2-twentyfour-1","numerals-mari1414-2","Chan2019","twentyfour",24,"koːɖiː meːnɖ naːluŋ","kodimendnalung","","false",NA,NA,NA
"26","numerals-mari1414-2-twentyfive-1","numerals-mari1414-2","Chan2019","twentyfive",25,"koːɖiː meːnɖ (h)ayŋ","kodimendhayng","","false",NA,NA,NA
"27","numerals-mari1414-2-twentysix-1","numerals-mari1414-2","Chan2019","twentysix",26,"koːɖiː meːnɖ (h)aːruŋ","kodimendharung","","false",NA,NA,NA
"28","numerals-mari1414-2-twentyseven-1","numerals-mari1414-2","Chan2019","twentyseven",27,"koːɖiː meːnɖ sat","kodimendsat","","false",NA,NA,NA
"29","numerals-mari1414-2-twentyeight-1","numerals-mari1414-2","Chan2019","twentyeight",28,"koːɖiː meːnɖ aːʈ","kodimendat","","false",NA,NA,NA
"30","numerals-mari1414-2-twentynine-1","numerals-mari1414-2","Chan2019","twentynine",29,"koːɖiː meːnɖ naw","kodimendnaw","","false",NA,NA,NA
"31","numerals-mari1414-2-thirty-1","numerals-mari1414-2","Chan2019","thirty",30,"ɖeɖɖaː koːɖiː","deddakodi","( twenty and a half of it)","false",NA,NA,NA
"32","numerals-mari1414-2-forty-1","numerals-mari1414-2","Chan2019","forty",40,"renɖ koːɖiːŋ","rendkoding","( 2 x 20 )","false",NA,NA,NA
"33","numerals-mari1414-2-fifty-1","numerals-mari1414-2","Chan2019","fifty",50,"renɖ koːɖiː meːnɖ das","rendkodimenddas","( 2 x 20+ 10 )","false",NA,NA,NA
"34","numerals-mari1414-2-sixty-1","numerals-mari1414-2","Chan2019","sixty",60,"muːnɖ koːɖiːŋ","mundkoding","( 3 x 20 )","false",NA,NA,NA
"35","numerals-mari1414-2-seventy-1","numerals-mari1414-2","Chan2019","seventy",70,"muːɳɖ meːnɖ das","mundmenddas","( 3 x 20+ 10 )","false",NA,NA,NA
"36","numerals-mari1414-2-eighty-1","numerals-mari1414-2","Chan2019","eighty",80,"naːluŋ koːɖiːŋ","nalungkoding","( 4 x 20 )","false",NA,NA,NA
"37","numerals-mari1414-2-ninety-1","numerals-mari1414-2","Chan2019","ninety",90,"naːluŋ koːɖiː meːnɖ das","nalungkodimenddas","( 4 x 20+ 10 )","false",NA,NA,NA
"38","numerals-mari1414-2-hundred-1","numerals-mari1414-2","Chan2019","hundred",100,"(h)ayŋ koːɖiːŋ","hayngkoding","( 5 x 20 )","false",NA,NA,NA
"39","numerals-mari1414-2-hundred-2","numerals-mari1414-2","Chan2019","hundred",100,"nuːr","nur","","false",NA,NA,NA
"40","numerals-mari1414-2-hundred-3","numerals-mari1414-2","Chan2019","hundred",100,"saw","saw","","false",NA,NA,NA
"41","numerals-mari1414-2-twohundred-1","numerals-mari1414-2","Chan2019","twohundred",200,"renɖ saw","rendsaw","","false",NA,NA,NA
"42","numerals-mari1414-2-thousand-1","numerals-mari1414-2","Chan2019","thousand",1000,"hajaːr","hajar","","false",NA,NA,NA
"43","numerals-mari1414-2-twothousand-1","numerals-mari1414-2","Chan2019","twothousand",2000,"renɖ hajaːr","rendhajar","","false",NA,NA,NA
