"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-muse1242-2-one-1","numerals-muse1242-2","Chan2019","one",1,"dèw","dew","","false",NA,NA,NA
"2","numerals-muse1242-2-two-1","numerals-muse1242-2","Chan2019","two",2,"mbà","mba","","false",NA,NA,NA
"3","numerals-muse1242-2-three-1","numerals-muse1242-2","Chan2019","three",3,"ɦìndì","hindi","","false",NA,NA,NA
"4","numerals-muse1242-2-four-1","numerals-muse1242-2","Chan2019","four",4,"fídí","fidi","","false",NA,NA,NA
"5","numerals-muse1242-2-five-1","numerals-muse1242-2","Chan2019","five",5,"vàɬ","val","","false",NA,NA,NA
"6","numerals-muse1242-2-six-1","numerals-muse1242-2","Chan2019","six",6,"kàrɡìjá","kargija","","false",NA,NA,NA
"7","numerals-muse1242-2-seven-1","numerals-muse1242-2","Chan2019","seven",7,"kìdìzìjá","kidizija","","false",NA,NA,NA
"8","numerals-muse1242-2-eight-1","numerals-muse1242-2","Chan2019","eight",8,"kàlvàndì","kalvandi","","false",NA,NA,NA
"9","numerals-muse1242-2-nine-1","numerals-muse1242-2","Chan2019","nine",9,"ɮèŋè","lzenge","","false",NA,NA,NA
"10","numerals-muse1242-2-ten-1","numerals-muse1242-2","Chan2019","ten",10,"dòk","dok","","false",NA,NA,NA
"11","numerals-muse1242-2-ten-2","numerals-muse1242-2","Chan2019","ten",10,"dòɡò","dogo","","false",NA,NA,NA
"12","numerals-muse1242-2-eleven-1","numerals-muse1242-2","Chan2019","eleven",11,"dòɡò jám dèw","dogojamdew","","false",NA,NA,NA
"13","numerals-muse1242-2-twelve-1","numerals-muse1242-2","Chan2019","twelve",12,"dòɡò jám mbà","dogojammba","","false",NA,NA,NA
"14","numerals-muse1242-2-thirteen-1","numerals-muse1242-2","Chan2019","thirteen",13,"dòɡò jám ɦìndì","dogojamhindi","","false",NA,NA,NA
"15","numerals-muse1242-2-fourteen-1","numerals-muse1242-2","Chan2019","fourteen",14,"dòɡò jám fídí","dogojamfidi","","false",NA,NA,NA
"16","numerals-muse1242-2-fifteen-1","numerals-muse1242-2","Chan2019","fifteen",15,"dòɡò jám vàɬ","dogojamval","","false",NA,NA,NA
"17","numerals-muse1242-2-sixteen-1","numerals-muse1242-2","Chan2019","sixteen",16,"dòɡò jám kàrɡìjá","dogojamkargija","","false",NA,NA,NA
"18","numerals-muse1242-2-seventeen-1","numerals-muse1242-2","Chan2019","seventeen",17,"dòɡò jám kìdìzìjá","dogojamkidizija","","false",NA,NA,NA
"19","numerals-muse1242-2-eighteen-1","numerals-muse1242-2","Chan2019","eighteen",18,"dòɡò jám kàlvàndì","dogojamkalvandi","","false",NA,NA,NA
"20","numerals-muse1242-2-nineteen-1","numerals-muse1242-2","Chan2019","nineteen",19,"dòɡò jám ɮèŋè","dogojamlzenge","","false",NA,NA,NA
"21","numerals-muse1242-2-twenty-1","numerals-muse1242-2","Chan2019","twenty",20,"dòk mbà","dokmba","","false",NA,NA,NA
"22","numerals-muse1242-2-twentyone-1","numerals-muse1242-2","Chan2019","twentyone",21,"dòk mbà jám dèw","dokmbajamdew","","false",NA,NA,NA
"23","numerals-muse1242-2-twentytwo-1","numerals-muse1242-2","Chan2019","twentytwo",22,"dòk mbà jám mbà","dokmbajammba","","false",NA,NA,NA
"24","numerals-muse1242-2-twentythree-1","numerals-muse1242-2","Chan2019","twentythree",23,"dòk mbà jám ɦìndì","dokmbajamhindi","","false",NA,NA,NA
"25","numerals-muse1242-2-twentyfour-1","numerals-muse1242-2","Chan2019","twentyfour",24,"dòk mbà jám fídí","dokmbajamfidi","","false",NA,NA,NA
"26","numerals-muse1242-2-twentyfive-1","numerals-muse1242-2","Chan2019","twentyfive",25,"dòk mbà jám vàɬ","dokmbajamval","","false",NA,NA,NA
"27","numerals-muse1242-2-twentysix-1","numerals-muse1242-2","Chan2019","twentysix",26,"dòk mbà jám kàrɡìjá","dokmbajamkargija","","false",NA,NA,NA
"28","numerals-muse1242-2-twentyseven-1","numerals-muse1242-2","Chan2019","twentyseven",27,"dòk mbà jám kìdìzìjá","dokmbajamkidizija","","false",NA,NA,NA
"29","numerals-muse1242-2-twentyeight-1","numerals-muse1242-2","Chan2019","twentyeight",28,"dòk mbà jám kàlvàndì","dokmbajamkalvandi","","false",NA,NA,NA
"30","numerals-muse1242-2-twentynine-1","numerals-muse1242-2","Chan2019","twentynine",29,"dòk mbà jám ɮèŋè","dokmbajamlzenge","","false",NA,NA,NA
"31","numerals-muse1242-2-thirty-1","numerals-muse1242-2","Chan2019","thirty",30,"dòk ɦìndì","dokhindi","","false",NA,NA,NA
"32","numerals-muse1242-2-forty-1","numerals-muse1242-2","Chan2019","forty",40,"dòk fídí","dokfidi","","false",NA,NA,NA
"33","numerals-muse1242-2-fifty-1","numerals-muse1242-2","Chan2019","fifty",50,"dòk vàɬ","dokval","","false",NA,NA,NA
"34","numerals-muse1242-2-sixty-1","numerals-muse1242-2","Chan2019","sixty",60,"dòk kàrɡìjá","dokkargija","","false",NA,NA,NA
"35","numerals-muse1242-2-seventy-1","numerals-muse1242-2","Chan2019","seventy",70,"dòk kìdìzìjá","dokkidizija","","false",NA,NA,NA
"36","numerals-muse1242-2-eighty-1","numerals-muse1242-2","Chan2019","eighty",80,"dòk kàlvàndì","dokkalvandi","","false",NA,NA,NA
"37","numerals-muse1242-2-ninety-1","numerals-muse1242-2","Chan2019","ninety",90,"dòk ɮèŋè","doklzenge","","false",NA,NA,NA
"38","numerals-muse1242-2-hundred-1","numerals-muse1242-2","Chan2019","hundred",100,"kís","kis","","false",NA,NA,NA
"39","numerals-muse1242-2-twohundred-1","numerals-muse1242-2","Chan2019","twohundred",200,"kís mbà","kismba","","false",NA,NA,NA
"40","numerals-muse1242-2-thousand-1","numerals-muse1242-2","Chan2019","thousand",1000,"mbùmbù","mbumbu","","false",NA,NA,NA
"41","numerals-muse1242-2-twothousand-1","numerals-muse1242-2","Chan2019","twothousand",2000,"mbùmbù mbà","mbumbumba","","false",NA,NA,NA
