"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-nort2617-1-one-1","numerals-nort2617-1","Chan2019","one",1,"en","en","","false",NA,NA,NA
"2","numerals-nort2617-1-one-2","numerals-nort2617-1","Chan2019","one",1,"jin","jin","","false",NA,NA,NA
"3","numerals-nort2617-1-two-1","numerals-nort2617-1","Chan2019","two",2,"tʰwa","thwa","","false",NA,NA,NA
"4","numerals-nort2617-1-two-2","numerals-nort2617-1","Chan2019","two",2,"twe","twe","","false",NA,NA,NA
"5","numerals-nort2617-1-three-1","numerals-nort2617-1","Chan2019","three",3,"θɹi","thri","","false",NA,NA,NA
"6","numerals-nort2617-1-three-2","numerals-nort2617-1","Chan2019","three",3,"θri","thri","","false",NA,NA,NA
"7","numerals-nort2617-1-four-1","numerals-nort2617-1","Chan2019","four",4,"fowər","fowar","","false",NA,NA,NA
"8","numerals-nort2617-1-five-1","numerals-nort2617-1","Chan2019","five",5,"faɪv","faiv","","false",NA,NA,NA
"9","numerals-nort2617-1-six-1","numerals-nort2617-1","Chan2019","six",6,"saks","saks","","false",NA,NA,NA
"10","numerals-nort2617-1-six-2","numerals-nort2617-1","Chan2019","six",6,"seks","seks","","false",NA,NA,NA
"11","numerals-nort2617-1-seven-1","numerals-nort2617-1","Chan2019","seven",7,"ˈsivən","sivan","","false",NA,NA,NA
"12","numerals-nort2617-1-eight-1","numerals-nort2617-1","Chan2019","eight",8,"ext","ext","","false",NA,NA,NA
"13","numerals-nort2617-1-eight-2","numerals-nort2617-1","Chan2019","eight",8,"axt","axt","","false",NA,NA,NA
"14","numerals-nort2617-1-nine-1","numerals-nort2617-1","Chan2019","nine",9,"nəɪn","nain","","false",NA,NA,NA
"15","numerals-nort2617-1-ten-1","numerals-nort2617-1","Chan2019","ten",10,"tʰen","then","","false",NA,NA,NA
"16","numerals-nort2617-1-eleven-1","numerals-nort2617-1","Chan2019","eleven",11,"əˈlivən","alivan","","false",NA,NA,NA
"17","numerals-nort2617-1-twelve-1","numerals-nort2617-1","Chan2019","twelve",12,"ˈtwal","twal","","false",NA,NA,NA
"18","numerals-nort2617-1-thirteen-1","numerals-nort2617-1","Chan2019","thirteen",13,"ˌθɾɛˈtin","thretin","","false",NA,NA,NA
"19","numerals-nort2617-1-fourteen-1","numerals-nort2617-1","Chan2019","fourteen",14,"ˌfʌuɾˈtin","furtin","","false",NA,NA,NA
"20","numerals-nort2617-1-fifteen-1","numerals-nort2617-1","Chan2019","fifteen",15,"ˌfɪfˈtin","fiftin","","false",NA,NA,NA
"21","numerals-nort2617-1-sixteen-1","numerals-nort2617-1","Chan2019","sixteen",16,"ˌseksˈtin","sekstin","","false",NA,NA,NA
"22","numerals-nort2617-1-seventeen-1","numerals-nort2617-1","Chan2019","seventeen",17,"ˌsiːvənˈˈtin","sivantin","","false",NA,NA,NA
"23","numerals-nort2617-1-eighteen-1","numerals-nort2617-1","Chan2019","eighteen",18,"ˌexˈtin","extin","","false",NA,NA,NA
"24","numerals-nort2617-1-eighteen-2","numerals-nort2617-1","Chan2019","eighteen",18,"ˌaxˈtin","axtin","","false",NA,NA,NA
"25","numerals-nort2617-1-nineteen-1","numerals-nort2617-1","Chan2019","nineteen",19,"ˌnaɪnˈtin","naintin","","false",NA,NA,NA
"26","numerals-nort2617-1-twenty-1","numerals-nort2617-1","Chan2019","twenty",20,"ˈtw̥ɪntɪ","twinti","","false",NA,NA,NA
"27","numerals-nort2617-1-twentyone-1","numerals-nort2617-1","Chan2019","twentyone",21,"ˌtw̥ɪntɪ ˈen","twintien","","false",NA,NA,NA
"28","numerals-nort2617-1-twentyone-2","numerals-nort2617-1","Chan2019","twentyone",21,"ˌtw̥ɪntɪ ˈjin","jin","","false",NA,NA,NA
