"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-sala1264-2-one-1","numerals-sala1264-2","Chan2019","one",1,"pir","pir","","false",NA,NA,NA
"2","numerals-sala1264-2-two-1","numerals-sala1264-2","Chan2019","two",2,"i̥ʃki","iski","","false",NA,NA,NA
"3","numerals-sala1264-2-three-1","numerals-sala1264-2","Chan2019","three",3,"oʃ","os","","false",NA,NA,NA
"4","numerals-sala1264-2-four-1","numerals-sala1264-2","Chan2019","four",4,"t̪iot̪ʰ","tioth","","false",NA,NA,NA
"5","numerals-sala1264-2-five-1","numerals-sala1264-2","Chan2019","five",5,"pɛɕ","pec","","false",NA,NA,NA
"6","numerals-sala1264-2-six-1","numerals-sala1264-2","Chan2019","six",6,"aːl̪t̪ʰɘ̆","althe","","false",NA,NA,NA
"7","numerals-sala1264-2-seven-1","numerals-sala1264-2","Chan2019","seven",7,"jiːt̪ɘ̆","jite","","false",NA,NA,NA
"8","numerals-sala1264-2-eight-1","numerals-sala1264-2","Chan2019","eight",8,"saːkʰs","sakhs","","false",NA,NA,NA
"9","numerals-sala1264-2-nine-1","numerals-sala1264-2","Chan2019","nine",9,"t̪oːqʰz","toqhz","","false",NA,NA,NA
"10","numerals-sala1264-2-ten-1","numerals-sala1264-2","Chan2019","ten",10,"on̪","on","","false",NA,NA,NA
"11","numerals-sala1264-2-eleven-1","numerals-sala1264-2","Chan2019","eleven",11,"on̪ pir","onpir","","false",NA,NA,NA
"12","numerals-sala1264-2-twelve-1","numerals-sala1264-2","Chan2019","twelve",12,"on̪ i̥ʃki","oniski","","false",NA,NA,NA
"13","numerals-sala1264-2-thirteen-1","numerals-sala1264-2","Chan2019","thirteen",13,"on̪ oʃ","onos","","false",NA,NA,NA
"14","numerals-sala1264-2-fourteen-1","numerals-sala1264-2","Chan2019","fourteen",14,"on̪ t̪iot̪ʰ","ontioth","","false",NA,NA,NA
"15","numerals-sala1264-2-fifteen-1","numerals-sala1264-2","Chan2019","fifteen",15,"on̪ pɛɕ","onpec","","false",NA,NA,NA
