"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-sgaw1245-1-one-1","numerals-sgaw1245-1","Chan2019","one",1,"tə́","ta","","false",NA,NA,NA
"2","numerals-sgaw1245-1-two-1","numerals-sgaw1245-1","Chan2019","two",2,"kʰí","khi","","false",NA,NA,NA
"3","numerals-sgaw1245-1-three-1","numerals-sgaw1245-1","Chan2019","three",3,"θə́","tha","","false",NA,NA,NA
"4","numerals-sgaw1245-1-four-1","numerals-sgaw1245-1","Chan2019","four",4,"lwî","lwi","","false",NA,NA,NA
"5","numerals-sgaw1245-1-five-1","numerals-sgaw1245-1","Chan2019","five",5,"jɛ̀","je","","false",NA,NA,NA
"6","numerals-sgaw1245-1-six-1","numerals-sgaw1245-1","Chan2019","six",6,"xú","xu","","false",NA,NA,NA
"7","numerals-sgaw1245-1-seven-1","numerals-sgaw1245-1","Chan2019","seven",7,"nwí","nwi","","false",NA,NA,NA
"8","numerals-sgaw1245-1-eight-1","numerals-sgaw1245-1","Chan2019","eight",8,"xɔ́ʔ","xo","","false",NA,NA,NA
"9","numerals-sgaw1245-1-nine-1","numerals-sgaw1245-1","Chan2019","nine",9,"kʰwí","khwi","","false",NA,NA,NA
"10","numerals-sgaw1245-1-ten-1","numerals-sgaw1245-1","Chan2019","ten",10,"tə̄sʰí","tashi","","false",NA,NA,NA
"11","numerals-sgaw1245-1-eleven-1","numerals-sgaw1245-1","Chan2019","eleven",11,"tə̄sʰí tə́","tashita","","false",NA,NA,NA
"12","numerals-sgaw1245-1-twelve-1","numerals-sgaw1245-1","Chan2019","twelve",12,"tə̄sʰí kʰí","tashikhi","","false",NA,NA,NA
"13","numerals-sgaw1245-1-thirteen-1","numerals-sgaw1245-1","Chan2019","thirteen",13,"tə̄sʰí θə́","tashitha","","false",NA,NA,NA
"14","numerals-sgaw1245-1-fourteen-1","numerals-sgaw1245-1","Chan2019","fourteen",14,"tə̄sʰí lwî","tashilwi","","false",NA,NA,NA
"15","numerals-sgaw1245-1-fifteen-1","numerals-sgaw1245-1","Chan2019","fifteen",15,"tə̄sʰí jɛ̀","tashije","","false",NA,NA,NA
"16","numerals-sgaw1245-1-sixteen-1","numerals-sgaw1245-1","Chan2019","sixteen",16,"tə̄sʰí xú","tashixu","","false",NA,NA,NA
"17","numerals-sgaw1245-1-seventeen-1","numerals-sgaw1245-1","Chan2019","seventeen",17,"tə̄sʰí nwí","tashinwi","","false",NA,NA,NA
"18","numerals-sgaw1245-1-eighteen-1","numerals-sgaw1245-1","Chan2019","eighteen",18,"tə̄sʰí xɔ̀ʔ","tashixo","","false",NA,NA,NA
"19","numerals-sgaw1245-1-nineteen-1","numerals-sgaw1245-1","Chan2019","nineteen",19,"tə̄sʰí kʰwí","tashikhwi","","false",NA,NA,NA
"20","numerals-sgaw1245-1-twenty-1","numerals-sgaw1245-1","Chan2019","twenty",20,"kʰísʰí","khishi","","false",NA,NA,NA
"21","numerals-sgaw1245-1-twentyone-1","numerals-sgaw1245-1","Chan2019","twentyone",21,"kʰísʰí tə́","khishita","","false",NA,NA,NA
"22","numerals-sgaw1245-1-twentytwo-1","numerals-sgaw1245-1","Chan2019","twentytwo",22,"kʰísʰí kʰí","khishikhi","","false",NA,NA,NA
"23","numerals-sgaw1245-1-twentythree-1","numerals-sgaw1245-1","Chan2019","twentythree",23,"kʰísʰí θə́","khishitha","","false",NA,NA,NA
"24","numerals-sgaw1245-1-twentyfour-1","numerals-sgaw1245-1","Chan2019","twentyfour",24,"kʰísʰí lwî","khishilwi","","false",NA,NA,NA
"25","numerals-sgaw1245-1-twentyfive-1","numerals-sgaw1245-1","Chan2019","twentyfive",25,"kʰísʰí jɛ̀","khishije","","false",NA,NA,NA
"26","numerals-sgaw1245-1-twentysix-1","numerals-sgaw1245-1","Chan2019","twentysix",26,"kʰísʰí xú","khishixu","","false",NA,NA,NA
"27","numerals-sgaw1245-1-twentyseven-1","numerals-sgaw1245-1","Chan2019","twentyseven",27,"kʰísʰí nwí","khishinwi","","false",NA,NA,NA
"28","numerals-sgaw1245-1-twentyeight-1","numerals-sgaw1245-1","Chan2019","twentyeight",28,"kʰísʰí xɔ̀ʔ","khishixo","","false",NA,NA,NA
"29","numerals-sgaw1245-1-twentynine-1","numerals-sgaw1245-1","Chan2019","twentynine",29,"kʰísʰí kʰwí","khishikhwi","","false",NA,NA,NA
"30","numerals-sgaw1245-1-thirty-1","numerals-sgaw1245-1","Chan2019","thirty",30,"θə́ʃí","thasi","","false",NA,NA,NA
"31","numerals-sgaw1245-1-forty-1","numerals-sgaw1245-1","Chan2019","forty",40,"lwíʃí","lwisi","","false",NA,NA,NA
"32","numerals-sgaw1245-1-fifty-1","numerals-sgaw1245-1","Chan2019","fifty",50,"jɛ́ʃí","jesi","","false",NA,NA,NA
"33","numerals-sgaw1245-1-sixty-1","numerals-sgaw1245-1","Chan2019","sixty",60,"xúʃí","xusi","","false",NA,NA,NA
"34","numerals-sgaw1245-1-seventy-1","numerals-sgaw1245-1","Chan2019","seventy",70,"nwíʃí","nwisi","","false",NA,NA,NA
"35","numerals-sgaw1245-1-eighty-1","numerals-sgaw1245-1","Chan2019","eighty",80,"xɔ̀ʔʃí","xosi","","false",NA,NA,NA
"36","numerals-sgaw1245-1-ninety-1","numerals-sgaw1245-1","Chan2019","ninety",90,"kʰwíʃí","khwisi","","false",NA,NA,NA
