"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-sout2723-2-one-1","numerals-sout2723-2","Chan2019","one",1,"tʰi21","thi21","","false",NA,NA,NA
"2","numerals-sout2723-2-two-1","numerals-sout2723-2","Chan2019","two",2,"ni21","ni21","","false",NA,NA,NA
"3","numerals-sout2723-2-three-1","numerals-sout2723-2","Chan2019","three",3,"sɒ33","sa33","","false",NA,NA,NA
"4","numerals-sout2723-2-four-1","numerals-sout2723-2","Chan2019","four",4,"xe33","xe33","","false",NA,NA,NA
"5","numerals-sout2723-2-five-1","numerals-sout2723-2","Chan2019","five",5,"ŋo33","ngo33","","false",NA,NA,NA
"6","numerals-sout2723-2-six-1","numerals-sout2723-2","Chan2019","six",6,"tsʰu21","tshu21","","false",NA,NA,NA
"7","numerals-sout2723-2-seven-1","numerals-sout2723-2","Chan2019","seven",7,"ɕi21","ci21","","false",NA,NA,NA
"8","numerals-sout2723-2-eight-1","numerals-sout2723-2","Chan2019","eight",8,"he̠21","he21","","false",NA,NA,NA
"9","numerals-sout2723-2-nine-1","numerals-sout2723-2","Chan2019","nine",9,"kɯ33","kw33","","false",NA,NA,NA
"10","numerals-sout2723-2-ten-1","numerals-sout2723-2","Chan2019","ten",10,"tsʰɯ21","tshw21","","false",NA,NA,NA
"11","numerals-sout2723-2-eleven-1","numerals-sout2723-2","Chan2019","eleven",11,"tsʰɯ21ti21","tshw21ti21","","false",NA,NA,NA
"12","numerals-sout2723-2-twelve-1","numerals-sout2723-2","Chan2019","twelve",12,"tsʰɯ21ni21","tshw21ni21","","false",NA,NA,NA
"13","numerals-sout2723-2-thirteen-1","numerals-sout2723-2","Chan2019","thirteen",13,"tsʰɯ21sɒ33","tshw21sa33","","false",NA,NA,NA
"14","numerals-sout2723-2-fourteen-1","numerals-sout2723-2","Chan2019","fourteen",14,"tsʰɯ21xe33","tshw21xe33","","false",NA,NA,NA
"15","numerals-sout2723-2-fifteen-1","numerals-sout2723-2","Chan2019","fifteen",15,"tsʰɯ21ŋo33","tshw21ngo33","","false",NA,NA,NA
"16","numerals-sout2723-2-sixteen-1","numerals-sout2723-2","Chan2019","sixteen",16,"tsʰɯ21tsʰu21","tshw21tshu21","","false",NA,NA,NA
"17","numerals-sout2723-2-seventeen-1","numerals-sout2723-2","Chan2019","seventeen",17,"tsʰɯ21ɕi21","tshw21ci21","","false",NA,NA,NA
"18","numerals-sout2723-2-eighteen-1","numerals-sout2723-2","Chan2019","eighteen",18,"tsʰɯ21he̠21","tshw21he21","","false",NA,NA,NA
"19","numerals-sout2723-2-nineteen-1","numerals-sout2723-2","Chan2019","nineteen",19,"tsʰɯ21kɯ33","tshw21kw33","","false",NA,NA,NA
"20","numerals-sout2723-2-twenty-1","numerals-sout2723-2","Chan2019","twenty",20,"ni21tsɯ55","ni21tsw55","","false",NA,NA,NA
"21","numerals-sout2723-2-twentyone-1","numerals-sout2723-2","Chan2019","twentyone",21,"ni21tsɯ55 tʰi21","ni21tsw55thi21","","false",NA,NA,NA
"22","numerals-sout2723-2-twentytwo-1","numerals-sout2723-2","Chan2019","twentytwo",22,"ni21tsɯ55 ni21","ni21tsw55ni21","","false",NA,NA,NA
"23","numerals-sout2723-2-twentythree-1","numerals-sout2723-2","Chan2019","twentythree",23,"ni21tsɯ55 sɒ33","ni21tsw55sa33","","false",NA,NA,NA
"24","numerals-sout2723-2-twentyfour-1","numerals-sout2723-2","Chan2019","twentyfour",24,"ni21tsɯ55 xe33","ni21tsw55xe33","","false",NA,NA,NA
"25","numerals-sout2723-2-twentyfive-1","numerals-sout2723-2","Chan2019","twentyfive",25,"ni21tsɯ55 ŋo33","ni21tsw55ngo33","","false",NA,NA,NA
"26","numerals-sout2723-2-twentysix-1","numerals-sout2723-2","Chan2019","twentysix",26,"ni21tsɯ55 tsʰu21","ni21tsw55tshu21","","false",NA,NA,NA
"27","numerals-sout2723-2-twentyseven-1","numerals-sout2723-2","Chan2019","twentyseven",27,"ni21tsɯ55 ɕi21","ni21tsw55ci21","","false",NA,NA,NA
"28","numerals-sout2723-2-twentyeight-1","numerals-sout2723-2","Chan2019","twentyeight",28,"ni21tsɯ55 he̠21","ni21tsw55he21","","false",NA,NA,NA
"29","numerals-sout2723-2-twentynine-1","numerals-sout2723-2","Chan2019","twentynine",29,"ni21tsɯ55 kɯ33","ni21tsw55kw33","","false",NA,NA,NA
"30","numerals-sout2723-2-thirty-1","numerals-sout2723-2","Chan2019","thirty",30,"sɒ33 tsʰɯ21","sa33tshw21","","false",NA,NA,NA
"31","numerals-sout2723-2-forty-1","numerals-sout2723-2","Chan2019","forty",40,"xe33 tsʰɯ21","xe33tshw21","","false",NA,NA,NA
