"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-tari1263-2-one-1","numerals-tari1263-2","Chan2019","one",1,"iʒən","izan","","false",NA,NA,NA
"2","numerals-tari1263-2-two-1","numerals-tari1263-2","Chan2019","two",2,"θnayən","thnayan","","false",NA,NA,NA
"3","numerals-tari1263-2-three-1","numerals-tari1263-2","Chan2019","three",3,"θraθa","thratha","","false",NA,NA,NA
"4","numerals-tari1263-2-three-2","numerals-tari1263-2","Chan2019","three",3,"θrata","thrata","","false",NA,NA,NA
"5","numerals-tari1263-2-four-1","numerals-tari1263-2","Chan2019","four",4,"arˤbˤa","arba","","false",NA,NA,NA
"6","numerals-tari1263-2-five-1","numerals-tari1263-2","Chan2019","five",5,"xamsa","xamsa","","false",NA,NA,NA
"7","numerals-tari1263-2-six-1","numerals-tari1263-2","Chan2019","six",6,"sta","sta","","false",NA,NA,NA
"8","numerals-tari1263-2-six-2","numerals-tari1263-2","Chan2019","six",6,"sətta","satta","","false",NA,NA,NA
"9","numerals-tari1263-2-six-3","numerals-tari1263-2","Chan2019","six",6,"ssta","ssta","","false",NA,NA,NA
"10","numerals-tari1263-2-seven-1","numerals-tari1263-2","Chan2019","seven",7,"səβˤa","saba","","false",NA,NA,NA
"11","numerals-tari1263-2-eight-1","numerals-tari1263-2","Chan2019","eight",8,"θəminiya","thaminiya","","false",NA,NA,NA
"12","numerals-tari1263-2-nine-1","numerals-tari1263-2","Chan2019","nine",9,"tsˤa","tsa","","false",NA,NA,NA
"13","numerals-tari1263-2-ten-1","numerals-tari1263-2","Chan2019","ten",10,"ˤəʃra","asra","","false",NA,NA,NA
"14","numerals-tari1263-2-twelve-1","numerals-tari1263-2","Chan2019","twelve",12,"θənˤaʃ","thanas","","false",NA,NA,NA
"15","numerals-tari1263-2-fourteen-1","numerals-tari1263-2","Chan2019","fourteen",14,"a(r)βaˤtˤaʃ","arbatas","","false",NA,NA,NA
"16","numerals-tari1263-2-fifteen-1","numerals-tari1263-2","Chan2019","fifteen",15,"xammaztaʒ","xammaztaz","","false",NA,NA,NA
"17","numerals-tari1263-2-eighteen-1","numerals-tari1263-2","Chan2019","eighteen",18,"ðmməntˤaʃ","dmmantas","","false",NA,NA,NA
"18","numerals-tari1263-2-twenty-1","numerals-tari1263-2","Chan2019","twenty",20,"ˤiʃrin","isrin","","false",NA,NA,NA
"19","numerals-tari1263-2-twentyfive-1","numerals-tari1263-2","Chan2019","twentyfive",25,"xamsa u ˤiʃrin","xamsauisrin","","false",NA,NA,NA
"20","numerals-tari1263-2-thirty-1","numerals-tari1263-2","Chan2019","thirty",30,"θraθin","thrathin","","false",NA,NA,NA
"21","numerals-tari1263-2-forty-1","numerals-tari1263-2","Chan2019","forty",40,"ˀabaˤayn","abaayn","","false",NA,NA,NA
"22","numerals-tari1263-2-fifty-1","numerals-tari1263-2","Chan2019","fifty",50,"xamsin","xamsin","","false",NA,NA,NA
"23","numerals-tari1263-2-seventy-1","numerals-tari1263-2","Chan2019","seventy",70,"səβˤin","sabin","","false",NA,NA,NA
"24","numerals-tari1263-2-eighty-1","numerals-tari1263-2","Chan2019","eighty",80,"θəmanin","thamanin","","false",NA,NA,NA
"25","numerals-tari1263-2-ninety-1","numerals-tari1263-2","Chan2019","ninety",90,"tsˤin","tsin","","false",NA,NA,NA
"26","numerals-tari1263-2-hundred-1","numerals-tari1263-2","Chan2019","hundred",100,"miya","miya","","false",NA,NA,NA
"27","numerals-tari1263-2-twohundred-1","numerals-tari1263-2","Chan2019","twohundred",200,"mitayən","mitayan","","false",NA,NA,NA
"28","numerals-tari1263-2-thousand-1","numerals-tari1263-2","Chan2019","thousand",1000,"arəf","araf","","false",NA,NA,NA
"29","numerals-tari1263-2-thousand-2","numerals-tari1263-2","Chan2019","thousand",1000,"arf","arf","","false",NA,NA,NA
"30","numerals-tari1263-2-thousand-3","numerals-tari1263-2","Chan2019","thousand",1000,"arrf","arrf","","false",NA,NA,NA
