"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-thak1245-3-one-1","numerals-thak1245-3","Chan2019","one",1,"tahi:","tahi","","false",NA,NA,NA
"2","numerals-thak1245-3-two-1","numerals-thak1245-3","Chan2019","two",2,"ŋahi:","ngahi","","false",NA,NA,NA
"3","numerals-thak1245-3-three-1","numerals-thak1245-3","Chan2019","three",3,"som","som","","false",NA,NA,NA
"4","numerals-thak1245-3-four-1","numerals-thak1245-3","Chan2019","four",4,"plahi:","plahi","","false",NA,NA,NA
"5","numerals-thak1245-3-five-1","numerals-thak1245-3","Chan2019","five",5,"ŋaha:","ngaha","","false",NA,NA,NA
"6","numerals-thak1245-3-six-1","numerals-thak1245-3","Chan2019","six",6,"tahu","tahu","","false",NA,NA,NA
"7","numerals-thak1245-3-seven-1","numerals-thak1245-3","Chan2019","seven",7,"ŋisa","ngisa","","false",NA,NA,NA
"8","numerals-thak1245-3-eight-1","numerals-thak1245-3","Chan2019","eight",8,"prʰe","prhe","","false",NA,NA,NA
"9","numerals-thak1245-3-nine-1","numerals-thak1245-3","Chan2019","nine",9,"ku","ku","","false",NA,NA,NA
"10","numerals-thak1245-3-ten-1","numerals-thak1245-3","Chan2019","ten",10,"t͡ʃu","tsu","( cy = IPA [t͡ʃ])","false",NA,NA,NA
"11","numerals-thak1245-3-eleven-1","numerals-thak1245-3","Chan2019","eleven",11,"t͡satti","tsatti","( c = IPA [t͡s])","false",NA,NA,NA
"12","numerals-thak1245-3-twelve-1","numerals-thak1245-3","Chan2019","twelve",12,"t͡suŋi","tsungi","","false",NA,NA,NA
"13","numerals-thak1245-3-thirteen-1","numerals-thak1245-3","Chan2019","thirteen",13,"t͡susom","tsusom","","false",NA,NA,NA
"14","numerals-thak1245-3-fourteen-1","numerals-thak1245-3","Chan2019","fourteen",14,"t͡supliː","tsupli","","false",NA,NA,NA
"15","numerals-thak1245-3-fifteen-1","numerals-thak1245-3","Chan2019","fifteen",15,"t͡saːŋaː","tsanga","","false",NA,NA,NA
"16","numerals-thak1245-3-sixteen-1","numerals-thak1245-3","Chan2019","sixteen",16,"t͡suttu","tsuttu","","false",NA,NA,NA
"17","numerals-thak1245-3-seventeen-1","numerals-thak1245-3","Chan2019","seventeen",17,"t͡saiŋe","tsainge","","false",NA,NA,NA
"18","numerals-thak1245-3-eighteen-1","numerals-thak1245-3","Chan2019","eighteen",18,"t͡sopre","tsopre","","false",NA,NA,NA
"19","numerals-thak1245-3-nineteen-1","numerals-thak1245-3","Chan2019","nineteen",19,"t͡surku","tsurku","","false",NA,NA,NA
"20","numerals-thak1245-3-twenty-1","numerals-thak1245-3","Chan2019","twenty",20,"ŋihaʃu","ngihasu","( sy = IPA [ʃ])","false",NA,NA,NA
"21","numerals-thak1245-3-twentyone-1","numerals-thak1245-3","Chan2019","twentyone",21,"ŋihaʃu tahiː","ngihasutahi","","false",NA,NA,NA
"22","numerals-thak1245-3-twentytwo-1","numerals-thak1245-3","Chan2019","twentytwo",22,"ŋihaʃu ŋahiː","ngihasungahi","","false",NA,NA,NA
"23","numerals-thak1245-3-twentythree-1","numerals-thak1245-3","Chan2019","twentythree",23,"ŋihaʃu som","ngihasusom","","false",NA,NA,NA
"24","numerals-thak1245-3-twentyfour-1","numerals-thak1245-3","Chan2019","twentyfour",24,"ŋihaʃuplahi:","ngihasuplahi","","false",NA,NA,NA
"25","numerals-thak1245-3-twentyfive-1","numerals-thak1245-3","Chan2019","twentyfive",25,"ŋihaʃu ŋahaː","ngihasungaha","","false",NA,NA,NA
"26","numerals-thak1245-3-twentysix-1","numerals-thak1245-3","Chan2019","twentysix",26,"ŋihaʃutahu","ngihasutahu","","false",NA,NA,NA
"27","numerals-thak1245-3-twentyseven-1","numerals-thak1245-3","Chan2019","twentyseven",27,"ŋihaʃuŋisa","ngihasungisa","","false",NA,NA,NA
"28","numerals-thak1245-3-twentyeight-1","numerals-thak1245-3","Chan2019","twentyeight",28,"ŋihaʃuprʰe","ngihasuprhe","","false",NA,NA,NA
"29","numerals-thak1245-3-twentynine-1","numerals-thak1245-3","Chan2019","twentynine",29,"ŋihaʃu ku","ngihasuku","","false",NA,NA,NA
"30","numerals-thak1245-3-thirty-1","numerals-thak1245-3","Chan2019","thirty",30,"somt͡ʃu","somtsu","","false",NA,NA,NA
"31","numerals-thak1245-3-forty-1","numerals-thak1245-3","Chan2019","forty",40,"plihat͡ʃu","plihatsu","","false",NA,NA,NA
"32","numerals-thak1245-3-fifty-1","numerals-thak1245-3","Chan2019","fifty",50,"ŋhat͡ʃu","nghatsu","","false",NA,NA,NA
"33","numerals-thak1245-3-sixty-1","numerals-thak1245-3","Chan2019","sixty",60,"tuhukt͡ʃu","tuhuktsu","","false",NA,NA,NA
"34","numerals-thak1245-3-seventy-1","numerals-thak1245-3","Chan2019","seventy",70,"ŋit͡ʃu","ngitsu","","false",NA,NA,NA
"35","numerals-thak1245-3-eighty-1","numerals-thak1245-3","Chan2019","eighty",80,"prʰet͡ʃu","prhetsu","","false",NA,NA,NA
"36","numerals-thak1245-3-ninety-1","numerals-thak1245-3","Chan2019","ninety",90,"kuit͡ʃu","kuitsu","","false",NA,NA,NA
"37","numerals-thak1245-3-hundred-1","numerals-thak1245-3","Chan2019","hundred",100,"prʰha","prhha","","false",NA,NA,NA
"38","numerals-thak1245-3-twohundred-1","numerals-thak1245-3","Chan2019","twohundred",200,"ŋʰa","ngha","","false",NA,NA,NA
"39","numerals-thak1245-3-thousand-1","numerals-thak1245-3","Chan2019","thousand",1000,"kʷaːŋ tʰowa tahi","kwangthowatahi","(ahad͡ʒaratahiː)","false",NA,NA,NA
"40","numerals-thak1245-3-twothousand-1","numerals-thak1245-3","Chan2019","twothousand",2000,"kʷaːŋ tʰowa tahi ŋahi","kwangthowatahingahi","","false",NA,NA,NA
