"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-woli1241-1-one-1","numerals-woli1241-1","Chan2019","one",1,"ʔise","ise","","false",NA,NA,NA
"2","numerals-woli1241-1-one-2","numerals-woli1241-1","Chan2019","one",1,"sa","sa","","false",NA,NA,NA
"3","numerals-woli1241-1-two-1","numerals-woli1241-1","Chan2019","two",2,"ǰua","jua","","false",NA,NA,NA
"4","numerals-woli1241-1-two-2","numerals-woli1241-1","Chan2019","two",2,"rua","rua","","false",NA,NA,NA
"5","numerals-woli1241-1-three-1","numerals-woli1241-1","Chan2019","three",3,"talu","talu","","false",NA,NA,NA
"6","numerals-woli1241-1-four-1","numerals-woli1241-1","Chan2019","four",4,"apa","apa","","false",NA,NA,NA
"7","numerals-woli1241-1-four-2","numerals-woli1241-1","Chan2019","four",4,"pata","pata","","false",NA,NA,NA
"8","numerals-woli1241-1-five-1","numerals-woli1241-1","Chan2019","five",5,"lima","lima","","false",NA,NA,NA
"9","numerals-woli1241-1-six-1","numerals-woli1241-1","Chan2019","six",6,"ana","ana","","false",NA,NA,NA
"10","numerals-woli1241-1-six-2","numerals-woli1241-1","Chan2019","six",6,"nama","nama","","false",NA,NA,NA
"11","numerals-woli1241-1-seven-1","numerals-woli1241-1","Chan2019","seven",7,"pitu","pitu","","false",NA,NA,NA
"12","numerals-woli1241-1-eight-1","numerals-woli1241-1","Chan2019","eight",8,"βalu","balu","","false",NA,NA,NA
"13","numerals-woli1241-1-nine-1","numerals-woli1241-1","Chan2019","nine",9,"sio","sio","","false",NA,NA,NA
"14","numerals-woli1241-1-ten-1","numerals-woli1241-1","Chan2019","ten",10,"sapulu","sapulu","","false",NA,NA,NA
"15","numerals-woli1241-1-eleven-1","numerals-woli1241-1","Chan2019","eleven",11,"sapulu sa aŋu","sapulusaangu","","false",NA,NA,NA
"16","numerals-woli1241-1-twelve-1","numerals-woli1241-1","Chan2019","twelve",12,"sapulu rua aŋu","sapuluruaangu","","false",NA,NA,NA
"17","numerals-woli1241-1-thirteen-1","numerals-woli1241-1","Chan2019","thirteen",13,"sapulu talu aŋu","sapulutaluangu","","false",NA,NA,NA
