"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","numerals-yaey1239-2-one-1","numerals-yaey1239-2","Chan2019","one",1,"pɪ̈ːdzɪ̈","pidzi","","false",NA,NA,NA
"2","numerals-yaey1239-2-two-1","numerals-yaey1239-2","Chan2019","two",2,"huta:dzɪ̈","hutadzi","","false",NA,NA,NA
"3","numerals-yaey1239-2-three-1","numerals-yaey1239-2","Chan2019","three",3,"mi:tsɪ̈","mitsi","","false",NA,NA,NA
"4","numerals-yaey1239-2-four-1","numerals-yaey1239-2","Chan2019","four",4,"ju:tsɪ̈","jutsi","","false",NA,NA,NA
"5","numerals-yaey1239-2-five-1","numerals-yaey1239-2","Chan2019","five",5,"ju:tsɪ̈","jutsi","","false",NA,NA,NA
"6","numerals-yaey1239-2-six-1","numerals-yaey1239-2","Chan2019","six",6,"n:tsɪ̈","ntsi","","false",NA,NA,NA
"7","numerals-yaey1239-2-seven-1","numerals-yaey1239-2","Chan2019","seven",7,"nanatsɪ̈","nanatsi","","false",NA,NA,NA
"8","numerals-yaey1239-2-eight-1","numerals-yaey1239-2","Chan2019","eight",8,"ja:tsɪ̈","jatsi","","false",NA,NA,NA
"9","numerals-yaey1239-2-nine-1","numerals-yaey1239-2","Chan2019","nine",9,"kukunutsɪ̈","kukunutsi","","false",NA,NA,NA
"10","numerals-yaey1239-2-ten-1","numerals-yaey1239-2","Chan2019","ten",10,"tu:","tu","","false",NA,NA,NA
"11","numerals-yaey1239-2-eleven-1","numerals-yaey1239-2","Chan2019","eleven",11,"tu:pitiːtsï","tupititsi","","false",NA,NA,NA
"12","numerals-yaey1239-2-twelve-1","numerals-yaey1239-2","Chan2019","twelve",12,"tu:huta:tsï","tuhutatsi","","false",NA,NA,NA
"13","numerals-yaey1239-2-thirteen-1","numerals-yaey1239-2","Chan2019","thirteen",13,"tu:mi:tsï","tumitsi","","false",NA,NA,NA
"14","numerals-yaey1239-2-fourteen-1","numerals-yaey1239-2","Chan2019","fourteen",14,"dʒuːʃi","dzusi","","false",NA,NA,NA
"15","numerals-yaey1239-2-fourteen-2","numerals-yaey1239-2","Chan2019","fourteen",14,"dʒuːjon","dzujon","","false",NA,NA,NA
"16","numerals-yaey1239-2-fifteen-1","numerals-yaey1239-2","Chan2019","fifteen",15,"dʒuːɡu","dzugu","","false",NA,NA,NA
