"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","sand-Sunwar-one-1","sand-Sunwar","Mamta2023","one",1,"ka","ka","","",NA,NA,NA
"2","sand-Sunwar-two-1","sand-Sunwar","Mamta2023","two",2,"niʔsi","nisi","","",NA,NA,NA
"3","sand-Sunwar-three-1","sand-Sunwar","Mamta2023","three",3,"sã","sa","","",NA,NA,NA
"4","sand-Sunwar-four-1","sand-Sunwar","Mamta2023","four",4,"tsar","tsar","","",NA,NA,NA
"5","sand-Sunwar-five-1","sand-Sunwar","Mamta2023","five",5,"pãts","pats","","",NA,NA,NA
"6","sand-Sunwar-six-1","sand-Sunwar","Mamta2023","six",6,"tsʰʌ","tsh","","",NA,NA,NA
"7","sand-Sunwar-seven-1","sand-Sunwar","Mamta2023","seven",7,"sat","sat","","",NA,NA,NA
"8","sand-Sunwar-eight-1","sand-Sunwar","Mamta2023","eight",8,"aʈʰ","ath","","",NA,NA,NA
"9","sand-Sunwar-nine-1","sand-Sunwar","Mamta2023","nine",9,"nʌu","nu","","",NA,NA,NA
"10","sand-Sunwar-ten-1","sand-Sunwar","Mamta2023","ten",10,"dʌs","ds","","",NA,NA,NA
"11","sand-Sunwar-eleven-1","sand-Sunwar","Mamta2023","eleven",11,"egʰarʌ","eghar","","",NA,NA,NA
"12","sand-Sunwar-twelve-1","sand-Sunwar","Mamta2023","twelve",12,"barhʌ","barh","","",NA,NA,NA
"13","sand-Sunwar-thirteen-1","sand-Sunwar","Mamta2023","thirteen",13,"terhʌ","terh","","",NA,NA,NA
"14","sand-Sunwar-fourteen-1","sand-Sunwar","Mamta2023","fourteen",14,"tsʌudʰʌ","tsudh","","",NA,NA,NA
"15","sand-Sunwar-fifteen-1","sand-Sunwar","Mamta2023","fifteen",15,"pʌndʰrʌ","pndhr","","",NA,NA,NA
"16","sand-Sunwar-sixteen-1","sand-Sunwar","Mamta2023","sixteen",16,"sorhʌ","sorh","","",NA,NA,NA
"17","sand-Sunwar-seventeen-1","sand-Sunwar","Mamta2023","seventeen",17,"sʌtrʌ","str","","",NA,NA,NA
"18","sand-Sunwar-eighteen-1","sand-Sunwar","Mamta2023","eighteen",18,"ʌʈʰarʌ","thar","","",NA,NA,NA
"19","sand-Sunwar-nineteen-1","sand-Sunwar","Mamta2023","nineteen",19,"un-is","unis","","",NA,NA,NA
"20","sand-Sunwar-twenty-1","sand-Sunwar","Mamta2023","twenty",20,"bis","bis","","",NA,NA,NA
"21","sand-Sunwar-twentyone-1","sand-Sunwar","Mamta2023","twentyone",21,"ekkais","ekkais","","",NA,NA,NA
"22","sand-Sunwar-twentytwo-1","sand-Sunwar","Mamta2023","twentytwo",22,"bais","bais","","",NA,NA,NA
"23","sand-Sunwar-twentythree-1","sand-Sunwar","Mamta2023","twentythree",23,"teis","teis","","",NA,NA,NA
"24","sand-Sunwar-twentyfour-1","sand-Sunwar","Mamta2023","twentyfour",24,"tsʌubis","tsubis","","",NA,NA,NA
"25","sand-Sunwar-twentyfive-1","sand-Sunwar","Mamta2023","twentyfive",25,"pʌtstsis","ptstsis","","",NA,NA,NA
"26","sand-Sunwar-twentysix-1","sand-Sunwar","Mamta2023","twentysix",26,"tsʰʌbbis","tshbbis","","",NA,NA,NA
"27","sand-Sunwar-twentyseven-1","sand-Sunwar","Mamta2023","twentyseven",27,"sʌttais","sttais","","",NA,NA,NA
