"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","googleuninum-bul-zero-1","googleuninum-bul","Ritchie2019","zero",0,"нула","nula","","",NA,NA,NA
"2","googleuninum-bul-one-1","googleuninum-bul","Ritchie2019","one",1,"едно","edno","","",NA,NA,NA
"3","googleuninum-bul-two-1","googleuninum-bul","Ritchie2019","two",2,"две","dve","","",NA,NA,NA
"4","googleuninum-bul-three-1","googleuninum-bul","Ritchie2019","three",3,"три","tri","","",NA,NA,NA
"5","googleuninum-bul-four-1","googleuninum-bul","Ritchie2019","four",4,"четири","chetiri","","",NA,NA,NA
"6","googleuninum-bul-five-1","googleuninum-bul","Ritchie2019","five",5,"пет","pet","","",NA,NA,NA
"7","googleuninum-bul-six-1","googleuninum-bul","Ritchie2019","six",6,"шест","shest","","",NA,NA,NA
"8","googleuninum-bul-seven-1","googleuninum-bul","Ritchie2019","seven",7,"седем","sedem","","",NA,NA,NA
"9","googleuninum-bul-eight-1","googleuninum-bul","Ritchie2019","eight",8,"осем","osem","","",NA,NA,NA
"10","googleuninum-bul-nine-1","googleuninum-bul","Ritchie2019","nine",9,"девет","devet","","",NA,NA,NA
"11","googleuninum-bul-ten-1","googleuninum-bul","Ritchie2019","ten",10,"десет","deset","","",NA,NA,NA
"12","googleuninum-bul-eleven-1","googleuninum-bul","Ritchie2019","eleven",11,"единадесет","edinadeset","","",NA,NA,NA
"13","googleuninum-bul-twelve-1","googleuninum-bul","Ritchie2019","twelve",12,"дванадесет","dvanadeset","","",NA,NA,NA
"14","googleuninum-bul-thirteen-1","googleuninum-bul","Ritchie2019","thirteen",13,"тринадесет","trinadeset","","",NA,NA,NA
"15","googleuninum-bul-fourteen-1","googleuninum-bul","Ritchie2019","fourteen",14,"четиринадесет","chetirinadeset","","",NA,NA,NA
"16","googleuninum-bul-fifteen-1","googleuninum-bul","Ritchie2019","fifteen",15,"петнадесет","petnadeset","","",NA,NA,NA
"17","googleuninum-bul-sixteen-1","googleuninum-bul","Ritchie2019","sixteen",16,"шестнадесет","shestnadeset","","",NA,NA,NA
"18","googleuninum-bul-seventeen-1","googleuninum-bul","Ritchie2019","seventeen",17,"седемнадесет","sedemnadeset","","",NA,NA,NA
"19","googleuninum-bul-eighteen-1","googleuninum-bul","Ritchie2019","eighteen",18,"осемнадесет","osemnadeset","","",NA,NA,NA
"20","googleuninum-bul-nineteen-1","googleuninum-bul","Ritchie2019","nineteen",19,"деветнадесет","devetnadeset","","",NA,NA,NA
"21","googleuninum-bul-twenty-1","googleuninum-bul","Ritchie2019","twenty",20,"двадесет","dvadeset","","",NA,NA,NA
"22","googleuninum-bul-twentyone-1","googleuninum-bul","Ritchie2019","twentyone",21,"двадесет и едно","dvadesetiedno","","",NA,NA,NA
"23","googleuninum-bul-twentytwo-1","googleuninum-bul","Ritchie2019","twentytwo",22,"двадесет и две","dvadesetidve","","",NA,NA,NA
"24","googleuninum-bul-twentythree-1","googleuninum-bul","Ritchie2019","twentythree",23,"двадесет и три","dvadesetitri","","",NA,NA,NA
"25","googleuninum-bul-twentyfour-1","googleuninum-bul","Ritchie2019","twentyfour",24,"двадесет и четири","dvadesetichetiri","","",NA,NA,NA
"26","googleuninum-bul-twentyfive-1","googleuninum-bul","Ritchie2019","twentyfive",25,"двадесет и пет","dvadesetipet","","",NA,NA,NA
"27","googleuninum-bul-twentysix-1","googleuninum-bul","Ritchie2019","twentysix",26,"двадесет и шест","dvadesetishest","","",NA,NA,NA
"28","googleuninum-bul-twentyseven-1","googleuninum-bul","Ritchie2019","twentyseven",27,"двадесет и седем","dvadesetisedem","","",NA,NA,NA
"29","googleuninum-bul-twentyeight-1","googleuninum-bul","Ritchie2019","twentyeight",28,"двадесет и осем","dvadesetiosem","","",NA,NA,NA
"30","googleuninum-bul-twentynine-1","googleuninum-bul","Ritchie2019","twentynine",29,"двадесет и девет","dvadesetidevet","","",NA,NA,NA
"31","googleuninum-bul-thirty-1","googleuninum-bul","Ritchie2019","thirty",30,"тридесет","trideset","","",NA,NA,NA
"32","googleuninum-bul-thirtyone-1","googleuninum-bul","Ritchie2019","thirtyone",31,"тридесет и едно","tridesetiedno","","",NA,NA,NA
"33","googleuninum-bul-thirtytwo-1","googleuninum-bul","Ritchie2019","thirtytwo",32,"тридесет и две","tridesetidve","","",NA,NA,NA
"34","googleuninum-bul-thirtythree-1","googleuninum-bul","Ritchie2019","thirtythree",33,"тридесет и три","tridesetitri","","",NA,NA,NA
"35","googleuninum-bul-thirtyfour-1","googleuninum-bul","Ritchie2019","thirtyfour",34,"тридесет и четири","tridesetichetiri","","",NA,NA,NA
"36","googleuninum-bul-thirtyfive-1","googleuninum-bul","Ritchie2019","thirtyfive",35,"тридесет и пет","tridesetipet","","",NA,NA,NA
"37","googleuninum-bul-thirtysix-1","googleuninum-bul","Ritchie2019","thirtysix",36,"тридесет и шест","tridesetishest","","",NA,NA,NA
"38","googleuninum-bul-thirtyseven-1","googleuninum-bul","Ritchie2019","thirtyseven",37,"тридесет и седем","tridesetisedem","","",NA,NA,NA
"39","googleuninum-bul-thirtyeight-1","googleuninum-bul","Ritchie2019","thirtyeight",38,"тридесет и осем","tridesetiosem","","",NA,NA,NA
"40","googleuninum-bul-thirtynine-1","googleuninum-bul","Ritchie2019","thirtynine",39,"тридесет и девет","tridesetidevet","","",NA,NA,NA
"41","googleuninum-bul-forty-1","googleuninum-bul","Ritchie2019","forty",40,"четирисет","chetiriset","","",NA,NA,NA
"42","googleuninum-bul-fortyone-1","googleuninum-bul","Ritchie2019","fortyone",41,"четирисет и едно","chetirisetiedno","","",NA,NA,NA
"43","googleuninum-bul-fortytwo-1","googleuninum-bul","Ritchie2019","fortytwo",42,"четирисет и две","chetirisetidve","","",NA,NA,NA
"44","googleuninum-bul-fortythree-1","googleuninum-bul","Ritchie2019","fortythree",43,"четирисет и три","chetirisetitri","","",NA,NA,NA
"45","googleuninum-bul-fortyfour-1","googleuninum-bul","Ritchie2019","fortyfour",44,"четирисет и четири","chetirisetichetiri","","",NA,NA,NA
"46","googleuninum-bul-fortyfive-1","googleuninum-bul","Ritchie2019","fortyfive",45,"четирисет и пет","chetirisetipet","","",NA,NA,NA
"47","googleuninum-bul-fortysix-1","googleuninum-bul","Ritchie2019","fortysix",46,"четирисет и шест","chetirisetishest","","",NA,NA,NA
"48","googleuninum-bul-fortyseven-1","googleuninum-bul","Ritchie2019","fortyseven",47,"четирисет и седем","chetirisetisedem","","",NA,NA,NA
"49","googleuninum-bul-fortyeight-1","googleuninum-bul","Ritchie2019","fortyeight",48,"четирисет и осем","chetirisetiosem","","",NA,NA,NA
"50","googleuninum-bul-fortynine-1","googleuninum-bul","Ritchie2019","fortynine",49,"четирисет и девет","chetirisetidevet","","",NA,NA,NA
"51","googleuninum-bul-fifty-1","googleuninum-bul","Ritchie2019","fifty",50,"петдесет","petdeset","","",NA,NA,NA
"52","googleuninum-bul-fiftyone-1","googleuninum-bul","Ritchie2019","fiftyone",51,"петдесет и едно","petdesetiedno","","",NA,NA,NA
"53","googleuninum-bul-fiftytwo-1","googleuninum-bul","Ritchie2019","fiftytwo",52,"петдесет и две","petdesetidve","","",NA,NA,NA
"54","googleuninum-bul-fiftythree-1","googleuninum-bul","Ritchie2019","fiftythree",53,"петдесет и три","petdesetitri","","",NA,NA,NA
"55","googleuninum-bul-fiftyfour-1","googleuninum-bul","Ritchie2019","fiftyfour",54,"петдесет и четири","petdesetichetiri","","",NA,NA,NA
"56","googleuninum-bul-fiftyfive-1","googleuninum-bul","Ritchie2019","fiftyfive",55,"петдесет и пет","petdesetipet","","",NA,NA,NA
"57","googleuninum-bul-fiftysix-1","googleuninum-bul","Ritchie2019","fiftysix",56,"петдесет и шест","petdesetishest","","",NA,NA,NA
"58","googleuninum-bul-fiftyseven-1","googleuninum-bul","Ritchie2019","fiftyseven",57,"петдесет и седем","petdesetisedem","","",NA,NA,NA
"59","googleuninum-bul-fiftyeight-1","googleuninum-bul","Ritchie2019","fiftyeight",58,"петдесет и осем","petdesetiosem","","",NA,NA,NA
"60","googleuninum-bul-fiftynine-1","googleuninum-bul","Ritchie2019","fiftynine",59,"петдесет и девет","petdesetidevet","","",NA,NA,NA
"61","googleuninum-bul-sixty-1","googleuninum-bul","Ritchie2019","sixty",60,"шейсет","sheiset","","",NA,NA,NA
"62","googleuninum-bul-sixtyone-1","googleuninum-bul","Ritchie2019","sixtyone",61,"шейсет и едно","sheisetiedno","","",NA,NA,NA
"63","googleuninum-bul-sixtytwo-1","googleuninum-bul","Ritchie2019","sixtytwo",62,"шейсет и две","sheisetidve","","",NA,NA,NA
"64","googleuninum-bul-sixtythree-1","googleuninum-bul","Ritchie2019","sixtythree",63,"шейсет и три","sheisetitri","","",NA,NA,NA
"65","googleuninum-bul-sixtyfour-1","googleuninum-bul","Ritchie2019","sixtyfour",64,"шейсет и четири","sheisetichetiri","","",NA,NA,NA
"66","googleuninum-bul-sixtyfive-1","googleuninum-bul","Ritchie2019","sixtyfive",65,"шейсет и пет","sheisetipet","","",NA,NA,NA
"67","googleuninum-bul-sixtysix-1","googleuninum-bul","Ritchie2019","sixtysix",66,"шейсет и шест","sheisetishest","","",NA,NA,NA
"68","googleuninum-bul-sixtyseven-1","googleuninum-bul","Ritchie2019","sixtyseven",67,"шейсет и седем","sheisetisedem","","",NA,NA,NA
"69","googleuninum-bul-sixtyeight-1","googleuninum-bul","Ritchie2019","sixtyeight",68,"шейсет и осем","sheisetiosem","","",NA,NA,NA
"70","googleuninum-bul-sixtynine-1","googleuninum-bul","Ritchie2019","sixtynine",69,"шейсет и девет","sheisetidevet","","",NA,NA,NA
"71","googleuninum-bul-seventy-1","googleuninum-bul","Ritchie2019","seventy",70,"седемдесет","sedemdeset","","",NA,NA,NA
"72","googleuninum-bul-seventyone-1","googleuninum-bul","Ritchie2019","seventyone",71,"седемдесет и едно","sedemdesetiedno","","",NA,NA,NA
"73","googleuninum-bul-seventytwo-1","googleuninum-bul","Ritchie2019","seventytwo",72,"седемдесет и две","sedemdesetidve","","",NA,NA,NA
"74","googleuninum-bul-seventythree-1","googleuninum-bul","Ritchie2019","seventythree",73,"седемдесет и три","sedemdesetitri","","",NA,NA,NA
"75","googleuninum-bul-seventyfour-1","googleuninum-bul","Ritchie2019","seventyfour",74,"седемдесет и четири","sedemdesetichetiri","","",NA,NA,NA
"76","googleuninum-bul-seventyfive-1","googleuninum-bul","Ritchie2019","seventyfive",75,"седемдесет и пет","sedemdesetipet","","",NA,NA,NA
"77","googleuninum-bul-seventysix-1","googleuninum-bul","Ritchie2019","seventysix",76,"седемдесет и шест","sedemdesetishest","","",NA,NA,NA
"78","googleuninum-bul-seventyseven-1","googleuninum-bul","Ritchie2019","seventyseven",77,"седемдесет и седем","sedemdesetisedem","","",NA,NA,NA
"79","googleuninum-bul-seventyeight-1","googleuninum-bul","Ritchie2019","seventyeight",78,"седемдесет и осем","sedemdesetiosem","","",NA,NA,NA
"80","googleuninum-bul-seventynine-1","googleuninum-bul","Ritchie2019","seventynine",79,"седемдесет и девет","sedemdesetidevet","","",NA,NA,NA
"81","googleuninum-bul-eighty-1","googleuninum-bul","Ritchie2019","eighty",80,"осемдесет","osemdeset","","",NA,NA,NA
"82","googleuninum-bul-eightyone-1","googleuninum-bul","Ritchie2019","eightyone",81,"осемдесет и едно","osemdesetiedno","","",NA,NA,NA
"83","googleuninum-bul-eightytwo-1","googleuninum-bul","Ritchie2019","eightytwo",82,"осемдесет и две","osemdesetidve","","",NA,NA,NA
"84","googleuninum-bul-eightythree-1","googleuninum-bul","Ritchie2019","eightythree",83,"осемдесет и три","osemdesetitri","","",NA,NA,NA
"85","googleuninum-bul-eightyfour-1","googleuninum-bul","Ritchie2019","eightyfour",84,"осемдесет и четири","osemdesetichetiri","","",NA,NA,NA
"86","googleuninum-bul-eightyfive-1","googleuninum-bul","Ritchie2019","eightyfive",85,"осемдесет и пет","osemdesetipet","","",NA,NA,NA
"87","googleuninum-bul-eightysix-1","googleuninum-bul","Ritchie2019","eightysix",86,"осемдесет и шест","osemdesetishest","","",NA,NA,NA
"88","googleuninum-bul-eightyseven-1","googleuninum-bul","Ritchie2019","eightyseven",87,"осемдесет и седем","osemdesetisedem","","",NA,NA,NA
"89","googleuninum-bul-eightyeight-1","googleuninum-bul","Ritchie2019","eightyeight",88,"осемдесет и осем","osemdesetiosem","","",NA,NA,NA
"90","googleuninum-bul-eightynine-1","googleuninum-bul","Ritchie2019","eightynine",89,"осемдесет и девет","osemdesetidevet","","",NA,NA,NA
"91","googleuninum-bul-ninety-1","googleuninum-bul","Ritchie2019","ninety",90,"деветдесет","devetdeset","","",NA,NA,NA
"92","googleuninum-bul-ninetyone-1","googleuninum-bul","Ritchie2019","ninetyone",91,"деветдесет и едно","devetdesetiedno","","",NA,NA,NA
"93","googleuninum-bul-ninetytwo-1","googleuninum-bul","Ritchie2019","ninetytwo",92,"деветдесет и две","devetdesetidve","","",NA,NA,NA
"94","googleuninum-bul-ninetythree-1","googleuninum-bul","Ritchie2019","ninetythree",93,"деветдесет и три","devetdesetitri","","",NA,NA,NA
"95","googleuninum-bul-ninetyfour-1","googleuninum-bul","Ritchie2019","ninetyfour",94,"деветдесет и четири","devetdesetichetiri","","",NA,NA,NA
"96","googleuninum-bul-ninetyfive-1","googleuninum-bul","Ritchie2019","ninetyfive",95,"деветдесет и пет","devetdesetipet","","",NA,NA,NA
"97","googleuninum-bul-ninetysix-1","googleuninum-bul","Ritchie2019","ninetysix",96,"деветдесет и шест","devetdesetishest","","",NA,NA,NA
"98","googleuninum-bul-ninetyseven-1","googleuninum-bul","Ritchie2019","ninetyseven",97,"деветдесет и седем","devetdesetisedem","","",NA,NA,NA
"99","googleuninum-bul-ninetyeight-1","googleuninum-bul","Ritchie2019","ninetyeight",98,"деветдесет и осем","devetdesetiosem","","",NA,NA,NA
"100","googleuninum-bul-ninetynine-1","googleuninum-bul","Ritchie2019","ninetynine",99,"деветдесет и девет","devetdesetidevet","","",NA,NA,NA
"101","googleuninum-bul-hundred-1","googleuninum-bul","Ritchie2019","hundred",100,"сто","sto","","",NA,NA,NA
"102","googleuninum-bul-thousand-1","googleuninum-bul","Ritchie2019","thousand",1000,"хиляда","khiliada","","",NA,NA,NA
"103","googleuninum-bul-tenthousand-1","googleuninum-bul","Ritchie2019","tenthousand",10000,"десет хиляди","desetkhiliadi","","",NA,NA,NA
"104","googleuninum-bul-onehundredthousand-1","googleuninum-bul","Ritchie2019","onehundredthousand",1e+05,"сто хиляди","stokhiliadi","","",NA,NA,NA
"105","googleuninum-bul-onemillion-1","googleuninum-bul","Ritchie2019","onemillion",1e+06,"един милион","edinmilion","","",NA,NA,NA
"106","googleuninum-bul-tenmillion-1","googleuninum-bul","Ritchie2019","tenmillion",1e+07,"десет милиона","desetmiliona","","",NA,NA,NA
"107","googleuninum-bul-onehundredmillion-1","googleuninum-bul","Ritchie2019","onehundredmillion",1e+08,"сто милиона","stomiliona","","",NA,NA,NA
"108","googleuninum-bul-billion-1","googleuninum-bul","Ritchie2019","billion",1e+09,"един милиард","edinmiliard","","",NA,NA,NA
"109","googleuninum-bul-tenbillion-1","googleuninum-bul","Ritchie2019","tenbillion",1e+10,"десет милиарда","desetmiliarda","","",NA,NA,NA
"110","googleuninum-bul-onehundredbillion-1","googleuninum-bul","Ritchie2019","onehundredbillion",1e+11,"сто милиарда","stomiliarda","","",NA,NA,NA
