"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","googleuninum-ckb_latin-zero-1","googleuninum-ckb_latin","Ritchie2019","zero",0,"sefr","sefr","","",NA,NA,NA
"2","googleuninum-ckb_latin-one-1","googleuninum-ckb_latin","Ritchie2019","one",1,"yak","yak","","",NA,NA,NA
"3","googleuninum-ckb_latin-two-1","googleuninum-ckb_latin","Ritchie2019","two",2,"do","do","","",NA,NA,NA
"4","googleuninum-ckb_latin-three-1","googleuninum-ckb_latin","Ritchie2019","three",3,"se","se","","",NA,NA,NA
"5","googleuninum-ckb_latin-four-1","googleuninum-ckb_latin","Ritchie2019","four",4,"chovar","chovar","","",NA,NA,NA
"6","googleuninum-ckb_latin-five-1","googleuninum-ckb_latin","Ritchie2019","five",5,"penj","penj","","",NA,NA,NA
"7","googleuninum-ckb_latin-six-1","googleuninum-ckb_latin","Ritchie2019","six",6,"shash","shash","","",NA,NA,NA
"8","googleuninum-ckb_latin-seven-1","googleuninum-ckb_latin","Ritchie2019","seven",7,"haft","haft","","",NA,NA,NA
"9","googleuninum-ckb_latin-eight-1","googleuninum-ckb_latin","Ritchie2019","eight",8,"hesht","hesht","","",NA,NA,NA
"10","googleuninum-ckb_latin-nine-1","googleuninum-ckb_latin","Ritchie2019","nine",9,"noo","noo","","",NA,NA,NA
"11","googleuninum-ckb_latin-ten-1","googleuninum-ckb_latin","Ritchie2019","ten",10,"da","da","","",NA,NA,NA
"12","googleuninum-ckb_latin-eleven-1","googleuninum-ckb_latin","Ritchie2019","eleven",11,"yanza","yanza","","",NA,NA,NA
"13","googleuninum-ckb_latin-twelve-1","googleuninum-ckb_latin","Ritchie2019","twelve",12,"dovanza","dovanza","","",NA,NA,NA
"14","googleuninum-ckb_latin-thirteen-1","googleuninum-ckb_latin","Ritchie2019","thirteen",13,"sianza","sianza","","",NA,NA,NA
"15","googleuninum-ckb_latin-fourteen-1","googleuninum-ckb_latin","Ritchie2019","fourteen",14,"chovarda","chovarda","","",NA,NA,NA
"16","googleuninum-ckb_latin-fifteen-1","googleuninum-ckb_latin","Ritchie2019","fifteen",15,"panza","panza","","",NA,NA,NA
"17","googleuninum-ckb_latin-sixteen-1","googleuninum-ckb_latin","Ritchie2019","sixteen",16,"shanza","shanza","","",NA,NA,NA
"18","googleuninum-ckb_latin-seventeen-1","googleuninum-ckb_latin","Ritchie2019","seventeen",17,"hefda","hefda","","",NA,NA,NA
"19","googleuninum-ckb_latin-eighteen-1","googleuninum-ckb_latin","Ritchie2019","eighteen",18,"ezhda","ezhda","","",NA,NA,NA
"20","googleuninum-ckb_latin-nineteen-1","googleuninum-ckb_latin","Ritchie2019","nineteen",19,"nozda","nozda","","",NA,NA,NA
"21","googleuninum-ckb_latin-twenty-1","googleuninum-ckb_latin","Ritchie2019","twenty",20,"bis","bis","","",NA,NA,NA
"22","googleuninum-ckb_latin-twentyone-1","googleuninum-ckb_latin","Ritchie2019","twentyone",21,"bise yak","biseyak","","",NA,NA,NA
"23","googleuninum-ckb_latin-twentytwo-1","googleuninum-ckb_latin","Ritchie2019","twentytwo",22,"bise do","bisedo","","",NA,NA,NA
