"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","googleuninum-ron-zero-1","googleuninum-ron","Ritchie2019","zero",0,"zero","zero","","",NA,NA,NA
"2","googleuninum-ron-one-1","googleuninum-ron","Ritchie2019","one",1,"unu","unu","","",NA,NA,NA
"3","googleuninum-ron-two-1","googleuninum-ron","Ritchie2019","two",2,"doi","doi","","",NA,NA,NA
"4","googleuninum-ron-three-1","googleuninum-ron","Ritchie2019","three",3,"trei","trei","","",NA,NA,NA
"5","googleuninum-ron-four-1","googleuninum-ron","Ritchie2019","four",4,"patru","patru","","",NA,NA,NA
"6","googleuninum-ron-five-1","googleuninum-ron","Ritchie2019","five",5,"cinci","cinci","","",NA,NA,NA
"7","googleuninum-ron-six-1","googleuninum-ron","Ritchie2019","six",6,"șase","sase","","",NA,NA,NA
"8","googleuninum-ron-seven-1","googleuninum-ron","Ritchie2019","seven",7,"șapte","sapte","","",NA,NA,NA
"9","googleuninum-ron-eight-1","googleuninum-ron","Ritchie2019","eight",8,"opt","opt","","",NA,NA,NA
"10","googleuninum-ron-nine-1","googleuninum-ron","Ritchie2019","nine",9,"nouă","noua","","",NA,NA,NA
"11","googleuninum-ron-ten-1","googleuninum-ron","Ritchie2019","ten",10,"zece","zece","","",NA,NA,NA
"12","googleuninum-ron-eleven-1","googleuninum-ron","Ritchie2019","eleven",11,"unsprezece","unsprezece","","",NA,NA,NA
"13","googleuninum-ron-twelve-1","googleuninum-ron","Ritchie2019","twelve",12,"doisprezece","doisprezece","","",NA,NA,NA
"14","googleuninum-ron-thirteen-1","googleuninum-ron","Ritchie2019","thirteen",13,"treisprezece","treisprezece","","",NA,NA,NA
"15","googleuninum-ron-fourteen-1","googleuninum-ron","Ritchie2019","fourteen",14,"paisprezece","paisprezece","","",NA,NA,NA
"16","googleuninum-ron-fifteen-1","googleuninum-ron","Ritchie2019","fifteen",15,"cincisprezece","cincisprezece","","",NA,NA,NA
"17","googleuninum-ron-sixteen-1","googleuninum-ron","Ritchie2019","sixteen",16,"șaisprezece","saisprezece","","",NA,NA,NA
"18","googleuninum-ron-seventeen-1","googleuninum-ron","Ritchie2019","seventeen",17,"șaptesprezece","saptesprezece","","",NA,NA,NA
"19","googleuninum-ron-eighteen-1","googleuninum-ron","Ritchie2019","eighteen",18,"optsprezece","optsprezece","","",NA,NA,NA
"20","googleuninum-ron-nineteen-1","googleuninum-ron","Ritchie2019","nineteen",19,"nouăsprezece","nouasprezece","","",NA,NA,NA
"21","googleuninum-ron-twenty-1","googleuninum-ron","Ritchie2019","twenty",20,"douăzeci","douazeci","","",NA,NA,NA
"22","googleuninum-ron-twentyone-1","googleuninum-ron","Ritchie2019","twentyone",21,"douăzeci și unu","douazecisiunu","","",NA,NA,NA
"23","googleuninum-ron-twentytwo-1","googleuninum-ron","Ritchie2019","twentytwo",22,"douăzeci și doi","douazecisidoi","","",NA,NA,NA
"24","googleuninum-ron-twentythree-1","googleuninum-ron","Ritchie2019","twentythree",23,"douăzeci și trei","douazecisitrei","","",NA,NA,NA
"25","googleuninum-ron-twentyfour-1","googleuninum-ron","Ritchie2019","twentyfour",24,"douăzeci și patru","douazecisipatru","","",NA,NA,NA
"26","googleuninum-ron-twentyfive-1","googleuninum-ron","Ritchie2019","twentyfive",25,"douăzeci și cinci","douazecisicinci","","",NA,NA,NA
"27","googleuninum-ron-twentysix-1","googleuninum-ron","Ritchie2019","twentysix",26,"douăzeci și șase","douazecisisase","","",NA,NA,NA
"28","googleuninum-ron-twentyseven-1","googleuninum-ron","Ritchie2019","twentyseven",27,"douăzeci și șapte","douazecisisapte","","",NA,NA,NA
"29","googleuninum-ron-twentyeight-1","googleuninum-ron","Ritchie2019","twentyeight",28,"douăzeci și opt","douazecisiopt","","",NA,NA,NA
"30","googleuninum-ron-twentynine-1","googleuninum-ron","Ritchie2019","twentynine",29,"douăzeci și nouă","douazecisinoua","","",NA,NA,NA
"31","googleuninum-ron-thirty-1","googleuninum-ron","Ritchie2019","thirty",30,"treizeci","treizeci","","",NA,NA,NA
"32","googleuninum-ron-thirtyone-1","googleuninum-ron","Ritchie2019","thirtyone",31,"treizeci și unu","treizecisiunu","","",NA,NA,NA
"33","googleuninum-ron-thirtytwo-1","googleuninum-ron","Ritchie2019","thirtytwo",32,"treizeci și doi","treizecisidoi","","",NA,NA,NA
"34","googleuninum-ron-thirtythree-1","googleuninum-ron","Ritchie2019","thirtythree",33,"treizeci și trei","treizecisitrei","","",NA,NA,NA
"35","googleuninum-ron-thirtyfour-1","googleuninum-ron","Ritchie2019","thirtyfour",34,"treizeci și patru","treizecisipatru","","",NA,NA,NA
"36","googleuninum-ron-thirtyfive-1","googleuninum-ron","Ritchie2019","thirtyfive",35,"treizeci și cinci","treizecisicinci","","",NA,NA,NA
"37","googleuninum-ron-thirtysix-1","googleuninum-ron","Ritchie2019","thirtysix",36,"treizeci și șase","treizecisisase","","",NA,NA,NA
"38","googleuninum-ron-thirtyseven-1","googleuninum-ron","Ritchie2019","thirtyseven",37,"treizeci și șapte","treizecisisapte","","",NA,NA,NA
"39","googleuninum-ron-thirtyeight-1","googleuninum-ron","Ritchie2019","thirtyeight",38,"treizeci și opt","treizecisiopt","","",NA,NA,NA
"40","googleuninum-ron-thirtynine-1","googleuninum-ron","Ritchie2019","thirtynine",39,"treizeci și nouă","treizecisinoua","","",NA,NA,NA
"41","googleuninum-ron-forty-1","googleuninum-ron","Ritchie2019","forty",40,"patruzeci","patruzeci","","",NA,NA,NA
"42","googleuninum-ron-fortyone-1","googleuninum-ron","Ritchie2019","fortyone",41,"patruzeci și unu","patruzecisiunu","","",NA,NA,NA
"43","googleuninum-ron-fortytwo-1","googleuninum-ron","Ritchie2019","fortytwo",42,"patruzeci și doi","patruzecisidoi","","",NA,NA,NA
"44","googleuninum-ron-fortythree-1","googleuninum-ron","Ritchie2019","fortythree",43,"patruzeci și trei","patruzecisitrei","","",NA,NA,NA
"45","googleuninum-ron-fortyfour-1","googleuninum-ron","Ritchie2019","fortyfour",44,"patruzeci și patru","patruzecisipatru","","",NA,NA,NA
"46","googleuninum-ron-fortyfive-1","googleuninum-ron","Ritchie2019","fortyfive",45,"patruzeci și cinci","patruzecisicinci","","",NA,NA,NA
"47","googleuninum-ron-fortysix-1","googleuninum-ron","Ritchie2019","fortysix",46,"patruzeci și șase","patruzecisisase","","",NA,NA,NA
"48","googleuninum-ron-fortyseven-1","googleuninum-ron","Ritchie2019","fortyseven",47,"patruzeci și șapte","patruzecisisapte","","",NA,NA,NA
"49","googleuninum-ron-fortyeight-1","googleuninum-ron","Ritchie2019","fortyeight",48,"patruzeci și opt","patruzecisiopt","","",NA,NA,NA
"50","googleuninum-ron-fortynine-1","googleuninum-ron","Ritchie2019","fortynine",49,"patruzeci și nouă","patruzecisinoua","","",NA,NA,NA
