"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","googleuninum-tuk-zero-1","googleuninum-tuk","Ritchie2019","zero",0,"nol","nol","","",NA,NA,NA
"2","googleuninum-tuk-one-1","googleuninum-tuk","Ritchie2019","one",1,"bir","bir","","",NA,NA,NA
"3","googleuninum-tuk-two-1","googleuninum-tuk","Ritchie2019","two",2,"iki","iki","","",NA,NA,NA
"4","googleuninum-tuk-three-1","googleuninum-tuk","Ritchie2019","three",3,"üç","uc","","",NA,NA,NA
"5","googleuninum-tuk-four-1","googleuninum-tuk","Ritchie2019","four",4,"dört","dort","","",NA,NA,NA
"6","googleuninum-tuk-five-1","googleuninum-tuk","Ritchie2019","five",5,"bäş","bas","","",NA,NA,NA
"7","googleuninum-tuk-six-1","googleuninum-tuk","Ritchie2019","six",6,"alty","alty","","",NA,NA,NA
"8","googleuninum-tuk-seven-1","googleuninum-tuk","Ritchie2019","seven",7,"ýedi","yedi","","",NA,NA,NA
"9","googleuninum-tuk-eight-1","googleuninum-tuk","Ritchie2019","eight",8,"sekiz","sekiz","","",NA,NA,NA
"10","googleuninum-tuk-nine-1","googleuninum-tuk","Ritchie2019","nine",9,"dokuz","dokuz","","",NA,NA,NA
"11","googleuninum-tuk-ten-1","googleuninum-tuk","Ritchie2019","ten",10,"on","on","","",NA,NA,NA
"12","googleuninum-tuk-eleven-1","googleuninum-tuk","Ritchie2019","eleven",11,"on bir","onbir","","",NA,NA,NA
"13","googleuninum-tuk-twelve-1","googleuninum-tuk","Ritchie2019","twelve",12,"on iki","oniki","","",NA,NA,NA
"14","googleuninum-tuk-thirteen-1","googleuninum-tuk","Ritchie2019","thirteen",13,"on üç","onuc","","",NA,NA,NA
"15","googleuninum-tuk-fourteen-1","googleuninum-tuk","Ritchie2019","fourteen",14,"on dört","ondort","","",NA,NA,NA
"16","googleuninum-tuk-fifteen-1","googleuninum-tuk","Ritchie2019","fifteen",15,"on bäş","onbas","","",NA,NA,NA
"17","googleuninum-tuk-sixteen-1","googleuninum-tuk","Ritchie2019","sixteen",16,"on alty","onalty","","",NA,NA,NA
"18","googleuninum-tuk-seventeen-1","googleuninum-tuk","Ritchie2019","seventeen",17,"on ýedi","onyedi","","",NA,NA,NA
"19","googleuninum-tuk-eighteen-1","googleuninum-tuk","Ritchie2019","eighteen",18,"on sekiz","onsekiz","","",NA,NA,NA
"20","googleuninum-tuk-nineteen-1","googleuninum-tuk","Ritchie2019","nineteen",19,"on dokuz","ondokuz","","",NA,NA,NA
"21","googleuninum-tuk-twenty-1","googleuninum-tuk","Ritchie2019","twenty",20,"ýigrim","yigrim","","",NA,NA,NA
"22","googleuninum-tuk-twentyone-1","googleuninum-tuk","Ritchie2019","twentyone",21,"ýigrim bir","yigrimbir","","",NA,NA,NA
"23","googleuninum-tuk-twentytwo-1","googleuninum-tuk","Ritchie2019","twentytwo",22,"ýigrim iki","yigrimiki","","",NA,NA,NA
"24","googleuninum-tuk-twentythree-1","googleuninum-tuk","Ritchie2019","twentythree",23,"ýigrim üç","yigrimuc","","",NA,NA,NA
"25","googleuninum-tuk-twentyfour-1","googleuninum-tuk","Ritchie2019","twentyfour",24,"ýigrim dört","yigrimdort","","",NA,NA,NA
"26","googleuninum-tuk-twentyfive-1","googleuninum-tuk","Ritchie2019","twentyfive",25,"ýigrim bäş","yigrimbas","","",NA,NA,NA
"27","googleuninum-tuk-twentysix-1","googleuninum-tuk","Ritchie2019","twentysix",26,"ýigrim alty","yigrimalty","","",NA,NA,NA
"28","googleuninum-tuk-twentyseven-1","googleuninum-tuk","Ritchie2019","twentyseven",27,"ýigrim ýedi","yigrimyedi","","",NA,NA,NA
"29","googleuninum-tuk-twentyeight-1","googleuninum-tuk","Ritchie2019","twentyeight",28,"ýigrim sekiz","yigrimsekiz","","",NA,NA,NA
"30","googleuninum-tuk-twentynine-1","googleuninum-tuk","Ritchie2019","twentynine",29,"ýigrim dokuz","yigrimdokuz","","",NA,NA,NA
"31","googleuninum-tuk-thirty-1","googleuninum-tuk","Ritchie2019","thirty",30,"otuz","otuz","","",NA,NA,NA
"32","googleuninum-tuk-thirtyone-1","googleuninum-tuk","Ritchie2019","thirtyone",31,"otuz bir","otuzbir","","",NA,NA,NA
"33","googleuninum-tuk-thirtytwo-1","googleuninum-tuk","Ritchie2019","thirtytwo",32,"otuz iki","otuziki","","",NA,NA,NA
"34","googleuninum-tuk-thirtythree-1","googleuninum-tuk","Ritchie2019","thirtythree",33,"otuz üç","otuzuc","","",NA,NA,NA
"35","googleuninum-tuk-thirtyfour-1","googleuninum-tuk","Ritchie2019","thirtyfour",34,"otuz dört","otuzdort","","",NA,NA,NA
"36","googleuninum-tuk-thirtyfive-1","googleuninum-tuk","Ritchie2019","thirtyfive",35,"otuz bäş","otuzbas","","",NA,NA,NA
"37","googleuninum-tuk-thirtysix-1","googleuninum-tuk","Ritchie2019","thirtysix",36,"otuz alty","otuzalty","","",NA,NA,NA
"38","googleuninum-tuk-thirtyseven-1","googleuninum-tuk","Ritchie2019","thirtyseven",37,"otuz ýedi","otuzyedi","","",NA,NA,NA
"39","googleuninum-tuk-thirtyeight-1","googleuninum-tuk","Ritchie2019","thirtyeight",38,"otuz sekiz","otuzsekiz","","",NA,NA,NA
"40","googleuninum-tuk-thirtynine-1","googleuninum-tuk","Ritchie2019","thirtynine",39,"otuz dokuz","otuzdokuz","","",NA,NA,NA
"41","googleuninum-tuk-forty-1","googleuninum-tuk","Ritchie2019","forty",40,"kyrk","kyrk","","",NA,NA,NA
"42","googleuninum-tuk-fortyone-1","googleuninum-tuk","Ritchie2019","fortyone",41,"kyrk bir","kyrkbir","","",NA,NA,NA
"43","googleuninum-tuk-fortytwo-1","googleuninum-tuk","Ritchie2019","fortytwo",42,"kyrk iki","kyrkiki","","",NA,NA,NA
"44","googleuninum-tuk-fortythree-1","googleuninum-tuk","Ritchie2019","fortythree",43,"kyrk üç","kyrkuc","","",NA,NA,NA
"45","googleuninum-tuk-fortyfour-1","googleuninum-tuk","Ritchie2019","fortyfour",44,"kyrk dört","kyrkdort","","",NA,NA,NA
"46","googleuninum-tuk-fortyfive-1","googleuninum-tuk","Ritchie2019","fortyfive",45,"kyrk bäş","kyrkbas","","",NA,NA,NA
"47","googleuninum-tuk-fortysix-1","googleuninum-tuk","Ritchie2019","fortysix",46,"kyrk alty","kyrkalty","","",NA,NA,NA
"48","googleuninum-tuk-fortyseven-1","googleuninum-tuk","Ritchie2019","fortyseven",47,"kyrk ýedi","kyrkyedi","","",NA,NA,NA
"49","googleuninum-tuk-fortyeight-1","googleuninum-tuk","Ritchie2019","fortyeight",48,"kyrk sekiz","kyrksekiz","","",NA,NA,NA
