,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-ngun1272-1-one-1,numerals-ngun1272-1,Chan2019,one,1,emɔ̃,emo,(-mɔ̃),false,1,,
2,numerals-ngun1272-1-two-1,numerals-ngun1272-1,Chan2019,two,2,bviaal,bviaal,(-aal),false,2,,
3,numerals-ngun1272-1-three-1,numerals-ngun1272-1,Chan2019,three,3,etyel,etyel,(-tyel),false,3,,
4,numerals-ngun1272-1-four-1,numerals-ngun1272-1,Chan2019,four,4,enã,ena,(-nã),false,4,,
5,numerals-ngun1272-1-five-1,numerals-ngun1272-1,Chan2019,five,5,etããn,etaan,(-tããn),false,5,,
6,numerals-ngun1272-1-six-1,numerals-ngun1272-1,Chan2019,six,6,esɛ̃ɛ̃n,eseen,(-sɛ̃ɛ̃n),false,6,,
7,numerals-ngun1272-1-seven-1,numerals-ngun1272-1,Chan2019,seven,7,nsiããn,nsiaan,,false,7,,
8,numerals-ngun1272-1-eight-1,numerals-ngun1272-1,Chan2019,eight,8,mpuɔ̃,mpuo,,false,8,,
9,numerals-ngun1272-1-nine-1,numerals-ngun1272-1,Chan2019,nine,9,bva,bva,,false,9,,
10,numerals-ngun1272-1-ten-1,numerals-ngun1272-1,Chan2019,ten,10,kũũn,kuun,,false,10,,
11,numerals-ngun1272-1-eleven-1,numerals-ngun1272-1,Chan2019,eleven,11,kũũn y'emɔ̃,kuunyemo,,false,10+{and}1,,
12,numerals-ngun1272-1-twelve-1,numerals-ngun1272-1,Chan2019,twelve,12,kũũn ye bviaal,kuunyebviaal,,false,10+{and}2,,
13,numerals-ngun1272-1-thirteen-1,numerals-ngun1272-1,Chan2019,thirteen,13,kũũn y'etyel,kuunyetyel,,false,10+{and}3,,
14,numerals-ngun1272-1-fourteen-1,numerals-ngun1272-1,Chan2019,fourteen,14,kũũn y'enã,kuunyena,,false,10+{and}4,,
15,numerals-ngun1272-1-fifteen-1,numerals-ngun1272-1,Chan2019,fifteen,15,kũũn y'etããn,kuunyetaan,,false,10+{and}5,,
16,numerals-ngun1272-1-sixteen-1,numerals-ngun1272-1,Chan2019,sixteen,16,kũũn y'esɛ̃ɛ̃n,kuunyeseen,,false,10+{and}6,,
