,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-teke1276-1-one-1,numerals-teke1276-1,Chan2019,one,1,ímɔ,imo,,false,1,,
2,numerals-teke1276-1-two-1,numerals-teke1276-1,Chan2019,two,2,byɛ́ɛ́lɛ,byeele,,false,2,,
3,numerals-teke1276-1-three-1,numerals-teke1276-1,Chan2019,three,3,bitére,bitere,,false,3,,
4,numerals-teke1276-1-four-1,numerals-teke1276-1,Chan2019,four,4,bína,bina,,false,4,,
5,numerals-teke1276-1-five-1,numerals-teke1276-1,Chan2019,five,5,bitááni,bitaani,,false,5,,
6,numerals-teke1276-1-six-1,numerals-teke1276-1,Chan2019,six,6,bísɛ́mɛnɛ,bisemene,,false,6,,
7,numerals-teke1276-1-seven-1,numerals-teke1276-1,Chan2019,seven,7,ntsaama,ntsaama,,false,7,,
8,numerals-teke1276-1-eight-1,numerals-teke1276-1,Chan2019,eight,8,mpwɔ́mɔ,mpwomo,,false,8,,
9,numerals-teke1276-1-nine-1,numerals-teke1276-1,Chan2019,nine,9,owá,owa,,false,9,,
10,numerals-teke1276-1-ten-1,numerals-teke1276-1,Chan2019,ten,10,okwúúmu,okwuumu,,false,10,,
11,numerals-teke1276-1-eleven-1,numerals-teke1276-1,Chan2019,eleven,11,okwúúmu ímɔ,okwuumuimo,,false,10+1,,
12,numerals-teke1276-1-twelve-1,numerals-teke1276-1,Chan2019,twelve,12,okwúúmu byɛ́ɛ́lɛ,okwuumubyeele,,false,10+2,,
13,numerals-teke1276-1-thirteen-1,numerals-teke1276-1,Chan2019,thirteen,13,okwúúmu bitére,okwuumubitere,,false,10+3,,
14,numerals-teke1276-1-fourteen-1,numerals-teke1276-1,Chan2019,fourteen,14,okwúúmu bína,okwuumubina,,false,10+4,,
15,numerals-teke1276-1-fifteen-1,numerals-teke1276-1,Chan2019,fifteen,15,okwúúmu bitáána,okwuumubitaana,,false,10+5,,
16,numerals-teke1276-1-sixteen-1,numerals-teke1276-1,Chan2019,sixteen,16,okwúúmu bísɛ́mɛnɛ,okwuumubisemene,,false,10+6,,
17,numerals-teke1276-1-seventeen-1,numerals-teke1276-1,Chan2019,seventeen,17,okwúúmu a ntsaama,okwuumuantsaama,,false,10+7,,
18,numerals-teke1276-1-eighteen-1,numerals-teke1276-1,Chan2019,eighteen,18,okwúúmu a mpwɔ́mɔ,okwuumuampwomo,,false,10+8,,
19,numerals-teke1276-1-nineteen-1,numerals-teke1276-1,Chan2019,nineteen,19,okwúúmu a wá,okwuumuawa,,false,10+9,,
20,numerals-teke1276-1-twenty-1,numerals-teke1276-1,Chan2019,twenty,20,mákúúʼmwɔ́ɔ́lɔ,makuumwoolo,,false,10·2,,
21,numerals-teke1276-1-twentyone-1,numerals-teke1276-1,Chan2019,twentyone,21,mákúúʼmwɔ́ɔ́lɔ ímɔ,makuumwooloimo,,false,(10·2)+1,,
22,numerals-teke1276-1-twentytwo-1,numerals-teke1276-1,Chan2019,twentytwo,22,mákúúʼmwɔ́ɔ́lɔ byɛ́ɛ́lɛ,makuumwoolobyeele,,false,(10·2)+2,,
23,numerals-teke1276-1-twentythree-1,numerals-teke1276-1,Chan2019,twentythree,23,mákúúʼmwɔ́ɔ́lɔ bitére,makuumwoolobitere,,false,(10·2)+3,,
24,numerals-teke1276-1-twentyfour-1,numerals-teke1276-1,Chan2019,twentyfour,24,mákúúʼmwɔ́ɔ́lɔ bína,makuumwoolobina,,false,(10·2)+4,,
25,numerals-teke1276-1-twentyfive-1,numerals-teke1276-1,Chan2019,twentyfive,25,mákúúʼmwɔ́ɔ́lɔ bítááni,makuumwoolobitaani,,false,(10·2)+5,,
26,numerals-teke1276-1-twentysix-1,numerals-teke1276-1,Chan2019,twentysix,26,mákúúʼmwɔ́ɔ́lɔ bísɛ́mɛnɛ,makuumwoolobisemene,,false,(10·2)+6,,
27,numerals-teke1276-1-twentyseven-1,numerals-teke1276-1,Chan2019,twentyseven,27,mákúúʼmwɔ́ɔ́lɔ ntsaami,makuumwoolontsaami,,false,(10·2)+7,,
28,numerals-teke1276-1-twentyeight-1,numerals-teke1276-1,Chan2019,twentyeight,28,mákúúʼmwɔ́ɔ́lɔ mpwɔ́mɔ,makuumwoolompwomo,,false,(10·2)+8,,
29,numerals-teke1276-1-twentynine-1,numerals-teke1276-1,Chan2019,twentynine,29,mákúúʼmwɔ́ɔ́lɔ owá,makuumwooloowa,,false,(10·2)+9,,
30,numerals-teke1276-1-thirty-1,numerals-teke1276-1,Chan2019,thirty,30,mákúúmʼátére,makuumatere,,false,10·3,,
31,numerals-teke1276-1-forty-1,numerals-teke1276-1,Chan2019,forty,40,mákúúmʼána,makuumana,,false,10·4,,
