,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-ngaz1238-1-one-1,numerals-ngaz1238-1,Chan2019,one,1,montsi,montsi,,false,1,,
2,numerals-ngaz1238-1-two-1,numerals-ngaz1238-1,Chan2019,two,2,mɓili,mbili,,false,2,,
3,numerals-ngaz1238-1-three-1,numerals-ngaz1238-1,Chan2019,three,3,ɳɖaru,ndaru,,false,3,,
4,numerals-ngaz1238-1-four-1,numerals-ngaz1238-1,Chan2019,four,4,nne,nne,,false,4,,
5,numerals-ngaz1238-1-five-1,numerals-ngaz1238-1,Chan2019,five,5,ntsanu,ntsanu,,false,5,,
6,numerals-ngaz1238-1-six-1,numerals-ngaz1238-1,Chan2019,six,6,ɳɖadʲaru,ndadjaru,,false,6,,
7,numerals-ngaz1238-1-seven-1,numerals-ngaz1238-1,Chan2019,seven,7,mfukare,mfukare,,false,7,,
8,numerals-ngaz1238-1-eight-1,numerals-ngaz1238-1,Chan2019,eight,8,nane,nane,,false,8,,
9,numerals-ngaz1238-1-nine-1,numerals-ngaz1238-1,Chan2019,nine,9,ʃenɗa,senda,,false,9,,
10,numerals-ngaz1238-1-ten-1,numerals-ngaz1238-1,Chan2019,ten,10,kume,kume,,false,10,,
11,numerals-ngaz1238-1-eleven-1,numerals-ngaz1238-1,Chan2019,eleven,11,kume na modʒa,kumenamodza,,false,10+{and}1,,
12,numerals-ngaz1238-1-twelve-1,numerals-ngaz1238-1,Chan2019,twelve,12,kume na mɓili,kumenambili,,false,10+{and}2,,
13,numerals-ngaz1238-1-thirteen-1,numerals-ngaz1238-1,Chan2019,thirteen,13,kume na ɳɖaru,kumenandaru,,false,10+{and}3,,
14,numerals-ngaz1238-1-fourteen-1,numerals-ngaz1238-1,Chan2019,fourteen,14,kume na nne,kumenanne,,false,10+{and}4,,
15,numerals-ngaz1238-1-fifteen-1,numerals-ngaz1238-1,Chan2019,fifteen,15,kume na ntsanu,kumenantsanu,,false,10+{and}5,,
16,numerals-ngaz1238-1-sixteen-1,numerals-ngaz1238-1,Chan2019,sixteen,16,kume na ɳɖadʲaru,kumenandadjaru,,false,10+{and}6,,
17,numerals-ngaz1238-1-seventeen-1,numerals-ngaz1238-1,Chan2019,seventeen,17,kume na mfukare,kumenamfukare,,false,10+{and}7,,
18,numerals-ngaz1238-1-eighteen-1,numerals-ngaz1238-1,Chan2019,eighteen,18,kume na nane,kumenanane,,false,10+{and}4’+4,,
19,numerals-ngaz1238-1-nineteen-1,numerals-ngaz1238-1,Chan2019,nineteen,19,kume na ʃenɗa,kumenasenda,,false,10+{and}5,,
20,numerals-ngaz1238-1-twenty-1,numerals-ngaz1238-1,Chan2019,twenty,20,meŋɡo mili,menggomili,,false,{CL}10'·{CL}2,,
21,numerals-ngaz1238-1-twentyone-1,numerals-ngaz1238-1,Chan2019,twentyone,21,meŋɡo mili na mwedʒa,menggomilinamwedza,,false,({CL}10’·{CL}2)+{and}1’,,
22,numerals-ngaz1238-1-twentytwo-1,numerals-ngaz1238-1,Chan2019,twentytwo,22,meŋɡo mili na mili,menggomilinamili,,false,({CL}10’·{CL}2)+{and}{CL}2,,
23,numerals-ngaz1238-1-twentythree-1,numerals-ngaz1238-1,Chan2019,twentythree,23,meŋɡo mili na ɳɖaru,menggomilinandaru,,false,({CL}10’·{CL}2)+{and}{CL}3,,
24,numerals-ngaz1238-1-twentyfour-1,numerals-ngaz1238-1,Chan2019,twentyfour,24,meŋɡo mili na mine,menggomilinamine,,false,({CL}10’·{CL}2)+{and}{CL}4,,
25,numerals-ngaz1238-1-twentyfive-1,numerals-ngaz1238-1,Chan2019,twentyfive,25,meŋɡo mili na mitsanu,menggomilinamitsanu,,false,({CL}10’·{CL}2)+{and}{CL}5,,
26,numerals-ngaz1238-1-twentysix-1,numerals-ngaz1238-1,Chan2019,twentysix,26,meŋɡo mili na mirandʲaru,menggomilinamirandjaru,,false,({CL}10’·{CL}2)+{and}{CL}6,,
27,numerals-ngaz1238-1-twentyseven-1,numerals-ngaz1238-1,Chan2019,twentyseven,27,meŋɡo mili na mfukare,menggomilinamfukare,,false,({CL}10’·{CL}2)+{and}7,,
28,numerals-ngaz1238-1-twentyeight-1,numerals-ngaz1238-1,Chan2019,twentyeight,28,meŋɡo mili na minane,menggomilinaminane,,false,({CL}10’·{CL}2)+{and}{CL}4’+4,,
29,numerals-ngaz1238-1-twentynine-1,numerals-ngaz1238-1,Chan2019,twentynine,29,meŋɡo mili na ʃenɗa,menggomilinasenda,,false,({CL}10’·{CL}2)+{and}{CL}9,,
30,numerals-ngaz1238-1-thirty-1,numerals-ngaz1238-1,Chan2019,thirty,30,meŋɡo miraru,menggomiraru,,false,{CL}10'·{CL}3,,
31,numerals-ngaz1238-1-forty-1,numerals-ngaz1238-1,Chan2019,forty,40,meŋɡo mine,menggomine,,false,{CL}10'·{CL}4,,
