,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-kwer1261-1-one-1,numerals-kwer1261-1,Chan2019,one,1,-imwe,imwe,,false,1,,
2,numerals-kwer1261-1-two-1,numerals-kwer1261-1,Chan2019,two,2,-mbili,mbili,,false,2,,
3,numerals-kwer1261-1-three-1,numerals-kwer1261-1,Chan2019,three,3,-natu,natu,,false,3,,
4,numerals-kwer1261-1-four-1,numerals-kwer1261-1,Chan2019,four,4,-nne,nne,,false,4,,
5,numerals-kwer1261-1-five-1,numerals-kwer1261-1,Chan2019,five,5,-tano,tano,,false,5,,
6,numerals-kwer1261-1-six-1,numerals-kwer1261-1,Chan2019,six,6,sita,sita,( < Swahili / Arabic ),true,6,,
7,numerals-kwer1261-1-seven-1,numerals-kwer1261-1,Chan2019,seven,7,saba,saba,( < Swahili / Arabic ),true,7,,
8,numerals-kwer1261-1-eight-1,numerals-kwer1261-1,Chan2019,eight,8,nane,nane,,false,8,,
9,numerals-kwer1261-1-nine-1,numerals-kwer1261-1,Chan2019,nine,9,tisa,tisa,(< Swahili  / Arabic ),true,9,,
10,numerals-kwer1261-1-nine-2,numerals-kwer1261-1,Chan2019,nine,9,kenda,kenda,,false,9’,,
11,numerals-kwer1261-1-ten-1,numerals-kwer1261-1,Chan2019,ten,10,kumi,kumi,,false,10,,
12,numerals-kwer1261-1-eleven-1,numerals-kwer1261-1,Chan2019,eleven,11,kumi na -mwe,kuminamwe,,false,10+{and}1,,
13,numerals-kwer1261-1-twelve-1,numerals-kwer1261-1,Chan2019,twelve,12,kumi na -mbili,kuminambili,,false,10+{and}2,,
14,numerals-kwer1261-1-thirteen-1,numerals-kwer1261-1,Chan2019,thirteen,13,kumi na -natu,kuminanatu,,false,10+{and}3,,
15,numerals-kwer1261-1-fourteen-1,numerals-kwer1261-1,Chan2019,fourteen,14,kumi na -nne,kuminanne,,false,10+{and}4,,
16,numerals-kwer1261-1-fifteen-1,numerals-kwer1261-1,Chan2019,fifteen,15,kumi na -tano,kuminatano,,false,10+{and}5,,
17,numerals-kwer1261-1-sixteen-1,numerals-kwer1261-1,Chan2019,sixteen,16,kumi na sita,kuminasita,,false,10+{and}6,,
18,numerals-kwer1261-1-seventeen-1,numerals-kwer1261-1,Chan2019,seventeen,17,kumi na saba,kuminasaba,,false,10+{and}7,,
19,numerals-kwer1261-1-eighteen-1,numerals-kwer1261-1,Chan2019,eighteen,18,kumi na nane,kuminanane,,false,10+{and}8,,
20,numerals-kwer1261-1-nineteen-1,numerals-kwer1261-1,Chan2019,nineteen,19,kumi na tisa,kuminatisa,,false,10+{and}9,,
21,numerals-kwer1261-1-nineteen-2,numerals-kwer1261-1,Chan2019,nineteen,19,kenda,kenda,,false,10+{and}9’,,
22,numerals-kwer1261-1-twenty-1,numerals-kwer1261-1,Chan2019,twenty,20,iʃirini,isirini,,false,2’·10’,,
23,numerals-kwer1261-1-twentyone-1,numerals-kwer1261-1,Chan2019,twentyone,21,iʃirini na -mwe,isirininamwe,,false,(2'·10')+{and}1,,
24,numerals-kwer1261-1-twentytwo-1,numerals-kwer1261-1,Chan2019,twentytwo,22,iʃirinina -mbili,isirininambili,,false,(2'·10')+{and}2,,
25,numerals-kwer1261-1-twentythree-1,numerals-kwer1261-1,Chan2019,twentythree,23,iʃirinina -natu,isirininanatu,,false,(2'·10')+{and}3,,
26,numerals-kwer1261-1-twentyfour-1,numerals-kwer1261-1,Chan2019,twentyfour,24,iʃirini na -nne,isirininanne,,false,(2'·10')+{and}4,,
27,numerals-kwer1261-1-twentyfive-1,numerals-kwer1261-1,Chan2019,twentyfive,25,iʃirinina -tano,isirininatano,,false,(2'·10')+{and}5,,
28,numerals-kwer1261-1-twentysix-1,numerals-kwer1261-1,Chan2019,twentysix,26,iʃirini na sita,isirininasita,,false,(2'·10')+{and}6,,
29,numerals-kwer1261-1-twentyseven-1,numerals-kwer1261-1,Chan2019,twentyseven,27,iʃirinina saba,isirininasaba,,false,(2'·10')+{and}7,,
30,numerals-kwer1261-1-twentyeight-1,numerals-kwer1261-1,Chan2019,twentyeight,28,iʃirinina nane,isirininanane,,false,(2'·10')+{and}8,,
31,numerals-kwer1261-1-twentynine-1,numerals-kwer1261-1,Chan2019,twentynine,29,iʃirinina tisa,isirininatisa,,false,(2'·10')+{and}9,,
32,numerals-kwer1261-1-twentynine-2,numerals-kwer1261-1,Chan2019,twentynine,29,kenda,kenda,,false,(2'·10')+{and}9’,,
