,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-vend1245-1-one-1,numerals-vend1245-1,Chan2019,one,1,tʰiɦi,thihi,,false,1,,
2,numerals-vend1245-1-two-1,numerals-vend1245-1,Chan2019,two,2,mbiɾi,mbiri,,false,2,,
3,numerals-vend1245-1-three-1,numerals-vend1245-1,Chan2019,three,3,tʰaru,tharu,,false,3,,
4,numerals-vend1245-1-four-1,numerals-vend1245-1,Chan2019,four,4,nn̪a,nna,,false,4,,
5,numerals-vend1245-1-five-1,numerals-vend1245-1,Chan2019,five,5,t̪ʰanu,thanu,,false,5,,
6,numerals-vend1245-1-six-1,numerals-vend1245-1,Chan2019,six,6,t̪ʰanu na ntʰiɦi,thanunanthihi,( 5 + 1 ),false,5+1,,
7,numerals-vend1245-1-seven-1,numerals-vend1245-1,Chan2019,seven,7,t̪ʰanu na mbiɾi,thanunambiri,( 5 + 2 ),false,5+2,,
8,numerals-vend1245-1-eight-1,numerals-vend1245-1,Chan2019,eight,8,t̪ʰanu na ntʰaru,thanunantharu,( 5 + 3 ),false,5+3,,
9,numerals-vend1245-1-nine-1,numerals-vend1245-1,Chan2019,nine,9,t̪ʰanu na nn̪a,thanunanna,( 5 + 4 ),false,5+4,,
10,numerals-vend1245-1-ten-1,numerals-vend1245-1,Chan2019,ten,10,fumi,fumi,,false,10,,
11,numerals-vend1245-1-eleven-1,numerals-vend1245-1,Chan2019,eleven,11,fumi na ntʰaɦi,fuminanthahi,,false,10+{+}1',,
12,numerals-vend1245-1-twelve-1,numerals-vend1245-1,Chan2019,twelve,12,fumi na mbiɾi,fuminambiri,,false,10+{+}2,,
13,numerals-vend1245-1-thirteen-1,numerals-vend1245-1,Chan2019,thirteen,13,fumi na ntʰaru,fuminantharu,,false,10+{+}3’,,
14,numerals-vend1245-1-fourteen-1,numerals-vend1245-1,Chan2019,fourteen,14,fumi na nn̪a,fuminanna,,false,10+{+}4,,
15,numerals-vend1245-1-fifteen-1,numerals-vend1245-1,Chan2019,fifteen,15,fumi na nt̪ʰanu,fuminanthanu,,false,10+{+}5,,
16,numerals-vend1245-1-sixteen-1,numerals-vend1245-1,Chan2019,sixteen,16,fumi na nt̪ʰanu na ntʰiɦi,fuminanthanunanthihi,,false,10+{+}5+{+}1’,,
