,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-naki1238-1-one-1,numerals-naki1238-1,Chan2019,one,1,āmū,amu,,false,1,,
2,numerals-naki1238-1-two-1,numerals-naki1238-1,Chan2019,two,2,ífə,ifa,,false,2,,
3,numerals-naki1238-1-three-1,numerals-naki1238-1,Chan2019,three,3,ítāt,itat,,false,3,,
4,numerals-naki1238-1-four-1,numerals-naki1238-1,Chan2019,four,4,īnāː,ina,,false,4,,
5,numerals-naki1238-1-five-1,numerals-naki1238-1,Chan2019,five,5,ítɪ᷇ː,iti,,false,5,,
6,numerals-naki1238-1-six-1,numerals-naki1238-1,Chan2019,six,6,úsi᷇ː,usi,,false,6,,
7,numerals-naki1238-1-seven-1,numerals-naki1238-1,Chan2019,seven,7,fùmádʒâŋ,fumadzang,( ? 8 ),false,1-8,,
8,numerals-naki1238-1-eight-1,numerals-naki1238-1,Chan2019,eight,8,dʒàŋ,dzang,,false,8,,
9,numerals-naki1238-1-nine-1,numerals-naki1238-1,Chan2019,nine,9,fùmádzófu,fumadzofu,(? 10 ),false,1-10,,
10,numerals-naki1238-1-ten-1,numerals-naki1238-1,Chan2019,ten,10,dzófú,dzofu,,false,10,,
11,numerals-naki1238-1-eleven-1,numerals-naki1238-1,Chan2019,eleven,11,dzóntsùámū,dzontsuamu,,false,10+1,,
12,numerals-naki1238-1-twelve-1,numerals-naki1238-1,Chan2019,twelve,12,dzóntsǔfə́,dzontsufa,,false,10+2,,
13,numerals-naki1238-1-thirteen-1,numerals-naki1238-1,Chan2019,thirteen,13,dzóntsǔtāt,dzontsutat,,false,10+3,,
14,numerals-naki1238-1-fourteen-1,numerals-naki1238-1,Chan2019,fourteen,14,dzóntsǔna᷇,dzontsuna,,false,10+4,,
15,numerals-naki1238-1-fifteen-1,numerals-naki1238-1,Chan2019,fifteen,15,dzóntsǔtɪ̂,dzontsuti,,false,10+5,,
16,numerals-naki1238-1-sixteen-1,numerals-naki1238-1,Chan2019,sixteen,16,dzóntsǔsí,dzontsusi,,false,10+6,,
17,numerals-naki1238-1-seventeen-1,numerals-naki1238-1,Chan2019,seventeen,17,dzóntsùfùmádʒâŋ,dzontsufumadzang,,false,10+7,,
18,numerals-naki1238-1-eighteen-1,numerals-naki1238-1,Chan2019,eighteen,18,dzóntsǔdʒàŋ,dzontsudzang,,false,10+8,,
19,numerals-naki1238-1-nineteen-1,numerals-naki1238-1,Chan2019,nineteen,19,dzóntsǔfùmádzófú,dzontsufumadzofu,,false,10+9,,
20,numerals-naki1238-1-twenty-1,numerals-naki1238-1,Chan2019,twenty,20,mùtsə́tsə̂,mutsatsa,,false,20,,
21,numerals-naki1238-1-twentyone-1,numerals-naki1238-1,Chan2019,twentyone,21,mùtsə́tsə́ntsúámū,mutsatsantsuamu,( mùtsə́tsə̂(n)tsúámū),false,20+{and}1,,
22,numerals-naki1238-1-twentytwo-1,numerals-naki1238-1,Chan2019,twentytwo,22,mùtsə́tsə́ntsùfə,mutsatsantsufa,,false,20+{and}2,,
23,numerals-naki1238-1-twentythree-1,numerals-naki1238-1,Chan2019,twentythree,23,mùtsə́tsə́ntsùítāt,mutsatsantsuitat,,false,20+{and}3,,
24,numerals-naki1238-1-twentyfour-1,numerals-naki1238-1,Chan2019,twentyfour,24,mùtsə́tsə́ntsùína᷇ː,mutsatsantsuina,,false,20+{and}4,,
25,numerals-naki1238-1-twentyfive-1,numerals-naki1238-1,Chan2019,twentyfive,25,mùtsə́tsə́ntsǔːtîː,mutsatsantsuti,,false,20+{and}5,,
26,numerals-naki1238-1-twentysix-1,numerals-naki1238-1,Chan2019,twentysix,26,mùtsə́tsə́ntsǔːsi᷇ː,mutsatsantsusi,,false,20+{and}6,,
27,numerals-naki1238-1-twentyseven-1,numerals-naki1238-1,Chan2019,twentyseven,27,mùtsə́tsə́ntsùfùmádʒâŋ,mutsatsantsufumadzang,,false,20+{and}7,,
28,numerals-naki1238-1-twentyeight-1,numerals-naki1238-1,Chan2019,twentyeight,28,mùtsə́tsə́ntsùdʒâŋ,mutsatsantsudzang,,false,20+{and}8,,
29,numerals-naki1238-1-twentynine-1,numerals-naki1238-1,Chan2019,twentynine,29,mùtsə́tsə́ntsùfùmádzófú,mutsatsantsufumadzofu,,false,20+{and}9,,
30,numerals-naki1238-1-thirty-1,numerals-naki1238-1,Chan2019,thirty,30,ùdzófútát,udzofutat,( 10 x 3 ),false,10·3,,
31,numerals-naki1238-1-forty-1,numerals-naki1238-1,Chan2019,forty,40,ùdzófúːna,udzofuna,,false,10·4,,
32,numerals-naki1238-1-fifty-1,numerals-naki1238-1,Chan2019,fifty,50,ùdzófúːt,udzofut,,false,10·5,,
33,numerals-naki1238-1-sixty-1,numerals-naki1238-1,Chan2019,sixty,60,ùdzófúːsi,udzofusi,,false,10·6,,
34,numerals-naki1238-1-seventy-1,numerals-naki1238-1,Chan2019,seventy,70,ùdzófú fùmádʒâŋ,udzofufumadzang,,false,10·7,,
35,numerals-naki1238-1-eighty-1,numerals-naki1238-1,Chan2019,eighty,80,ùdzófú dʒàŋ,udzofudzang,,false,10·8,,
36,numerals-naki1238-1-ninety-1,numerals-naki1238-1,Chan2019,ninety,90,ùdzófú fùmádzófú,udzofufumadzofu,,false,10·9,,
37,numerals-naki1238-1-hundred-1,numerals-naki1238-1,Chan2019,hundred,100,ǹsɔ̀ˠ,nsog,(ǹsɔ̀k ),false,100,,
38,numerals-naki1238-1-twohundred-1,numerals-naki1238-1,Chan2019,twohundred,200,ǹsɔ̀ˠófə́,nsogofa,,false,100·2,,
39,numerals-naki1238-1-thousand-1,numerals-naki1238-1,Chan2019,thousand,1000,ǹtáʔ,nta,,false,1000,,
40,numerals-naki1238-1-twothousand-1,numerals-naki1238-1,Chan2019,twothousand,2000,ǹtáʔófə́,ntaofa,,false,1000·2,,
41,numerals-naki1238-1-onemillion-1,numerals-naki1238-1,Chan2019,onemillion,1e+06,ǹtáʔdzófú,ntadzofu,,false,?,1000·10 = 10000,
