,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-suga1248-1-one-1,numerals-suga1248-1,Chan2019,one,1,mum,mum,,false,1,,
2,numerals-suga1248-1-two-1,numerals-suga1248-1,Chan2019,two,2,ɓaara,baara,,false,2,,
3,numerals-suga1248-1-three-1,numerals-suga1248-1,Chan2019,three,3,taara,taara,,false,3,,
4,numerals-suga1248-1-four-1,numerals-suga1248-1,Chan2019,four,4,naànà,naana,,false,4,,
5,numerals-suga1248-1-five-1,numerals-suga1248-1,Chan2019,five,5,tɛ́ɛ́ŋna,teengna,,false,5,,
6,numerals-suga1248-1-six-1,numerals-suga1248-1,Chan2019,six,6,tánmum,tanmum,( 5+ 1 ),false,5+1,,
7,numerals-suga1248-1-seven-1,numerals-suga1248-1,Chan2019,seven,7,tánɓáára,tanbaara,( 5+ 2 ),false,5+2,,
8,numerals-suga1248-1-eight-1,numerals-suga1248-1,Chan2019,eight,8,sɛ́ɛ̀,see,,false,8,,
9,numerals-suga1248-1-nine-1,numerals-suga1248-1,Chan2019,nine,9,tínáànà,tinaana,( 5+ 4 ),false,5+4,,
10,numerals-suga1248-1-ten-1,numerals-suga1248-1,Chan2019,ten,10,ɟer,jer,,false,10,,
11,numerals-suga1248-1-eleven-1,numerals-suga1248-1,Chan2019,eleven,11,ɟer cà mum,jercamum,,false,10+{LIG}1,,
12,numerals-suga1248-1-twelve-1,numerals-suga1248-1,Chan2019,twelve,12,ɟer cà ɓaara,jercabaara,,false,10+{LIG}2,,
13,numerals-suga1248-1-thirteen-1,numerals-suga1248-1,Chan2019,thirteen,13,ɟer cà taara,jercataara,,false,10+{LIG}3,,
14,numerals-suga1248-1-fourteen-1,numerals-suga1248-1,Chan2019,fourteen,14,ɟer cà naànà,jercanaana,,false,10+{LIG}4,,
15,numerals-suga1248-1-fifteen-1,numerals-suga1248-1,Chan2019,fifteen,15,ɟer cà tɛ́ɛ́ŋna,jercateengna,,false,10+{LIG}5,,
16,numerals-suga1248-1-sixteen-1,numerals-suga1248-1,Chan2019,sixteen,16,ɟer cà tánmum,jercatanmum,,false,10+{LIG}5+1,,
17,numerals-suga1248-1-seventeen-1,numerals-suga1248-1,Chan2019,seventeen,17,ɟer cà tánɓáára,jercatanbaara,,false,10+{LIG}5+2,,
18,numerals-suga1248-1-eighteen-1,numerals-suga1248-1,Chan2019,eighteen,18,ɟer cà sɛ́ɛ̀,jercasee,,false,10+{LIG}8,,
19,numerals-suga1248-1-nineteen-1,numerals-suga1248-1,Chan2019,nineteen,19,ɟer cà tínáànà,jercatinaana,,false,10+{LIG}5+4,,
20,numerals-suga1248-1-twenty-1,numerals-suga1248-1,Chan2019,twenty,20,ɓʉʉ bíb,buubib,,false,20,,
21,numerals-suga1248-1-twentyone-1,numerals-suga1248-1,Chan2019,twentyone,21,ɓʉʉ bíb cà mum,buubibcamum,,false,20+{LIG}1,,
22,numerals-suga1248-1-twentytwo-1,numerals-suga1248-1,Chan2019,twentytwo,22,ɓʉʉ bíb cà ɓaara,buubibcabaara,,false,20+{LIG}2,,
