,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-cros1244-1-one-1,numerals-cros1244-1,Chan2019,one,1,wɔ̀ni,woni,,false,1,,
2,numerals-cros1244-1-two-1,numerals-cros1244-1,Chan2019,two,2,àfɔŋ,afong,,false,2,,
3,numerals-cros1244-1-three-1,numerals-cros1244-1,Chan2019,three,3,àtt̩an,attan,,false,3,,
4,numerals-cros1244-1-four-1,numerals-cros1244-1,Chan2019,four,4,ànnaŋ,annang,,false,4,,
5,numerals-cros1244-1-five-1,numerals-cros1244-1,Chan2019,five,5,àzen,azen,,false,5,,
6,numerals-cros1244-1-six-1,numerals-cros1244-1,Chan2019,six,6,àzen à wɔ̀ni,azenawoni,( 5 + 1 ),false,5+{LIG}1,,
7,numerals-cros1244-1-seven-1,numerals-cros1244-1,Chan2019,seven,7,àze à fɔ̀ŋ,azeafong,( 5 + 2 ),false,5+{LIG}2,,
8,numerals-cros1244-1-eight-1,numerals-cros1244-1,Chan2019,eight,8,àze à ttan,azeattan,( 5 + 3 ),false,5+{LIG}3,,
9,numerals-cros1244-1-nine-1,numerals-cros1244-1,Chan2019,nine,9,àze à nnaŋ,azeannang,( 5 + 4 ),false,5+{LIG}4,,
10,numerals-cros1244-1-ten-1,numerals-cros1244-1,Chan2019,ten,10,d͡zɔ,dzo,,false,10,,
11,numerals-cros1244-1-eleven-1,numerals-cros1244-1,Chan2019,eleven,11,d͡zɔ ìi wɔ̀ni,dzoiiwoni,( 10 + 1 ),false,10+{LIG’}1,,
12,numerals-cros1244-1-twelve-1,numerals-cros1244-1,Chan2019,twelve,12,d͡zɔ áàfɔŋ,dzoaafong,( 10 + 2 ),false,10+{LIG}2,,
13,numerals-cros1244-1-thirteen-1,numerals-cros1244-1,Chan2019,thirteen,13,d͡zɔ áàttan,dzoaattan,( 10 + 3 ),false,10+{LIG}3,,
14,numerals-cros1244-1-fourteen-1,numerals-cros1244-1,Chan2019,fourteen,14,d͡zɔ áànnaŋ,dzoaannang,,false,10+{LIG}4,,
15,numerals-cros1244-1-fifteen-1,numerals-cros1244-1,Chan2019,fifteen,15,d͡zì,dzi,,false,15,,
16,numerals-cros1244-1-sixteen-1,numerals-cros1244-1,Chan2019,sixteen,16,d͡zì ìi wɔ̀ni,dziiiwoni,( 15 + 1 ),false,15+{LIG'}1,,
17,numerals-cros1244-1-seventeen-1,numerals-cros1244-1,Chan2019,seventeen,17,d͡zì áàfɔŋ,dziaafong,( 15 + 2 ),false,15+{LIG}2,,
18,numerals-cros1244-1-eighteen-1,numerals-cros1244-1,Chan2019,eighteen,18,d͡zì áàttan,dziaattan,( 15 + 3 ),false,15+{LIG}3,,
19,numerals-cros1244-1-nineteen-1,numerals-cros1244-1,Chan2019,nineteen,19,d͡zì áànnaŋ,dziaannang,( 15 + 4 ),false,15+{LIG}4,,
20,numerals-cros1244-1-twenty-1,numerals-cros1244-1,Chan2019,twenty,20,lɛ̀zɔl,lezol,,false,20,,
21,numerals-cros1244-1-twentyone-1,numerals-cros1244-1,Chan2019,twentyone,21,lɛ̀zɔl èvulì wɔ̀ni,lezolevuliwoni,,false,20+{LIG”?}1,,
22,numerals-cros1244-1-twentytwo-1,numerals-cros1244-1,Chan2019,twentytwo,22,lɛ̀zɔl èvulì àfɔŋ,lezolevuliafong,,false,20+{LIG”?}2,,
23,numerals-cros1244-1-twentythree-1,numerals-cros1244-1,Chan2019,twentythree,23,lɛ̀zɔl èvulì àttan,lezolevuliattan,,false,20+{LIG”?}3,,
24,numerals-cros1244-1-twentyfour-1,numerals-cros1244-1,Chan2019,twentyfour,24,lɛ̀zɔl èvulì ànnaŋ,lezolevuliannang,,false,20+{LIG”?}4,,
25,numerals-cros1244-1-twentyfive-1,numerals-cros1244-1,Chan2019,twentyfive,25,lɛ̀zɔl èvulì azen,lezolevuliazen,,false,20+{LIG”?}5,,
26,numerals-cros1244-1-twentysix-1,numerals-cros1244-1,Chan2019,twentysix,26,lɛ̀zɔl èvulì àzen à wɔ̀ni,lezolevuliazenawoni,,false,20+{LIG”?}5+1,,
27,numerals-cros1244-1-twentyseven-1,numerals-cros1244-1,Chan2019,twentyseven,27,lɛ̀zɔl èvulì àze àfɔ̀ŋ,lezolevuliazeafong,,false,20+{LIG”?}5+2,,
28,numerals-cros1244-1-twentyeight-1,numerals-cros1244-1,Chan2019,twentyeight,28,lɛ̀zɔl èvulì àze àttan,lezolevuliazeattan,,false,20+{LIG”?}5+3,,
29,numerals-cros1244-1-twentynine-1,numerals-cros1244-1,Chan2019,twentynine,29,lɛ̀zɔl èvulì àze ànnaŋ,lezolevuliazeannang,,false,20+{LIG”?}5+4,,
30,numerals-cros1244-1-thirty-1,numerals-cros1244-1,Chan2019,thirty,30,lɛ̀zɔl èvulì d͡zɔ,lezolevulidzo,,false,20+{LIG”?}10,,
31,numerals-cros1244-1-forty-1,numerals-cros1244-1,Chan2019,forty,40,àzɔ àfɔŋ,azoafong,( 20 x 2 ),false,20·2,,
32,numerals-cros1244-1-fifty-1,numerals-cros1244-1,Chan2019,fifty,50,àzɔ àfɔŋ d͡zɔ,azoafongdzo,,false,(20·2)+10,,
33,numerals-cros1244-1-sixty-1,numerals-cros1244-1,Chan2019,sixty,60,àzɔ àttan,azoattan,( 20 x 3 ),false,20·3,,
34,numerals-cros1244-1-seventy-1,numerals-cros1244-1,Chan2019,seventy,70,àzɔ àttan d͡zɔ,azoattandzo,,false,(20·3)+10,,
35,numerals-cros1244-1-eighty-1,numerals-cros1244-1,Chan2019,eighty,80,àzɔ ànnaŋ,azoannang,( 20 x 4 ),false,20·4,,
36,numerals-cros1244-1-ninety-1,numerals-cros1244-1,Chan2019,ninety,90,àzɔ ànnaŋ d͡zɔ,azoannangdzo,,false,(20·4)+10,,
37,numerals-cros1244-1-hundred-1,numerals-cros1244-1,Chan2019,hundred,100,àzɔ àzen,azoazen,( 20 x 5 ),false,20·5,,
38,numerals-cros1244-1-twohundred-1,numerals-cros1244-1,Chan2019,twohundred,200,àzɔ d͡zɔ,azodzo,,false,20·10,,
39,numerals-cros1244-1-twohundred-2,numerals-cros1244-1,Chan2019,twohundred,200,letilol,letilol,,false,200,,
40,numerals-cros1244-1-fourhundred-1,numerals-cros1244-1,Chan2019,fourhundred,400,lelol,lelol,,false,400{?},,
41,numerals-cros1244-1-thousand-1,numerals-cros1244-1,Chan2019,thousand,1000,lelol àfɔŋ bele ɡɛ̀dɔ̀,lelolafongbelegedo,,false,?,check - insufficient data,
42,numerals-cros1244-1-twothousand-1,numerals-cros1244-1,Chan2019,twothousand,2000,lelol ànnaŋ bele àti d͡zɔ,lelolannangbeleatidzo,,false,?,check - insufficient data,
