,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-idom1241-1-one-1,numerals-idom1241-1,Chan2019,one,1,éjè,eje,,false,1,,
2,numerals-idom1241-1-two-1,numerals-idom1241-1,Chan2019,two,2,ɛ́pà,epa,,false,2,,
3,numerals-idom1241-1-three-1,numerals-idom1241-1,Chan2019,three,3,ɛtá,eta,,false,3,,
4,numerals-idom1241-1-four-1,numerals-idom1241-1,Chan2019,four,4,ɛ́hɛ́,ehe,,false,4,,
5,numerals-idom1241-1-five-1,numerals-idom1241-1,Chan2019,five,5,ɛ́hɔ,eho,,false,5,,
6,numerals-idom1241-1-six-1,numerals-idom1241-1,Chan2019,six,6,ɛ́hili,ehili,,false,6,,
7,numerals-idom1241-1-seven-1,numerals-idom1241-1,Chan2019,seven,7,àhapà,ahapa,,false,7,,
8,numerals-idom1241-1-eight-1,numerals-idom1241-1,Chan2019,eight,8,àhátá,ahata,,false,8,,
9,numerals-idom1241-1-nine-1,numerals-idom1241-1,Chan2019,nine,9,àhánɛ́,ahane,,false,9,,
10,numerals-idom1241-1-ten-1,numerals-idom1241-1,Chan2019,ten,10,iɡwó,igwo,,false,10,,
11,numerals-idom1241-1-eleven-1,numerals-idom1241-1,Chan2019,eleven,11,iɡwó lèé,igwolee,,false,10+1,,
12,numerals-idom1241-1-twelve-1,numerals-idom1241-1,Chan2019,twelve,12,iɡwó ẹpà,igwoepa,,false,10+2,,
13,numerals-idom1241-1-thirteen-1,numerals-idom1241-1,Chan2019,thirteen,13,iɡwó ẹtá,igwoeta,,false,10+3,,
14,numerals-idom1241-1-fourteen-1,numerals-idom1241-1,Chan2019,fourteen,14,iɡwó ẹhẹ,igwoehe,,false,10+4,,
15,numerals-idom1241-1-fifteen-1,numerals-idom1241-1,Chan2019,fifteen,15,iɡwó ẹhọ,igwoeho,,false,10+5,,
16,numerals-idom1241-1-sixteen-1,numerals-idom1241-1,Chan2019,sixteen,16,iɡwó ẹhili,igwoehili,,false,10+6,,
17,numerals-idom1241-1-seventeen-1,numerals-idom1241-1,Chan2019,seventeen,17,iɡwó àhapà,igwoahapa,,false,10+7,,
18,numerals-idom1241-1-eighteen-1,numerals-idom1241-1,Chan2019,eighteen,18,iɡwó àhátá,igwoahata,,false,10+8,,
19,numerals-idom1241-1-nineteen-1,numerals-idom1241-1,Chan2019,nineteen,19,iɡwó àhánẹ,igwoahane,,false,10+9,,
20,numerals-idom1241-1-twenty-1,numerals-idom1241-1,Chan2019,twenty,20,òfù,ofu,,false,20,,
21,numerals-idom1241-1-twentyone-1,numerals-idom1241-1,Chan2019,twentyone,21,òfu tʃé éjè,ofutseeje,,false,20+{LIG}1,,
22,numerals-idom1241-1-twentytwo-1,numerals-idom1241-1,Chan2019,twentytwo,22,òfù ché ẹpà,ofucheepa,,false,20+{LIG}2,,
23,numerals-idom1241-1-twentythree-1,numerals-idom1241-1,Chan2019,twentythree,23,òfù ché ẹtá,ofucheeta,,false,20+{LIG}3,,
24,numerals-idom1241-1-twentyfour-1,numerals-idom1241-1,Chan2019,twentyfour,24,òfù ché ẹhẹ,ofucheehe,,false,20+{LIG}4,,
25,numerals-idom1241-1-twentyfive-1,numerals-idom1241-1,Chan2019,twentyfive,25,òfù ché ẹhọ,ofucheeho,,false,20+{LIG}5,,
26,numerals-idom1241-1-twentysix-1,numerals-idom1241-1,Chan2019,twentysix,26,òfù ché ẹhili,ofucheehili,,false,20+{LIG}6,,
27,numerals-idom1241-1-twentyseven-1,numerals-idom1241-1,Chan2019,twentyseven,27,òfù ché àhapà,ofucheahapa,,false,20+{LIG}7,,
28,numerals-idom1241-1-twentyeight-1,numerals-idom1241-1,Chan2019,twentyeight,28,òfù ché àhátá,ofucheahata,,false,20+{LIG}8,,
29,numerals-idom1241-1-twentynine-1,numerals-idom1241-1,Chan2019,twentynine,29,òfù ché àhánẹ,ofucheahane,,false,20+{LIG}9,,
30,numerals-idom1241-1-thirty-1,numerals-idom1241-1,Chan2019,thirty,30,òfù ché iɡwó,ofucheigwo,,false,20+{LIG}10,,
31,numerals-idom1241-1-forty-1,numerals-idom1241-1,Chan2019,forty,40,òfu ẹpà,ofuepa,( 20 x 2 ),false,20·2,,
32,numerals-idom1241-1-fifty-1,numerals-idom1241-1,Chan2019,fifty,50,òfu ẹpà ché iɡwó,ofuepacheigwo,,false,(20·2)+{LIG}10,,
