,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-miyo1238-1-one-1,numerals-miyo1238-1,Chan2019,one,1,nni,nni,(-sɛ),false,1,,
2,numerals-miyo1238-1-two-1,numerals-miyo1238-1,Chan2019,two,2,-tɛ́,te,,false,2,,
3,numerals-miyo1238-1-three-1,numerals-miyo1238-1,Chan2019,three,3,tɑɑni,taani,(-tɑɑni),false,3,,
4,numerals-miyo1238-1-four-1,numerals-miyo1238-1,Chan2019,four,4,nnɑ,nna,(-nɑ),false,4,,
5,numerals-miyo1238-1-five-1,numerals-miyo1238-1,Chan2019,five,5,nnupũ,nnupu,(-nupũ),false,5,,
6,numerals-miyo1238-1-six-1,numerals-miyo1238-1,Chan2019,six,6,kouulṹ,kouulu,(-kpuulũ),false,6,,
7,numerals-miyo1238-1-seven-1,numerals-miyo1238-1,Chan2019,seven,7,sɛ́ɛ́i,seei,(-sɛɛi),false,7,,
8,numerals-miyo1238-1-eight-1,numerals-miyo1238-1,Chan2019,eight,8,kɛpɑhɑ,kepaha,(-pɑhɑ),false,8,,
9,numerals-miyo1238-1-eight-2,numerals-miyo1238-1,Chan2019,eight,8,mɛtɛ́ ɑ́mɛ we kɛfi,meteamewekefi,,false,2-{LIG}10,,
10,numerals-miyo1238-1-nine-1,numerals-miyo1238-1,Chan2019,nine,9,kɛlɛɛ́,kelee,,false,9,,
11,numerals-miyo1238-1-nine-2,numerals-miyo1238-1,Chan2019,nine,9,mɛsɛ ɑ́mɛ we kɛfi,meseamewekefi,,false,1’-{LIG}10,,
12,numerals-miyo1238-1-ten-1,numerals-miyo1238-1,Chan2019,ten,10,kɛfi,kefi,,false,10,,
13,numerals-miyo1238-1-eleven-1,numerals-miyo1238-1,Chan2019,eleven,11,kɛfi nɛ -sɛ,kefinese,,false,10+{and}1,,
14,numerals-miyo1238-1-twelve-1,numerals-miyo1238-1,Chan2019,twelve,12,kɛfi nɛ -tɛ́,kefinete,,false,10+{and}2,,
15,numerals-miyo1238-1-thirteen-1,numerals-miyo1238-1,Chan2019,thirteen,13,kɛfi nɛ -tɑ́ɑ́ni,kefinetaani,,false,10+{and}3,,
16,numerals-miyo1238-1-fourteen-1,numerals-miyo1238-1,Chan2019,fourteen,14,kɛfi nɛ -nɑ́iĩ,kefinenaii,,false,10+{and}4,,
17,numerals-miyo1238-1-fifteen-1,numerals-miyo1238-1,Chan2019,fifteen,15,kɛfi nɛ -nupũ,kefinenupu,,false,10+{and}5,,
18,numerals-miyo1238-1-sixteen-1,numerals-miyo1238-1,Chan2019,sixteen,16,kɛfi nɛ -kpúúlũ,kefinekpuulu,,false,10+{and}6,,
19,numerals-miyo1238-1-seventeen-1,numerals-miyo1238-1,Chan2019,seventeen,17,kɛfi nɛ -sɛɛi,kefineseei,,false,10+{and}7,,
20,numerals-miyo1238-1-eighteen-1,numerals-miyo1238-1,Chan2019,eighteen,18,kɛfi nɛ -pɑ́hɑpɑhɑ,kefinepahapaha,,false,10+{and}8,,
21,numerals-miyo1238-1-nineteen-1,numerals-miyo1238-1,Chan2019,nineteen,19,kɛfi nɛ -lɛɛlɛlɛ,kefineleelele,,false,10+{and}9,,
22,numerals-miyo1238-1-twenty-1,numerals-miyo1238-1,Chan2019,twenty,20,ɑfɛɛrɛ́,afeere,,false,10·2,,
23,numerals-miyo1238-1-twentyone-1,numerals-miyo1238-1,Chan2019,twentyone,21,ɑfɛɛrɛ́ nɛ -sɛ,afeerenese,,false,(10·2)+{and}1,,
24,numerals-miyo1238-1-twentytwo-1,numerals-miyo1238-1,Chan2019,twentytwo,22,ɑfɛɛrɛ́ nɛ -tɛ́,afeerenete,,false,(10·2)+{and}2,,
