,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-leha1242-1-one-1,numerals-leha1242-1,Chan2019,one,1,wi̘ːno̘ː,wino,,false,1,,
2,numerals-leha1242-1-two-1,numerals-leha1242-1,Chan2019,two,2,kɐnɐk,kanak,,false,2,,
3,numerals-leha1242-1-three-1,numerals-leha1242-1,Chan2019,three,3,kɐːhɐj,kahaj,,false,3,,
4,numerals-leha1242-1-four-1,numerals-leha1242-1,Chan2019,four,4,niːkiːs,nikis,,false,4,,
5,numerals-leha1242-1-five-1,numerals-leha1242-1,Chan2019,five,5,jə̘tu̘ːs,jatus,,false,5,,
6,numerals-leha1242-1-six-1,numerals-leha1242-1,Chan2019,six,6,jitnɛːnɔː,jitneno,( 5 + 1 ),false,5’+{and}1,,
7,numerals-leha1242-1-seven-1,numerals-leha1242-1,Chan2019,seven,7,jitnɐkɐnɐk,jitnakanak,( 5 + 2 ),false,5’+{and}2,,
8,numerals-leha1242-1-eight-1,numerals-leha1242-1,Chan2019,eight,8,jitnɐkɐːhɐj,jitnakahaj,( 5 + 3 ),false,5’+{and}3,,
9,numerals-leha1242-1-nine-1,numerals-leha1242-1,Chan2019,nine,9,jitnɐniːkiːs,jitnanikis,( 5 + 4 ),false,5’+{and}4,,
10,numerals-leha1242-1-ten-1,numerals-leha1242-1,Chan2019,ten,10,dɐːŋkɛh,dangkeh,,false,10,,
11,numerals-leha1242-1-eleven-1,numerals-leha1242-1,Chan2019,eleven,11,dɐːŋkɛh nɐ wi̘ːno̘ː,dangkehnawino,,false,10+{and}1,,
12,numerals-leha1242-1-twelve-1,numerals-leha1242-1,Chan2019,twelve,12,dɐːŋkɛh nɐ kɐnɐk,dangkehnakanak,,false,10+{and}2,,
13,numerals-leha1242-1-thirteen-1,numerals-leha1242-1,Chan2019,thirteen,13,dɐːŋkɛh nɐ kɐːhɐj,dangkehnakahaj,,false,10+{and}3,,
14,numerals-leha1242-1-fourteen-1,numerals-leha1242-1,Chan2019,fourteen,14,dɐːŋkɛh nɐ niːkiːs,dangkehnanikis,,false,10+{and}4,,
15,numerals-leha1242-1-fifteen-1,numerals-leha1242-1,Chan2019,fifteen,15,dɐːŋkɛh nɐ jə̘tu̘ːs,dangkehnajatus,,false,10+{and}5,,
16,numerals-leha1242-1-sixteen-1,numerals-leha1242-1,Chan2019,sixteen,16,dɐːŋkɛh nɐ jitnɛːnɔː,dangkehnajitneno,,false,10+{and}5’+{and}1,,
17,numerals-leha1242-1-seventeen-1,numerals-leha1242-1,Chan2019,seventeen,17,dɐːŋkɛh nɐ jitnɐkɐnɐk,dangkehnajitnakanak,,false,10+{and}5’+{and}2,,
18,numerals-leha1242-1-eighteen-1,numerals-leha1242-1,Chan2019,eighteen,18,dɐːŋkɛh nɐ jitnɐkɐːhɐj,dangkehnajitnakahaj,,false,10+{and}5’+{and}3,,
19,numerals-leha1242-1-nineteen-1,numerals-leha1242-1,Chan2019,nineteen,19,dɐːŋkɛh nɐ jitnɐniːkiːs,dangkehnajitnanikis,,false,10+{and}5’+{and}4,,
20,numerals-leha1242-1-twenty-1,numerals-leha1242-1,Chan2019,twenty,20,dɐːŋkɛh-kɐnɐk,dangkehkanak,,false,10·2,,
21,numerals-leha1242-1-twentyone-1,numerals-leha1242-1,Chan2019,twentyone,21,dɐːŋkɛh-kɐnɐk nɐ wi̘ːno̘ː,dangkehkanaknawino,,false,(10·2)+{and}1,,
22,numerals-leha1242-1-twentytwo-1,numerals-leha1242-1,Chan2019,twentytwo,22,dɐːŋkɛh-kɐnɐk nɐ kɐnɐk,dangkehkanaknakanak,,false,(10·2)+{and}2,,
23,numerals-leha1242-1-twentythree-1,numerals-leha1242-1,Chan2019,twentythree,23,dɐːŋkɛh-kɐnɐk nɐ kɐːhɐj,dangkehkanaknakahaj,,false,(10·2)+{and}3,,
24,numerals-leha1242-1-twentyfour-1,numerals-leha1242-1,Chan2019,twentyfour,24,dɐːŋkɛh-kɐnɐk nɐ niːkiːs,dangkehkanaknanikis,,false,(10·2)+{and}4,,
